TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
56,491.05429746804964, 359.41768113134617, -0.00026025623083114624,432.2383731564636, 350.89510094254354, -6.757692337036133,380.3484506284961, 324.4774111068082, -11.61980152130127,332.6718669040691, 307.1478678781489, -17.068477630615234,291.64611525711007, 300.95576157491905, -23.295595169067383,411.88130162316247, 237.1020852665422, -7.181453227996826,386.3140696215346, 189.54412448809754, -10.340622901916504,371.57662909261364, 156.57423321297313, -13.724775314331055,361.6144516953781, 129.29164186696755, -17.307783126831055,447.23671917510455, 223.9241631749135, -9.119873046875,432.6238726340288, 164.70820557138563, -11.836219787597656,423.6573926129322, 124.33041134006868, -15.433172225952148,418.4121783683802, 93.30708459638826, -18.157005310058594,481.99817121693405, 226.82548931642438, -12.170172691345215,479.01514668014886, 174.9349004119361, -15.033809661865234,479.36999486471956, 135.66818980144762, -17.427936553955078,480.83724272217364, 104.78335699911241, -19.241371154785156,514.8705469258919, 245.12046893913794, -16.317928314208984,531.5898174756563, 208.905456452483, -19.594453811645508,544.7051370053724, 181.0464444491357, -21.69422149658203,556.2864391285095, 151.88221325835815, -23.17314910888672
132,489.5835076238276, 358.10748973579445, -0.0003086179494857788,434.6259675661171, 349.72006410902003, -6.460611343383789,383.0869176958509, 324.7165909491002, -10.997909545898438,336.32226920266737, 307.2798693715308, -15.971055030822754,298.8273112163861, 300.9037066558739, -21.62077522277832,411.25281401544623, 236.40404957443795, -6.240853786468506,386.33831566955104, 187.930012893352, -8.284808158874512,373.0683290215686, 154.71354064381805, -10.51447582244873,364.5644190434992, 127.72851254264702, -13.19621467590332,445.598391786536, 221.50341318160554, -7.397269248962402,430.46065195548164, 161.8873243769553, -8.897541046142578,421.912490058212, 120.98099238098744, -11.629350662231445,417.2435650071476, 90.87551915624269, -13.888172149658203,479.762011570848, 222.981099508615, -9.535821914672852,475.69268604479197, 169.9639336964059, -11.583497047424316,475.9237172986011, 130.71607453944335, -13.334914207458496,477.2320874513354, 101.05220970320079, -14.5722017288208,512.811967995062, 240.1948713810376, -12.662023544311523,527.4583726963983, 202.7090289031868, -15.399699211120605,539.8410410038707, 174.56812451033394, -16.944793701171875,550.5740253354988, 146.37843077974526, -17.80588722229004
186,489.00600568814883, 357.76088967765156, -0.0003045424818992615,433.03474160526684, 348.2674067999402, -6.496199607849121,381.66063668513783, 322.36367226814605, -10.949323654174805,334.653103802366, 305.0378313343966, -15.874279022216797,295.54757839120686, 299.18432189503585, -21.510883331298828,412.4427556777256, 235.954788062318, -5.974316120147705,386.3620409870421, 188.4752793741845, -8.103260040283203,371.99732182886964, 155.5082507502355, -10.66337776184082,362.1258954103238, 128.52620238079948, -13.613365173339844,447.5267580161676, 221.6669503053333, -7.131791591644287,432.4362845732895, 162.75406303202553, -8.438034057617188,423.6104718932865, 122.27022148105142, -11.08565616607666,418.23329034732996, 91.97958788697254, -13.287866592407227,481.91070583900375, 223.7288180992265, -9.331911087036133,478.3931914297288, 171.63149362160047, -11.032112121582031,479.05183664206425, 132.88517230929494, -12.50445556640625,480.2891184705608, 103.01819699002203, -13.632355690002441,514.7543437187906, 241.29321447681428, -12.579751968383789,529.8153972287911, 204.76893576178452, -14.954422950744629,542.6535939427522, 177.4282043223563, -16.21636962890625,553.6842325979684, 149.34548480937445, -16.93153190612793
241,491.2233867175109, 358.16557057436, -0.00014194846153259277,436.35075978638463, 347.7433744736493, -5.188932418823242,385.010428636317, 322.29395371519536, -9.003782272338867,337.17862189011646, 306.068413680097, -13.30043888092041,297.32434417272384, 301.9300332615394, -18.32518196105957,415.0574747730045, 237.647459803817, -5.146148681640625,388.15425663273925, 190.3789131512557, -6.672534465789795,374.0120767625739, 158.66086040381455, -8.615705490112305,364.39038435089356, 133.32770429127407, -11.07853889465332,449.13946685062933, 222.50505585060696, -6.049337863922119,433.60157564443153, 163.77341708429879, -6.886114597320557,425.6425485345204, 125.01845221028073, -8.683845520019531,421.2506932270241, 96.80163497211365, -10.113415718078613,482.7927231226827, 223.58171926561286, -7.757693290710449,478.85206399102964, 171.2436705673042, -8.538337707519531,479.9227838271005, 133.0382554168089, -8.859721183776855,481.7322342849825, 104.23146891146041, -9.12242603302002,515.1990650150348, 239.97660672423402, -10.370412826538086,529.6718328953053, 202.56070968755523, -11.727178573608398,542.4168515755744, 175.35890248735268, -12.090761184692383,553.5666113629967, 148.1975336461929, -12.0658540725708
299,490.7442533646645, 355.499509214848, -0.0003400743007659912,434.4860325154642, 346.6871248399967, -6.447294235229492,382.5692453690005, 321.5176495351941, -10.734319686889648,334.37007720198073, 305.3771727467011, -15.50162124633789,294.1561600126891, 300.5451261879747, -20.95426368713379,414.0603368292055, 234.2021631387923, -4.8299689292907715,387.54882801015657, 189.0606037118687, -6.756429672241211,372.1916355358213, 157.44591161082758, -9.358406066894531,361.5128409798546, 131.37478086213642, -12.447998046875,448.81081306681494, 219.71482932327797, -6.134650707244873,434.13532941224497, 162.6826828454586, -7.210954666137695,425.0495518251752, 123.04920618151513, -9.914006233215332,419.83607239245936, 93.7169703172504, -12.124068260192871,482.92052087305564, 221.76230136513013, -8.593751907348633,480.16784014754785, 171.02959224555423, -10.142263412475586,480.84296775170617, 132.91547687396937, -11.755755424499512,482.3944141945084, 103.93229661803052, -12.98370361328125,515.6403970539908, 239.35920380839787, -12.136816024780273,531.2437775535665, 203.65443239653814, -14.431361198425293,544.2017092129137, 176.70995268794957, -15.745739936828613,555.7117916045221, 149.34807923140517, -16.52324104309082
351,491.3484673767216, 361.78282102685756, -0.0003108680248260498,434.4313671706816, 352.326905532633, -4.200704097747803,381.8112080466323, 325.67194743716544, -7.149353504180908,334.8195315551822, 306.3816067474153, -10.679153442382812,297.8462612869894, 298.7111826556488, -14.781496047973633,410.8416334207991, 237.68054844369863, -2.3744735717773438,383.17386745226815, 190.08233349637084, -2.9529128074645996,369.11791387528933, 158.07149445282604, -4.264505386352539,359.8941697268166, 132.65061292393955, -6.320009231567383,446.6642078567752, 221.5658095820862, -3.418928623199463,429.7844065372283, 162.08727034567545, -3.432647228240967,421.23975490005796, 121.91099637190305, -4.880341529846191,416.4146327092199, 93.18739175001554, -6.019108772277832,482.00933523699405, 222.5582203270747, -5.300662517547607,476.77689867452546, 169.273060181709, -5.704377174377441,476.98488985638346, 130.15692625418188, -6.074615955352783,477.8816053522138, 101.30559639637336, -6.207155227661133,516.0493389616911, 239.5589905650258, -7.996959209442139,528.8789569457834, 201.49971562569883, -9.161107063293457,540.6928194226493, 173.35780348706228, -9.504042625427246,550.7418386500434, 145.7044393653366, -9.34734058380127
407,492.660557180065, 358.7578287020858, -0.00019969046115875244,436.68762980679185, 348.31933278897975, -5.631535053253174,385.3017993604799, 322.6412051718146, -9.792425155639648,337.0540864708331, 306.49522314254966, -14.496440887451172,296.8158291555301, 302.12145955609043, -19.8855037689209,414.8675711664364, 235.82828410016143, -5.235600471496582,388.0592039503008, 188.94752940280154, -7.293191432952881,373.00953102649487, 157.09128341965206, -9.832257270812988,362.8877227601906, 131.26351813867078, -12.76571273803711,449.00070788390417, 221.36738173294492, -6.675518035888672,433.492732377963, 162.18443858761142, -8.142769813537598,424.8758965146575, 122.67363917754486, -10.852295875549316,420.1585927598979, 93.39580265348518, -12.997773170471191,482.88129814667525, 223.0959931212691, -9.08103084564209,478.5608870541049, 170.62070612564165, -10.80515193939209,478.85558717294043, 132.0255228936453, -12.368160247802734,480.4683178327993, 102.56936753474024, -13.480314254760742,515.4580377888722, 240.11972546083902, -12.437414169311523,529.955945315982, 203.0252854299334, -14.676934242248535,542.3398636139681, 175.5277140734978, -15.935308456420898,553.3428489204751, 147.6552081020289, -16.66900062561035
461,492.0599667053426, 356.95699535463143, -0.00013750791549682617,436.4241269633524, 347.1482984561268, -5.109909534454346,384.4769884503395, 321.78856948038054, -8.750118255615234,336.1749121707998, 305.75120057969957, -12.88187026977539,295.68105511105443, 301.3338421035238, -17.6422119140625,415.3693434811368, 235.15418809420186, -4.663498878479004,388.11647702483685, 188.05626560832653, -6.142388343811035,373.3091712629114, 157.0730817303977, -7.953980922698975,363.10118791767695, 132.32533613705982, -10.374649047851562,450.0193757779827, 220.36258178507634, -5.753036975860596,433.72173245273007, 161.7975793447741, -6.635146617889404,424.26271528837503, 123.02299668846821, -8.509145736694336,418.44157567652377, 94.90875288980976, -10.003173828125,484.21475836480806, 222.28553821403042, -7.7230224609375,479.25550334651325, 170.27658313211379, -8.781343460083008,478.4298552101937, 131.90376003478724, -9.37193489074707,478.63617507063225, 103.29351199957574, -9.770002365112305,517.2534506221616, 239.79547707635646, -10.599414825439453,531.8326953111069, 203.0444366477924, -12.223581314086914,544.2720302052559, 175.5140343753083, -12.861613273620605,554.9494927309659, 148.15660141076737, -13.061728477478027
515,490.93155710739904, 358.72692177808864, -0.0002932697534561157,436.20040328960965, 348.9828144722712, -6.728268146514893,383.29644261574714, 322.610014733745, -10.54156494140625,334.65601257342433, 304.96168158237367, -14.899881362915039,295.2630798215343, 299.17943826203475, -19.81852149963379,412.170069556829, 233.81324202720074, -2.4443519115448,386.81429639587697, 187.49679866098083, -3.33492374420166,373.7800146207545, 155.64911119265486, -5.345329761505127,365.26615635490833, 130.0350101439871, -8.019436836242676,447.03876641502455, 218.89822695240505, -3.298323154449463,432.76624904178493, 161.96801047969987, -3.128495216369629,425.4011960986758, 122.66703383008524, -5.327155590057373,421.3091938650885, 94.00552493616244, -7.153409957885742,481.48865794489967, 220.78844363690177, -5.513047695159912,478.47348962112324, 169.87677467341126, -6.001852989196777,480.04402122346664, 132.23461111506526, -7.132035732269287,481.98029535556805, 103.91336294982405, -7.9734930992126465,515.1297248422516, 238.25075233538152, -8.950122833251953,529.8242958891658, 202.09383027477497, -10.41756534576416,542.8623537461182, 175.1402230343947, -11.220096588134766,554.18871308613, 147.79126138887034, -11.509551048278809
570,488.4357221962871, 360.33412993168855, -0.0002509281039237976,431.603508012722, 349.65333579895133, -4.497241020202637,380.75761979170267, 323.06763484639174, -7.672091484069824,334.4680793289829, 305.45181848400966, -11.455634117126465,296.4056623211825, 299.461139249058, -15.882710456848145,411.32291156998224, 235.05364769189688, -2.8318824768066406,385.37208670638086, 187.53436400673877, -3.753702163696289,371.63305496788337, 155.70735911586536, -5.370181083679199,362.5052893258936, 130.30726883340026, -7.6679511070251465,446.7699120139451, 220.3879238461793, -4.195493221282959,432.56265317192054, 160.93239791146607, -4.5915913581848145,424.99016188596465, 121.4523431213255, -6.336021900177002,420.9940750791803, 93.01197206946998, -7.660238265991211,481.6188130529537, 222.58566189651324, -6.459598541259766,479.3260240230432, 169.8843110866647, -7.195037841796875,480.7360466547417, 131.41270696238124, -7.728214263916016,482.6844432842289, 102.83516452081322, -8.020901679992676,514.7111001896751, 240.73654422577454, -9.581357955932617,530.2112350035475, 203.47286629412002, -11.002555847167969,543.2775956712894, 176.00117336262488, -11.371621131896973,554.7700274154167, 148.84687457989384, -11.253986358642578
