TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
55,443.32974754149143, 382.7842165021623, -0.00011374801397323608,391.5602836842455, 376.4024318296907, -6.5319294929504395,349.1420497402325, 352.12187317495597, -12.022217750549316,317.5282411680854, 329.73735885401356, -17.33222007751465,297.729634330655, 317.5400122421221, -23.138477325439453,384.1196741347668, 280.9434860477998, -13.50888442993164,364.18973928786295, 229.92118959092582, -16.82484245300293,353.79270575578806, 199.52247039504692, -17.923133850097656,347.6054828555093, 177.2049465293747, -19.145183563232422,418.86413366205085, 271.03161568081856, -14.329352378845215,405.9458412454489, 212.03678343872957, -18.25501823425293,399.0532266252231, 174.55134115206585, -20.224565505981445,395.03067543390625, 149.30113955810083, -21.48455238342285,451.54018930005634, 273.84761742978776, -15.483932495117188,448.9579864873354, 220.3803149963159, -19.04955291748047,448.1341629550336, 183.9852712736151, -20.25739860534668,447.4748395493291, 158.86489220817572, -20.835519790649414,481.54690556056335, 288.4968491718324, -17.292156219482422,497.60681910716596, 249.84009798600863, -20.683168411254883,509.17550561283406, 222.25616150540367, -22.32044219970703,516.9219822207498, 197.35025894896643, -22.98126220703125
108,445.83192133937706, 383.8350623671265, -0.00040403008460998535,394.1508313143828, 377.284494233759, -6.289561748504639,351.3222989320529, 353.3058261772792, -11.417440414428711,318.637687842266, 330.21037384117517, -16.184436798095703,295.8031592640399, 317.047765730361, -21.321611404418945,384.2848523689676, 282.9500207025906, -13.131982803344727,363.86901110228575, 231.985896642741, -15.851141929626465,353.04253348561724, 201.07011980960044, -16.085430145263672,345.9894646696848, 178.66737783975634, -16.52435302734375,418.84325642364433, 271.464747184228, -13.425023078918457,404.7519175843416, 211.9802192543798, -16.764785766601562,397.49721166212527, 174.3600235319353, -17.906681060791016,392.95391276626475, 149.369559956204, -18.445222854614258,451.4753920154644, 272.34120731853227, -13.980165481567383,447.9658393019585, 217.51053860232804, -17.223365783691406,447.1801598306295, 181.1937952360961, -17.6911678314209,446.5286587777421, 156.37554483385017, -17.47247886657715,481.3896166579509, 284.8407262875418, -15.118797302246094,496.4232568216663, 244.46767091940887, -18.450733184814453,507.78663911380664, 216.49558169902548, -19.70450210571289,515.644912232739, 191.76599285508988, -19.768522262573242
165,446.8793321317063, 383.11108627076044, -0.0002970397472381592,394.44605898532797, 377.3996877919112, -5.905490875244141,352.8069771298261, 353.91693996841394, -10.886947631835938,321.36710113150406, 331.6651270403561, -15.500041961669922,298.63256542309944, 319.2505633998951, -20.497621536254883,384.92246603287947, 281.9165349972556, -13.402353286743164,363.69046383875167, 230.93200420098074, -16.321142196655273,352.0398886009359, 200.17063537419253, -16.758596420288086,344.442353206637, 177.77067012483653, -17.36724853515625,419.74603415802534, 270.77542095811367, -13.804155349731445,405.9419503013728, 210.91536993160094, -17.281177520751953,398.85909799017725, 173.64865477856694, -18.388412475585938,394.68961325843225, 148.5003733706205, -19.021997451782227,452.54709342291585, 272.25392872080056, -14.368551254272461,449.7026878561663, 217.81496255035228, -17.72588539123535,449.3088715819633, 182.10160878552898, -18.2410945892334,449.27636811764813, 157.4099436630507, -18.19219398498535,482.47146615418944, 285.2989486102814, -15.43082046508789,497.1950588957492, 245.8794495757953, -18.757837295532227,508.32406469832233, 218.7133850554256, -19.94458770751953,516.5349325549485, 194.56643275807767, -20.08583641052246
220,445.84555931011124, 382.797858098787, -0.00037556886672973633,394.3896367436185, 375.8940473817413, -7.370685577392578,352.2456443183107, 351.1993360267659, -12.41927433013916,320.3990717528363, 328.2723142626255, -17.50065803527832,298.07745392603226, 315.62204662871017, -22.994882583618164,384.0749449217473, 278.6360903607527, -10.333263397216797,363.6565015762129, 229.50370935750905, -13.195807456970215,351.6692293191047, 199.75202544047647, -14.731566429138184,343.78019527738235, 177.2454059607202, -16.471487045288086,418.0536509960606, 268.41634152659066, -11.343620300292969,404.8978880688275, 211.05279635830607, -14.26901912689209,397.585947502749, 174.65107885085308, -16.691524505615234,393.32167739402576, 148.98545929604393, -18.376344680786133,450.08015998932547, 270.82727022244086, -13.18825626373291,447.68296789565625, 218.9462623716639, -16.246963500976562,447.25099748243866, 184.0149431250695, -17.89720344543457,447.1077627768182, 158.72664007709855, -18.849733352661133,479.7917172713247, 284.91584190758266, -15.968585968017578,495.3052178025189, 247.7228193034527, -19.40497398376465,507.10874710798845, 221.0338350571707, -21.294246673583984,515.9493304001224, 195.66755605918354, -22.149972915649414
273,446.48381810446807, 382.9890006732271, -0.000293828547000885,395.0775572673371, 377.766166043304, -6.073086261749268,352.81565400171235, 353.8542848133968, -11.278233528137207,321.49128577402223, 330.85137089359165, -16.022310256958008,300.38178500342406, 316.953415042065, -21.11935043334961,385.1863567196881, 282.13482447309946, -14.236940383911133,364.4227253597808, 230.96686864903364, -17.312204360961914,353.74626902450893, 200.0435312107614, -17.863725662231445,347.07421845739, 177.24776899245407, -18.596006393432617,419.97117485855983, 270.81899369650586, -14.527676582336426,405.77995127796925, 211.09126199250235, -18.292325973510742,398.3328212130767, 173.08750482857386, -19.601524353027344,393.80465997662805, 147.60256840076872, -20.384265899658203,452.7255911337478, 272.5361253708853, -14.923062324523926,449.01327684490974, 217.92667801221478, -18.42113494873047,447.7523046393773, 181.14163656114454, -19.053529739379883,446.74913440241477, 155.89817619977413, -19.102439880371094,482.80914634173257, 286.30427982103527, -15.813226699829102,497.32101056743096, 246.70366313567285, -19.203872680664062,508.3732833913539, 218.79376324506813, -20.577167510986328,516.0299946226273, 193.95322084823817, -20.89150619506836
328,445.7131137846837, 383.77972747453873, -0.0004270970821380615,394.6421355507273, 377.69864919378017, -6.3167290687561035,353.66770308016544, 354.0284860474648, -11.237508773803711,322.53512776090787, 331.86139687787295, -15.96363353729248,300.1107333301468, 318.55082617595934, -21.084285736083984,384.7285005291387, 279.901200384921, -11.855243682861328,365.44812370034526, 229.07253835983, -14.544952392578125,354.99082384497575, 198.0698309788667, -15.27817440032959,348.4767924238304, 175.35712029104786, -16.257572174072266,418.7309112564483, 269.7068277603988, -12.48304557800293,406.0623383668298, 210.62832980868902, -15.582378387451172,399.0730059722192, 173.35194977480836, -17.152746200561523,395.0500870607448, 148.16636774620576, -18.18913459777832,450.8249840821275, 272.37426095084663, -13.530179977416992,448.69670593275725, 219.1196376892296, -16.68400001525879,448.2910294083173, 183.74924559966925, -17.675334930419922,448.33216419370444, 159.1827686362721, -18.001937866210938,480.44802937893246, 286.6136692998229, -15.224281311035156,495.9660838721666, 248.51144317616902, -18.600183486938477,507.48458296895524, 221.58755866060636, -20.149837493896484,516.1009495538844, 196.94265063446068, -20.601551055908203
381,446.84711623663907, 383.82358122247774, -0.0005047246813774109,395.52138649180245, 376.98050636465666, -5.2989959716796875,355.5273141279608, 353.4217868900753, -9.934347152709961,324.9179861851742, 329.74176558412086, -14.22552490234375,302.85060601251104, 314.5255562149548, -18.94727325439453,386.985049973161, 283.63442002822126, -12.563417434692383,368.32827310358084, 232.33527098557107, -15.551956176757812,358.34965042061253, 199.91972972897727, -16.1070499420166,351.90974191162536, 175.95610882620247, -16.68434715270996,420.5016514000846, 272.75864275705294, -13.006022453308105,407.73570146294503, 213.3652472411076, -16.673858642578125,400.8133965969942, 174.67840590261085, -18.05608367919922,396.8082430531478, 148.33333501450514, -18.811250686645508,451.98745603070347, 273.6739815231681, -13.510795593261719,449.51807153883885, 220.15345458535518, -17.111692428588867,449.0038681951059, 183.44271371283384, -18.10443687438965,449.0591333372647, 158.06674017595418, -18.285104751586914,480.4482249202619, 285.2908003984936, -14.385541915893555,494.56983066427426, 245.72920777230098, -17.883867263793945,504.1975723946953, 217.99073010613913, -19.33507537841797,511.2856222896494, 193.52838091087733, -19.617448806762695
435,445.43441269708876, 383.7246296696567, -0.0007607713341712952,394.0598861679088, 373.3228928283015, -6.189634799957275,357.95905154931893, 347.57387343792374, -10.634114265441895,332.7806108704904, 320.03797535069634, -14.481293678283691,316.9036022379853, 300.21092461345785, -18.423826217651367,387.4070157165559, 279.5380630991699, -11.113412857055664,370.4592316272891, 229.90221789301853, -13.847419738769531,360.4922032537587, 197.78148544655113, -14.760448455810547,353.858805662508, 174.26051944709724, -15.60658073425293,419.13685730451897, 268.82542746595743, -11.123075485229492,408.9190527611744, 210.76303571978033, -14.122800827026367,402.4597814170071, 173.28522174876937, -15.683173179626465,398.7397127894646, 147.86473028696378, -16.532848358154297,448.2153736350876, 269.76455623948857, -11.437507629394531,448.5544301359084, 217.70890209838888, -14.848372459411621,449.0632950591353, 183.14567283923196, -16.319366455078125,449.6875543965208, 159.2532476167329, -16.760278701782227,474.07393616859804, 281.2471785255429, -12.220724105834961,487.1647308566532, 242.86159887484857, -15.907929420471191,495.268298140668, 216.6070903775711, -17.45337677001953,501.45225567005355, 193.7659750611463, -17.704835891723633
490,445.43441269708876, 383.7246296696567, -0.0007607713341712952,394.0598861679088, 373.3228928283015, -6.189634799957275,357.95905154931893, 347.57387343792374, -10.634114265441895,332.7806108704904, 320.03797535069634, -14.481293678283691,316.9036022379853, 300.21092461345785, -18.423826217651367,387.4070157165559, 279.5380630991699, -11.113412857055664,370.4592316272891, 229.90221789301853, -13.847419738769531,360.4922032537587, 197.78148544655113, -14.760448455810547,353.858805662508, 174.26051944709724, -15.60658073425293,419.13685730451897, 268.82542746595743, -11.123075485229492,408.9190527611744, 210.76303571978033, -14.122800827026367,402.4597814170071, 173.28522174876937, -15.683173179626465,398.7397127894646, 147.86473028696378, -16.532848358154297,448.2153736350876, 269.76455623948857, -11.437507629394531,448.5544301359084, 217.70890209838888, -14.848372459411621,449.0632950591353, 183.14567283923196, -16.319366455078125,449.6875543965208, 159.2532476167329, -16.760278701782227,474.07393616859804, 281.2471785255429, -12.220724105834961,487.1647308566532, 242.86159887484857, -15.907929420471191,495.268298140668, 216.6070903775711, -17.45337677001953,501.45225567005355, 193.7659750611463, -17.704835891723633
548,447.76257126578463, 380.8718823534938, -0.0007000714540481567,395.85345514276935, 371.3111317870144, -6.317825794219971,358.84161651420027, 345.3597790929633, -11.005120277404785,334.46157799224915, 314.9093248405562, -14.630093574523926,321.2455278022953, 290.95146735908673, -18.15389633178711,388.5379129412335, 279.3064772735598, -13.336442947387695,370.79494702298655, 229.2528949081298, -16.226451873779297,361.1884860855873, 197.20256424048503, -16.737886428833008,354.82473370242167, 173.90783526478236, -17.0977840423584,420.7839741094613, 267.39623391237836, -12.623404502868652,409.03467167400953, 209.5566920764975, -16.106647491455078,401.24280002559703, 173.21129441595332, -17.37871551513672,396.1670044968876, 149.58959460946474, -17.868619918823242,450.07047621314723, 267.1267568317049, -11.949810028076172,448.4690320339277, 215.4927617275212, -15.853598594665527,446.7359024627459, 182.16768756487357, -17.46310806274414,445.15350287442004, 160.58782631005607, -17.864999771118164,475.52097722732015, 277.0974907409753, -11.549522399902344,485.53819940615887, 238.15784072381658, -15.432597160339355,490.4200500484649, 212.32123483391484, -17.135883331298828,493.3194999086794, 191.36819538809664, -17.500774383544922
