TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
55,491.4853114380633, 382.91973894477997, -0.0005731657147407532,433.3882872577959, 380.08578012447344, -5.819179058074951,384.7242803972897, 351.8700780093627, -10.508415222167969,347.3999707042999, 322.4996691311824, -15.539548873901367,323.52975596271324, 304.4109283064409, -21.211977005004883,421.9455653355719, 273.7939195323031, -8.409137725830078,399.25853156604467, 219.7944505254783, -11.619826316833496,385.457500887181, 187.4072129662425, -13.12767505645752,376.4040759624743, 162.41295822710066, -14.73101806640625,459.5525502888562, 262.3635848248188, -10.64834976196289,443.7972238507926, 200.2147633808722, -14.684146881103516,433.4170834387651, 159.3767805260866, -17.89142417907715,426.70347742797355, 131.21153102465877, -20.09426498413086,495.9917998842473, 263.43678782472693, -13.661014556884766,490.6155188661651, 207.15714162674047, -18.155548095703125,486.58977253351907, 166.9587241617793, -21.42618751525879,483.74897577539986, 139.1952790820538, -23.541860580444336,530.5085686635334, 276.4162470680494, -17.310972213745117,543.6101331115894, 233.5655254936272, -21.675317764282227,551.2151908715226, 201.6292881295259, -24.70842742919922,555.5423511826652, 173.32937546249957, -26.732887268066406
111,494.01325422577816, 382.3825185699329, -0.0006448179483413696,435.39654582597865, 379.7385923598009, -4.519462585449219,386.79101573234357, 352.69270895623384, -8.506019592285156,348.1748088373208, 325.9904069195884, -12.997488975524902,320.399078717359, 309.9050966124131, -18.184349060058594,422.5656057577482, 272.9456440978604, -6.800871849060059,399.7156059526182, 218.3905450959377, -9.301989555358887,386.1949806109569, 185.7979731060749, -10.089704513549805,377.1018238115201, 160.8937147248929, -11.131553649902344,459.682983678031, 260.9537155485442, -9.04514217376709,443.83978027306676, 197.6865547709127, -12.42665958404541,433.352873895096, 157.14964025608953, -14.8006591796875,425.96381148963854, 129.43895824064282, -16.338598251342773,495.97439559306383, 261.6484577292221, -11.94313907623291,490.18415325266824, 204.77564172537927, -15.769526481628418,485.464579013402, 165.03689790989242, -18.202392578125,481.60703634653623, 137.80385437888694, -19.644760131835938,530.5689217667216, 274.2163005720899, -15.361787796020508,542.8434129833058, 231.2402573469191, -19.042848587036133,550.1456383787979, 199.85676995593235, -21.41330337524414,554.0546838842131, 171.91721241803165, -22.863906860351562
166,495.27978313296575, 385.43081067862215, -0.000737212598323822,436.3484020773386, 382.3378392844684, -6.076720237731934,388.13667766416586, 353.6044039925243, -10.525779724121094,351.02309852629253, 326.0224715484246, -15.724726676940918,325.18694724450927, 307.8238298614813, -21.625503540039062,421.3919216310487, 269.55820783388845, -5.433236122131348,400.58070923770356, 218.04954910675207, -8.860786437988281,386.70478955700776, 185.3623635250001, -11.764566421508789,377.33203972335025, 159.161422475606, -14.69178581237793,458.06213114672886, 258.36729291120173, -8.481971740722656,443.74664423438014, 198.408112938333, -12.355976104736328,433.7048820061008, 157.83001084923646, -16.869447708129883,426.7972418684579, 128.73805054280723, -20.240137100219727,493.72987796633555, 260.3143336334813, -12.7483549118042,489.12733867275483, 205.83465117718322, -17.369121551513672,485.1648514041742, 166.08740861493138, -21.74456024169922,482.03471503153526, 138.0050062207857, -24.843130111694336,527.8369331111842, 274.1937539969888, -17.862337112426758,539.8155877154483, 232.6715504281128, -22.567068099975586,546.7777320855755, 200.67205296243492, -26.107257843017578,550.9170600721122, 171.40064792841682, -28.70631980895996
220,495.27978313296575, 385.43081067862215, -0.000737212598323822,436.3484020773386, 382.3378392844684, -6.076720237731934,388.13667766416586, 353.6044039925243, -10.525779724121094,351.02309852629253, 326.0224715484246, -15.724726676940918,325.18694724450927, 307.8238298614813, -21.625503540039062,421.3919216310487, 269.55820783388845, -5.433236122131348,400.58070923770356, 218.04954910675207, -8.860786437988281,386.70478955700776, 185.3623635250001, -11.764566421508789,377.33203972335025, 159.161422475606, -14.69178581237793,458.06213114672886, 258.36729291120173, -8.481971740722656,443.74664423438014, 198.408112938333, -12.355976104736328,433.7048820061008, 157.83001084923646, -16.869447708129883,426.7972418684579, 128.73805054280723, -20.240137100219727,493.72987796633555, 260.3143336334813, -12.7483549118042,489.12733867275483, 205.83465117718322, -17.369121551513672,485.1648514041742, 166.08740861493138, -21.74456024169922,482.03471503153526, 138.0050062207857, -24.843130111694336,527.8369331111842, 274.1937539969888, -17.862337112426758,539.8155877154483, 232.6715504281128, -22.567068099975586,546.7777320855755, 200.67205296243492, -26.107257843017578,550.9170600721122, 171.40064792841682, -28.70631980895996
272,493.65275983921816, 384.12839853969984, -0.0006563067436218262,435.72282196956513, 380.7609881633959, -4.420234680175781,387.71127519742186, 353.05372283962606, -8.374709129333496,350.12450877406025, 325.0561288076682, -12.805839538574219,323.8277763357668, 308.1304342992007, -17.93844223022461,421.3183330094895, 274.6466542736761, -7.297767162322998,398.0252809926829, 220.25805048912736, -9.772027969360352,384.9820670005663, 187.3673064588899, -10.507942199707031,376.2741499956686, 161.96603490851896, -11.526884078979492,458.21491109359755, 262.3705313295368, -9.475448608398438,441.35045897576094, 199.45549615878562, -12.87519359588623,431.21805599116624, 158.85074508867524, -15.20010757446289,424.31522135741454, 130.80866383002638, -16.709959030151367,494.56949286331997, 262.8106776374046, -12.240795135498047,487.7324142740043, 206.27936222591669, -16.0775089263916,483.4409725904346, 166.6515015968671, -18.506834030151367,480.17552510340926, 139.30763196273728, -19.9492130279541,529.2867820651868, 275.12663040326, -15.491924285888672,541.2556227232918, 232.65461952071638, -19.214683532714844,549.0285802268855, 201.4578633740775, -21.645973205566406,553.4696317768736, 173.46153535403383, -23.115577697753906
329,493.65275983921816, 384.12839853969984, -0.0006563067436218262,435.72282196956513, 380.7609881633959, -4.420234680175781,387.71127519742186, 353.05372283962606, -8.374709129333496,350.12450877406025, 325.0561288076682, -12.805839538574219,323.8277763357668, 308.1304342992007, -17.93844223022461,421.3183330094895, 274.6466542736761, -7.297767162322998,398.0252809926829, 220.25805048912736, -9.772027969360352,384.9820670005663, 187.3673064588899, -10.507942199707031,376.2741499956686, 161.96603490851896, -11.526884078979492,458.21491109359755, 262.3705313295368, -9.475448608398438,441.35045897576094, 199.45549615878562, -12.87519359588623,431.21805599116624, 158.85074508867524, -15.20010757446289,424.31522135741454, 130.80866383002638, -16.709959030151367,494.56949286331997, 262.8106776374046, -12.240795135498047,487.7324142740043, 206.27936222591669, -16.0775089263916,483.4409725904346, 166.6515015968671, -18.506834030151367,480.17552510340926, 139.30763196273728, -19.9492130279541,529.2867820651868, 275.12663040326, -15.491924285888672,541.2556227232918, 232.65461952071638, -19.214683532714844,549.0285802268855, 201.4578633740775, -21.645973205566406,553.4696317768736, 173.46153535403383, -23.115577697753906
382,492.3605000726312, 386.3520955137817, -0.0006257146596908569,433.6894093192007, 383.3510056247703, -4.738921165466309,384.87095967384005, 354.85937449484976, -8.48758602142334,346.80366621915937, 327.3262534604294, -13.04872989654541,320.1469416733792, 310.7024692894995, -18.411880493164062,419.0426522469123, 272.73597119236973, -4.655426979064941,396.67188150772415, 220.28907200506356, -6.962646484375,382.95074325911526, 188.10659057005606, -8.446183204650879,373.55421658007464, 162.7192923093668, -10.205244064331055,455.9086342824288, 260.58168870030306, -7.449509620666504,440.0281768491451, 198.85346122465614, -10.381509780883789,429.54446849643557, 158.4170647008321, -13.575360298156738,422.1300996314565, 129.7442546613635, -15.844959259033203,492.0861205187586, 261.51535566323923, -11.187982559204102,485.7921821271363, 205.57513237299702, -14.924873352050781,481.2504136423197, 165.6538935133579, -18.139087677001953,477.5286493540383, 137.1818221942105, -20.225982666015625,526.9380943108954, 274.9114502042459, -15.606283187866211,538.8859375964488, 232.68333529653478, -19.468109130859375,546.4154812935512, 201.16667850294488, -22.278644561767578,550.6294308705617, 171.9656941846668, -24.12104606628418
440,493.73441813758484, 387.77609030897355, -0.0006549134850502014,435.7651930020948, 383.90798533293525, -3.1627187728881836,387.407383257148, 354.498336589064, -6.530039310455322,350.0917390891345, 324.9131766360563, -10.413201332092285,325.1642235154644, 307.51432236935005, -14.996724128723145,421.3270239944506, 274.9048177733097, -6.700699329376221,396.895112927485, 220.0339482533119, -8.766152381896973,383.89419824563123, 187.19382051466857, -9.40221118927002,375.40535938803527, 161.83307607514604, -10.343769073486328,458.9654116655747, 262.93972175300394, -8.741525650024414,441.1005960407975, 199.79042313848376, -11.759145736694336,431.20734739163447, 159.65535717108366, -13.772189140319824,424.41671691560356, 131.99830387376787, -15.168356895446777,495.98755869894046, 264.14491631435016, -11.087451934814453,488.4457248814683, 207.7257762961852, -14.370720863342285,484.2524397639651, 168.76881257811897, -16.340744018554688,480.7786115824638, 141.93358266047727, -17.556482315063477,531.1558317230026, 277.594598377895, -13.750007629394531,541.7171349902707, 235.2732603714012, -16.786527633666992,548.3782347047196, 204.58795946088588, -18.709182739257812,551.4985522087081, 177.16160934160868, -19.88087272644043
496,494.42545656534935, 387.4229877697746, -0.0006244853138923645,436.8370531093164, 383.43921006476955, -4.973541736602783,387.97899187049023, 354.55323236805293, -8.886869430541992,351.1973128938706, 324.07134428692405, -13.252212524414062,327.0330599878371, 304.8786449450431, -18.230621337890625,420.99776981614934, 276.22231050260393, -6.504642963409424,397.18126837343254, 223.14961010901143, -8.973217010498047,383.73292565484957, 190.2257298333265, -10.30113697052002,374.1560418041191, 164.07141366344706, -11.825860977172852,458.1318464136404, 263.5883040803966, -8.485250473022461,440.03333142345235, 202.64129309244632, -11.780050277709961,428.62371861354876, 162.1660318994975, -14.74052906036377,420.4083897895801, 134.00376370381306, -16.831083297729492,494.55164509027446, 263.6758517007367, -11.14728832244873,486.8486722787361, 208.48714307079277, -14.979153633117676,481.57770873757704, 169.17758342858423, -17.955089569091797,476.65261314402875, 141.79686705330965, -19.88373565673828,529.5675609635276, 275.79063616836487, -14.376991271972656,539.2425091711515, 233.70618482229088, -18.05227279663086,544.9316892360595, 202.58293470490852, -20.60641860961914,546.94266786205, 174.62501688527038, -22.225690841674805
551,491.3742566397416, 387.3866144065921, -0.0005899518728256226,435.3666511041887, 382.17312363809253, -6.458197116851807,387.197490781778, 352.6942325333303, -11.37314510345459,351.796975039308, 320.60851853775483, -16.48031997680664,330.6093174478216, 300.0682591739547, -22.18117904663086,422.09522594248665, 277.10347746503345, -9.095657348632812,398.6267980262246, 225.09158093119638, -12.60468864440918,384.8602726884295, 192.50332629389683, -14.765281677246094,374.8997267472721, 166.3657939533002, -16.826204299926758,459.11298722344685, 265.1188429809668, -10.636253356933594,440.9235104715392, 205.9183208442713, -14.877801895141602,428.9327602489278, 165.866394370078, -18.590076446533203,420.03094041495103, 137.88347473297392, -21.20484733581543,494.8829305671363, 265.17282454902386, -12.894163131713867,487.059491849574, 211.05154257019888, -17.409257888793945,481.1525660110281, 171.8572931365626, -20.972854614257812,475.44403901742623, 144.84428362159855, -23.340087890625,528.9643984343857, 276.69269169554207, -15.829471588134766,538.1935791499263, 234.4238662746468, -19.98436737060547,542.7869970091675, 202.74238095128015, -22.990337371826172,543.4205345334279, 174.97269373057634, -24.9893741607666
