TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
59,515.5736194556717, 422.85384299508934, -0.000555083155632019,453.1528270942547, 419.86619511956167, -3.8506789207458496,395.57177477113805, 387.9498692824047, -6.72847318649292,346.55600424967065, 357.7737751067288, -10.636163711547852,302.88372687370963, 342.6854713979117, -15.691082954406738,427.1431349550954, 302.4511547966525, -2.4411399364471436,390.1392004305006, 251.67737990759827, -4.230182647705078,365.7568922889502, 218.7509609117656, -5.850574970245361,345.2352834651528, 191.37904474230538, -7.8205718994140625,464.95341203587907, 285.8045938294477, -5.181615829467773,435.88716626843745, 222.2508787240539, -7.137046813964844,415.74991041527505, 180.732268502833, -9.87464427947998,399.1803258763222, 150.24936077719434, -11.884737014770508,503.58240679429, 283.2053365925886, -8.917707443237305,488.0299953896858, 223.02701766592128, -11.765091896057129,477.35647479135395, 181.14049694144555, -14.200590133666992,467.1865990290675, 150.34833432665113, -15.857809066772461,541.8378023607744, 293.70510128840715, -13.341577529907227,547.3912587586954, 246.55908622159535, -16.61874771118164,551.1894980281619, 213.2160702160212, -18.85214614868164,551.5499984501525, 181.8326575568382, -20.278337478637695
151,513.5890089937307, 422.4184955962478, -0.0005312860012054443,449.9208790270871, 418.58888630841795, -2.5046050548553467,392.0605049876633, 387.6041445248758, -4.40927267074585,342.61409461844414, 357.24128538097295, -7.230278015136719,298.45212756067406, 342.34137973020916, -11.144165992736816,423.92935958836597, 304.1473581646115, -0.9024238586425781,385.7320843636162, 252.00191997070365, -1.3657056093215942,361.9833302039232, 219.3661659359542, -1.4496750831604004,342.28224006417304, 193.3359675700967, -2.13920521736145,461.7815264531195, 286.15094497505976, -3.1323251724243164,431.35054795929295, 222.0806549300777, -4.026587009429932,410.99139158946707, 181.27832974963803, -5.418044090270996,394.84818648543086, 152.2315815096355, -6.1701154708862305,500.84433135033834, 282.1456266908584, -6.175168037414551,486.41292024936945, 221.55430997266012, -7.846742630004883,477.29669048078057, 180.18110047012155, -9.24360466003418,468.78158619957003, 150.09892147118816, -9.949448585510254,538.909351883355, 291.1739923030072, -9.68387222290039,545.2935168425693, 243.43041745017257, -12.032706260681152,550.2395060401715, 210.92066851444932, -13.523500442504883,551.9646848823111, 180.30013641486192, -14.191690444946289
231,512.4353226239261, 422.16349037353785, -0.0005208402872085571,448.25325819441497, 417.95511751041454, -3.6336843967437744,390.4976009500029, 385.8399437513196, -6.546518325805664,341.58380571446355, 356.78432477806155, -10.594939231872559,297.75220527226963, 342.51175717601154, -15.950583457946777,422.3437852196135, 299.9641447497255, -2.486842155456543,384.5190189563006, 251.76199456354257, -4.634934902191162,359.1631509287283, 219.8405177155625, -6.8221235275268555,338.0554030736116, 193.0179459950952, -9.256221771240234,460.3104683346497, 284.1844214810604, -5.7095537185668945,431.2037377471662, 222.25331846217566, -8.038921356201172,410.6861878554499, 180.94491334141713, -11.35696792602539,394.2062311960096, 150.2090346394129, -13.76215934753418,499.27462236817416, 282.6829991816469, -9.96590518951416,485.29849050563024, 223.92004257595258, -13.135246276855469,476.02843850300997, 181.6146269741845, -16.137248992919922,467.3932640704877, 149.73076867205046, -18.215105056762695,537.1921877702167, 294.6796494042119, -14.889873504638672,544.9659279015323, 248.7594782911308, -18.630239486694336,550.6067382643993, 215.50505004983518, -21.416831970214844,552.7865637852403, 183.19826226813933, -23.345746994018555
292,511.8674441141236, 422.80298507245476, -0.0004185289144515991,446.91886075041265, 418.3202159449322, -3.247042417526245,389.00496855063426, 386.8186814266411, -5.810098171234131,340.56722261848716, 356.9983118388874, -9.438440322875977,297.73762495534686, 343.0392755720808, -14.319964408874512,422.0916181137979, 302.4351388089274, -1.4022969007492065,384.84530617029606, 252.12299808765485, -2.8383092880249023,360.7330488129483, 219.8539256819681, -4.331564903259277,340.7037939973445, 193.46602041059407, -6.127429008483887,460.0423865209239, 285.6149406015018, -4.267027854919434,430.300708039373, 222.6805046698915, -5.96354866027832,409.8410632336901, 181.61919070981844, -8.608516693115234,393.70832061460726, 151.23698927948325, -10.29227352142334,499.0685152728932, 282.93331837420897, -8.129545211791992,486.3806820172393, 223.2648393452414, -10.609124183654785,478.1041463634009, 181.17003805832547, -13.087549209594727,470.27060940583044, 149.34944927101526, -14.651415824890137,536.3005885702618, 293.61750973790396, -12.583749771118164,543.1255232706692, 246.56129702180996, -15.709209442138672,548.0429157358552, 213.78469086346533, -17.866687774658203,549.9554566556138, 181.87872708263546, -19.161460876464844
345,510.80681421024525, 422.9307959594131, -0.00039067864418029785,446.35399682979295, 418.4856982164084, -3.676821231842041,389.05629525039177, 387.347452638036, -6.378659248352051,340.22220937341575, 359.01228066441524, -10.166549682617188,297.61264093900013, 345.3501545071613, -15.20721435546875,422.0354309139046, 300.6167731550243, -1.542120099067688,383.61528255895115, 250.8075727900801, -3.1599459648132324,358.09212832950107, 219.11146990890398, -4.869136333465576,336.84233398007024, 193.32212786576457, -6.954311370849609,460.397864598567, 284.32193052221925, -4.380720138549805,432.04811384793555, 220.6831009863994, -5.974612236022949,411.6227249417917, 179.77978777015295, -8.670441627502441,394.85027553545467, 150.16837081990818, -10.674429893493652,499.32692706011846, 282.1832992636272, -8.273388862609863,485.6154981607724, 221.77100264306802, -10.76465892791748,475.5486942666462, 180.19296089306977, -13.199740409851074,465.8033237798352, 149.8064474049129, -14.882722854614258,537.2086601329859, 293.17349550057037, -12.866456985473633,545.238006354637, 245.8090374908226, -15.920262336730957,550.3909995089955, 212.67150610122184, -18.05877685546875,551.8623971447437, 181.3335379866331, -19.438716888427734
416,509.86521768871506, 423.46950713972376, -0.0004763007164001465,447.6703492159998, 420.51814134410574, -3.4136879444122314,389.55003699394814, 389.8413137692206, -5.680984020233154,341.2374212687121, 359.14781634965703, -8.918244361877441,299.9717509276152, 344.2317654934685, -13.156539916992188,418.9910963022188, 305.85749386486424, -1.1141360998153687,381.1078767113731, 256.1657867176175, -2.262317180633545,358.08043672541294, 222.76731513365274, -3.557436466217041,339.05424597969863, 194.9591462738129, -5.207446098327637,457.3570784628271, 287.2736965019292, -3.552076816558838,426.7356738068883, 225.68746592952104, -4.980594635009766,406.1996948245732, 183.34520386150308, -7.529507160186768,390.0249226356771, 151.9364350825971, -9.181509971618652,497.01337938495067, 283.16787235676384, -6.989898681640625,483.14382867537694, 224.55789601192862, -9.162452697753906,474.5855865305202, 182.57165831361766, -11.592098236083984,466.3116307382427, 150.91848122990785, -13.143527030944824,535.7042141398664, 292.7592985477634, -11.046674728393555,541.3565171946884, 246.710962229484, -13.848673820495605,545.9182013214743, 214.44931420264226, -15.887556076049805,547.1673868144734, 183.0393140091717, -17.060720443725586
469,509.6537590656134, 422.87425761355894, -0.0005550980567932129,446.97474575249163, 419.1417050248395, -3.9733643531799316,390.70537069831045, 388.118968328931, -6.985636234283447,342.2708389314997, 359.5836725836714, -11.010921478271484,298.4867423933112, 345.19201384892284, -16.22679328918457,421.3299533590486, 302.9143062700873, -3.0781311988830566,382.9308809575416, 254.12042079647065, -5.5688605308532715,357.74579258642683, 221.1850790600236, -8.087384223937988,336.46293503392144, 193.40327689052847, -10.667774200439453,460.0470558155412, 286.52251816208997, -5.876899719238281,431.30232618053725, 223.8933268370511, -8.259394645690918,411.4165849226911, 182.0514167373078, -11.487738609313965,394.7575825533352, 150.28498370647935, -13.94793701171875,499.1366641123148, 284.06226069414595, -9.63491153717041,484.58290541508296, 225.2565605545077, -12.738306999206543,475.39121891506477, 184.42327846825145, -15.635547637939453,466.30968819961237, 153.68998483974508, -17.73288345336914,537.1150236087065, 294.36692783948456, -14.073217391967773,543.267487424499, 248.63660846569076, -17.41729164123535,547.8431985656575, 216.64459810059589, -19.793193817138672,548.9956593052965, 185.89697115833383, -21.451461791992188
524,511.97045830275124, 424.46225225807285, -0.0005255416035652161,448.43126099998, 421.5359082063593, -3.278224229812622,391.43917539706666, 391.1386977556046, -5.990091800689697,343.20073708994147, 361.68021340381733, -9.513179779052734,300.5219778417337, 347.2074003216811, -14.123266220092773,420.8990163318634, 308.9599396925223, -3.8606491088867188,382.02916441394945, 256.5252629573142, -5.684930324554443,358.3195069817088, 222.04414429556084, -6.733828067779541,338.8558834325377, 193.7023939254916, -8.003692626953125,459.51504522855066, 291.22093496159926, -6.201821804046631,429.03840139489824, 226.3746842720796, -8.603069305419922,408.2540065140744, 183.2051482139821, -10.971033096313477,391.4491883102888, 151.17457533387324, -12.510502815246582,499.27066202460776, 287.0458648472145, -9.27527904510498,485.1654884791104, 226.00209770735296, -12.209251403808594,475.9497891357289, 183.16316431484017, -14.564600944519043,467.03835096973035, 151.3289888408276, -16.038713455200195,537.8441476683832, 295.643145819284, -12.822519302368164,543.8604904779448, 247.83155985705147, -16.081153869628906,548.2628277601455, 214.69728263821892, -18.252376556396484,549.0937125433342, 183.28144714236726, -19.55626678466797
576,511.1776423082687, 422.1407633474246, -0.0003928542137145996,447.47172465578234, 418.07405397320076, -3.5366103649139404,389.6825994743674, 387.21979116045316, -6.456460475921631,340.1893876892789, 358.1435669386636, -10.366976737976074,296.82123576808505, 343.85340748858425, -15.451184272766113,420.65680602652475, 303.88528950838486, -3.4777426719665527,382.5571747712882, 253.37679296194315, -5.755866527557373,358.6574203575532, 220.69188897389063, -7.560450077056885,338.8513859669552, 193.77963356466134, -9.50967788696289,459.19592374920853, 287.1548318457435, -6.2756876945495605,429.4192882446174, 223.406283932662, -8.958794593811035,409.11440210319944, 181.86057609673918, -12.011306762695312,392.2595419712096, 151.12550261518572, -14.236139297485352,498.6442873340505, 283.95255753758704, -9.89702033996582,482.7993031394308, 223.59622807988535, -13.32383918762207,472.20193370776957, 182.26124254269948, -16.21870231628418,462.03720518126516, 151.67758482604063, -18.158815383911133,537.3032434915971, 293.6481912638992, -14.092605590820312,543.5101943872451, 246.34781149325357, -17.611194610595703,547.675894180549, 213.66835966506784, -20.079151153564453,547.932626906216, 182.73826254485923, -21.731258392333984
632,511.45323465419045, 419.81578993170723, -0.0005138739943504333,447.3597525677387, 415.24586828252495, -3.058861494064331,388.9813721769258, 384.6755602279551, -5.556227207183838,338.99243860026377, 356.5345057695097, -9.229889869689941,295.63800208733744, 343.91561802691785, -14.209736824035645,421.6753950403226, 300.49092316166957, -1.0657553672790527,383.8645997726011, 250.80929147002894, -2.624462842941284,359.36724810743453, 219.29299754671425, -4.358001708984375,338.9661575315483, 193.5413529511226, -6.424783706665039,459.90026571915087, 284.09922662038497, -4.002985000610352,430.30831584689366, 221.0318598433288, -5.5973992347717285,409.0395081812564, 180.31812541224912, -8.472654342651367,391.2325982741548, 150.4563192057734, -10.69786262512207,499.21100050825856, 281.4770190603909, -7.883171081542969,483.6447454309552, 221.44885701673556, -10.414754867553711,472.48641230515665, 180.43574911073426, -12.98932933807373,461.5277320215854, 150.06119267194964, -14.82214069366455,537.9755288051183, 292.047620498816, -12.397346496582031,544.3896724742948, 245.05330535049552, -15.33787727355957,548.5999999793489, 213.0100956618437, -17.494651794433594,548.7732108433437, 182.3976474428465, -18.971843719482422
