TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
63,474.6349235784925, 353.51845002331794, -0.0007589831948280334,424.4749631614461, 335.15635525925745, -6.380031108856201,379.66593474012996, 296.8908190586618, -10.510437965393066,342.4950651023635, 262.24524151985474, -15.092227935791016,308.6737266932654, 242.76050724137502, -20.281482696533203,427.1572431983088, 231.3992500458759, -6.804543495178223,406.6776512681446, 180.73205724795554, -10.044912338256836,393.9290267333303, 148.04507219433285, -13.033578872680664,382.52442788746566, 119.70790227404646, -15.768735885620117,464.1030884235594, 225.05095303446657, -8.645893096923828,451.30203013669444, 166.15325806896536, -11.907878875732422,442.28916700775625, 125.48923539289787, -15.505680084228516,433.8565205093968, 94.3128504978917, -18.145465850830078,497.68651149747996, 230.99134264301003, -11.418693542480469,496.0223095417774, 177.85637313352862, -14.958733558654785,494.60429098175985, 138.12608069388864, -17.483736038208008,490.86871990592397, 106.32301808603201, -19.305009841918945,528.3586602463847, 249.32934539186255, -15.113393783569336,543.3284990342838, 210.62059920280345, -18.34866714477539,553.1467477957002, 182.20155078206295, -20.26842498779297,558.4045771118283, 152.92032627552769, -21.473535537719727
147,473.2867419211283, 352.8333556243617, -0.0009362921118736267,424.2628734243654, 333.4886439585299, -6.378828525543213,380.17438923255435, 294.73171198189476, -10.060832023620605,343.1624020899159, 259.84919603367536, -14.26488971710205,308.577442194154, 239.83419388652243, -19.015676498413086,424.8324397476395, 229.245657621958, -5.046394348144531,405.11310454510584, 179.6644535863329, -7.526649475097656,393.3112746494302, 146.71835819522, -10.13337230682373,382.6096407551239, 118.16216836651807, -12.69151496887207,460.89354929403606, 222.67902767131702, -6.727779865264893,449.04862981621415, 165.39509868740066, -9.01780891418457,441.09930449393266, 125.49804578094938, -12.208209037780762,433.66065075377753, 95.23320008659799, -14.582198143005371,493.83925918973216, 228.56604157177682, -9.494499206542969,493.4063408611589, 177.14504401848606, -12.173225402832031,493.23139992693825, 138.65263666710405, -14.329766273498535,490.4890528992275, 107.86540717127298, -15.930611610412598,524.3654053481299, 247.0092961955903, -13.279254913330078,539.558938253961, 210.0302110656968, -16.00754165649414,549.9387961708906, 182.88362162995224, -17.676990509033203,556.0088648679839, 154.62733679104332, -18.64583969116211
226,472.6473575744334, 356.2872829543575, -0.001004442572593689,423.1973118921465, 336.58691631330464, -6.981170177459717,379.81867453593225, 296.02980368754686, -11.15591812133789,343.8827183687926, 258.6065894232432, -15.831647872924805,310.00262775131034, 235.4588535046912, -21.205883026123047,426.57417855820563, 230.7573106428473, -5.655910968780518,407.0683117301032, 179.66594669009442, -8.778909683227539,394.42477204806016, 145.83369979711074, -11.966734886169434,382.8847109171889, 116.10291888352737, -14.947927474975586,462.7176721289778, 225.574913775722, -7.434764862060547,450.8994643637161, 166.68843111752275, -10.378229141235352,441.9898622101673, 125.61981108698899, -14.25571346282959,433.6797898076491, 94.00516472574388, -17.237091064453125,495.52431983353017, 232.32934635612023, -10.347129821777344,495.028847057176, 179.6192426186878, -13.686928749084473,494.08417260155613, 140.25839826086286, -16.714603424072266,490.31874260959864, 108.89584308075285, -19.041345596313477,525.7943657753457, 250.73077223223243, -14.269989013671875,540.1192535178959, 212.8037430073346, -17.53044891357422,549.5909683135831, 184.76619502164561, -19.781829833984375,554.5242914636477, 155.86959294325652, -21.32526206970215
287,470.81835417790444, 353.4332062286446, -0.0008827894926071167,420.857669199917, 334.8172959212296, -6.657843589782715,376.1906739133971, 295.52117044137844, -10.688273429870605,340.5065957799785, 258.0994559971174, -14.862088203430176,309.1068774507161, 236.19841250360088, -19.484455108642578,424.24915562991737, 234.08217582025708, -7.4640679359436035,403.7753447256928, 182.53181348923897, -10.344995498657227,391.74617185639244, 148.84932071936856, -12.732977867126465,380.5804942392226, 119.85376489274904, -14.841955184936523,462.30684202475237, 226.61520513215763, -8.389463424682617,449.2670801166141, 167.77939310967545, -11.326652526855469,440.2427874716052, 126.5216629424136, -14.274405479431152,431.3680375479819, 95.34608019069395, -16.290632247924805,496.5532178679906, 230.9792894540994, -10.127535820007324,495.02822473866, 177.60600639084842, -13.142045021057129,493.5907810161193, 137.7923781367843, -15.022218704223633,489.0061038217957, 106.39030451640762, -16.27469253540039,527.664553840493, 247.56387033475366, -12.760343551635742,542.0958665037099, 208.12944742606592, -15.42978286743164,551.3792351501659, 179.68692793082883, -16.853118896484375,555.4622446089518, 151.11390404162398, -17.514759063720703
340,472.8289980946627, 353.19010870141494, -0.0009709969162940979,421.4312651523151, 334.8239574547274, -6.765328884124756,377.8857699878439, 296.83277994303364, -10.873037338256836,342.31920689013924, 260.54791310354886, -15.114137649536133,308.494590828991, 237.8118433158649, -19.80881690979004,422.8632838819523, 234.57165362926753, -7.74224853515625,402.94940747953166, 183.5008799441596, -11.012560844421387,391.26922431731185, 148.96624693524154, -13.684731483459473,380.6327771711848, 119.00418136754176, -16.03302001953125,459.8365162087168, 227.8432621861787, -9.048072814941406,447.76272059930056, 169.06135628401347, -12.324922561645508,439.81634436923275, 127.51977478905222, -15.569265365600586,432.62358246816655, 95.61315575941035, -17.85141944885254,493.3380731131103, 232.6110545591491, -11.240731239318848,493.12608816491274, 179.77216597577572, -14.706114768981934,493.6001389001916, 139.82717382321562, -17.028905868530273,491.45837457092904, 107.87480240092462, -18.669811248779297,523.571603929969, 249.17169862617902, -14.330024719238281,538.5079403615084, 210.56066279171702, -17.599288940429688,548.7577697639906, 182.0900835154551, -19.498363494873047,554.971334210342, 153.1773898919944, -20.598159790039062
397,476.09875011622773, 352.1752415040179, -0.0010977014899253845,425.82661243537973, 335.2604233880912, -7.845695495605469,380.39991851229706, 296.9746034195414, -12.535863876342773,343.10675912716215, 259.4117275307662, -17.134708404541016,308.4152496768299, 235.19478882579125, -22.14143943786621,424.41129401310496, 236.02600336694067, -9.141170501708984,404.03877270282953, 186.30173780230058, -12.944247245788574,392.65031920758537, 151.5974266503299, -16.22063446044922,381.8750605411649, 120.74182664764422, -18.946321487426758,462.49049575059263, 227.33944523646784, -9.612826347351074,448.84238911803993, 170.78748442700348, -13.478008270263672,439.9549450695563, 129.25185558464563, -17.186298370361328,431.47822459124967, 96.69790372786476, -19.791410446166992,496.61333549954713, 230.08242766086644, -10.938481330871582,494.398956448285, 178.8084789289199, -14.773982048034668,493.18849910623373, 139.39459115201072, -17.434064865112305,488.95182894931145, 107.34149762717435, -19.293237686157227,527.36584830897, 244.60837663022383, -13.212345123291016,539.348601449752, 206.18306840064116, -16.701026916503906,546.9550000931123, 178.18998047718156, -18.822250366210938,550.2298487848763, 149.76314766269576, -20.062454223632812
450,477.6165197945131, 352.7330419458359, -0.0010709092020988464,427.3814054765723, 333.59775721852327, -6.968442440032959,382.7208675772416, 294.86515072090685, -10.91827392578125,344.8503511830854, 258.3355986231268, -14.99096393585205,308.25889293853436, 235.54466134891715, -19.517423629760742,425.80340546219196, 232.3543239953633, -5.995137691497803,405.78962630207764, 182.12506166838415, -8.691100120544434,394.0835180857632, 148.18365247240976, -11.291679382324219,383.0002771876185, 118.52504406762063, -13.595924377441406,462.4158085866361, 224.28736294213914, -6.435455799102783,449.78554347090557, 166.6524423192023, -8.736432075500488,441.3088458956058, 126.80375249916894, -11.534887313842773,433.1686641849279, 96.23000930470937, -13.61056137084961,495.44587128450684, 227.48192161794788, -7.845725059509277,493.7111490394878, 175.73009805920307, -10.234997749328613,492.7709638961747, 137.86592150201218, -12.078913688659668,488.83193365339673, 107.44740989202563, -13.480478286743164,525.5884512780577, 241.885672911439, -10.232137680053711,536.0161382735994, 203.00649222147692, -12.587416648864746,542.9867703525965, 176.05728023726158, -14.013912200927734,546.0943492281509, 148.86833633312492, -14.816012382507324
506,476.9389563492181, 355.78014647922635, -0.0011149123311042786,427.0833577666373, 335.6379035418122, -7.221199989318848,383.19412907071217, 294.6118493685417, -10.99124526977539,346.81464284140736, 256.0215656225024, -15.146805763244629,311.44094841754526, 231.11454717230146, -19.80191993713379,424.9208161323233, 228.10929883821774, -3.446646213531494,406.21035572668114, 178.58005681065862, -5.598251819610596,395.0001036002254, 145.76819090818685, -8.10621166229248,384.17990168742176, 117.00486322802051, -10.558706283569336,461.03326482327805, 220.77493712456922, -4.217273235321045,448.6073579288377, 164.400265379001, -5.899447441101074,439.6908859854923, 126.45439436098323, -8.857880592346191,430.7604180569885, 97.59420967290278, -11.162436485290527,493.9675315979676, 225.02410289740652, -6.278681755065918,492.0478782249319, 173.8760123056335, -8.332843780517578,489.81679652119954, 137.60371102877264, -10.422887802124023,484.27973217673656, 108.65604667295395, -12.131720542907715,524.8367720917395, 240.62599384337133, -9.463140487670898,534.088590641708, 201.81120532050525, -11.74970531463623,539.4890466287025, 174.9941377912777, -13.325366973876953,540.8764419515472, 148.05240616690253, -14.33293342590332
559,479.3120705509857, 356.16422408767835, -0.0009969472885131836,427.5661621589974, 336.0055470119223, -6.421336650848389,384.3344761948464, 294.82895788211914, -9.736701965332031,348.4497794314415, 256.2512122006884, -13.572755813598633,312.15339224855074, 230.3807567653941, -17.8885498046875,425.24818646225685, 230.60463151162378, -2.7546539306640625,405.85020370923195, 183.30717744146878, -5.378209114074707,393.4343749587049, 150.09743181029498, -8.414596557617188,381.1458992447335, 120.24733549104636, -11.297569274902344,460.11300637461216, 221.93131464304824, -3.887009620666504,447.8922375270401, 166.70066061100454, -6.1265716552734375,438.00786189871974, 128.1025848678197, -9.457508087158203,428.0634112404313, 97.67290879712581, -12.11979866027832,492.0949152791219, 224.62359944172388, -6.2708024978637695,490.2167894270369, 173.82057858415538, -8.82227897644043,486.85494861293733, 136.9648254316034, -11.261412620544434,479.95072206801746, 106.89224358086118, -13.360696792602539,522.4863810012281, 238.82997812017214, -9.717977523803711,528.8633559522609, 199.3943446028236, -12.49741268157959,531.358456927373, 172.06413013161233, -14.378456115722656,530.4434210849201, 144.83240141343504, -15.717487335205078
615,479.3120705509857, 356.16422408767835, -0.0009969472885131836,427.5661621589974, 336.0055470119223, -6.421336650848389,384.3344761948464, 294.82895788211914, -9.736701965332031,348.4497794314415, 256.2512122006884, -13.572755813598633,312.15339224855074, 230.3807567653941, -17.8885498046875,425.24818646225685, 230.60463151162378, -2.7546539306640625,405.85020370923195, 183.30717744146878, -5.378209114074707,393.4343749587049, 150.09743181029498, -8.414596557617188,381.1458992447335, 120.24733549104636, -11.297569274902344,460.11300637461216, 221.93131464304824, -3.887009620666504,447.8922375270401, 166.70066061100454, -6.1265716552734375,438.00786189871974, 128.1025848678197, -9.457508087158203,428.0634112404313, 97.67290879712581, -12.11979866027832,492.0949152791219, 224.62359944172388, -6.2708024978637695,490.2167894270369, 173.82057858415538, -8.82227897644043,486.85494861293733, 136.9648254316034, -11.261412620544434,479.95072206801746, 106.89224358086118, -13.360696792602539,522.4863810012281, 238.82997812017214, -9.717977523803711,528.8633559522609, 199.3943446028236, -12.49741268157959,531.358456927373, 172.06413013161233, -14.378456115722656,530.4434210849201, 144.83240141343504, -15.717487335205078
