undefinedTIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
87,416.4773257656254, 434.55737760397545, -0.00024540722370147705,354.65773558866726, 416.84039338119123, -6.92721700668335,296.0664987141597, 375.92255726651877, -11.636240005493164,244.40231764317176, 339.46429104282925, -15.934799194335938,198.6167667578828, 323.93133261417756, -20.640623092651367,362.1080197138306, 288.33566546102986, -11.51504135131836,336.98691016649525, 222.74586433052167, -14.242500305175781,323.31820715786984, 183.2659979270142, -16.22443962097168,310.9799559761808, 149.33207196614046, -18.04920768737793,408.8545673607509, 275.2516806815337, -10.755378723144531,395.97657978599625, 199.02721821494396, -13.18798542022705,387.5214045158965, 151.6394167792007, -14.510586738586426,378.3705178212147, 116.1906007447528, -15.459203720092773,449.5788337012027, 280.42846982734466, -10.297167778015137,449.3834112142598, 214.01641004614424, -12.147978782653809,449.7020576007486, 168.56327330661065, -11.827583312988281,446.05857889220005, 133.88886817897088, -11.731727600097656,484.9642282096037, 302.3684546451834, -10.671483993530273,505.67884130633377, 257.14352108535485, -11.616021156311035,520.5072408347742, 226.92553927242835, -11.31875991821289,529.7264731628414, 196.66380724227201, -10.896113395690918
181,420.4921577949898, 431.439321251195, -0.00035756826400756836,358.3183938983597, 416.7792998085478, -6.730546951293945,297.72547701618396, 378.48092956045355, -12.022229194641113,245.99521524829055, 342.72199647441795, -16.63551902770996,200.11313430110448, 327.5279359885133, -21.62846565246582,361.5260174783612, 300.0672659180511, -15.158853530883789,335.05415935572194, 234.73826956127706, -19.2453670501709,320.5346768709479, 194.2588000365526, -21.942157745361328,306.89030335206326, 158.33113276313895, -24.033241271972656,408.3956686748211, 284.3092208638558, -14.30392074584961,391.94241423259786, 207.83342999822165, -18.583513259887695,381.5256426384393, 156.81700796783545, -20.380889892578125,370.4087208932523, 117.34428444940178, -21.48294448852539,449.2555402752287, 286.08004102434444, -13.329874992370605,445.62743173558994, 218.02444922791895, -16.61425018310547,444.0344291818815, 168.775556264775, -16.48978042602539,438.2311157944508, 129.92507708806494, -16.378963470458984,484.7386179269441, 304.51238458475217, -12.968809127807617,502.9897865074572, 257.00419538280727, -14.723958969116211,516.007482654448, 225.39379551031496, -14.581920623779297,523.0444330511364, 193.4632042975727, -14.177894592285156
239,420.4800660600356, 431.5823636628836, -0.00028799474239349365,359.25280803915734, 416.4664084315877, -6.138731956481934,299.43353535677795, 379.1590585814598, -10.893282890319824,247.01885087163882, 345.4727085578494, -14.991886138916016,201.02189737945025, 331.78090168091126, -19.476778030395508,363.2205913450754, 295.6077857212835, -13.688920974731445,336.0660820912008, 228.6913569608896, -16.843290328979492,321.60743683192067, 188.2872897575482, -18.794883728027344,308.4702107875571, 153.42288709151495, -20.421920776367188,410.16958883078087, 280.53883834840406, -12.597555160522461,394.1737490599947, 203.5685150639015, -15.816010475158691,383.59711648136414, 154.10601231754185, -16.916772842407227,372.4376135664362, 116.87430940876104, -17.578298568725586,451.24658599246993, 283.4158884083432, -11.38189697265625,448.2695559420854, 215.6749496307523, -13.588109970092773,446.2366242803742, 168.0963795459753, -12.815537452697754,440.18069606829863, 131.94299423096464, -12.298595428466797,487.14955201082967, 302.4204602238336, -10.751859664916992,506.64779944270333, 255.75684795338123, -11.702058792114258,519.8969563419664, 224.67402067510758, -11.094602584838867,527.007191109015, 194.23119054192688, -10.361430168151855
294,418.82965167448145, 435.9578317705384, -0.0002289414405822754,355.43212543990694, 419.1903761382333, -6.496653079986572,295.00879502912704, 379.1124056916115, -11.32791519165039,241.67334731902724, 342.0919502811707, -15.572128295898438,193.92366861597506, 325.388309670984, -20.23102569580078,361.29339251997794, 296.38692639100327, -13.06147575378418,334.38389525718407, 229.8923487960339, -16.26597023010254,319.54888997850236, 189.30419913245981, -18.340003967285156,305.81278100722216, 154.2120099372316, -20.033164978027344,409.24722657501246, 281.34784118150316, -11.990622520446777,394.2638057272607, 203.9477685886993, -15.076187133789062,384.40367600719003, 154.93435497697809, -16.22761344909668,373.80175619952263, 117.67863009774999, -16.876420974731445,450.91095580748316, 283.86822364760025, -10.9552640914917,448.91647712326903, 215.3910450952793, -13.193400382995605,447.67085288968696, 168.25441829278037, -12.606435775756836,442.4385965112653, 132.04162772202832, -12.151392936706543,486.7548013351152, 302.4506938410722, -10.589889526367188,505.86840727302473, 254.34327883108114, -11.69023323059082,518.977340406773, 223.00539168598633, -11.235522270202637,526.4469522233948, 192.254709909114, -10.568685531616211
348,420.20226637941136, 431.72097605096803, -0.00032064318656921387,358.4749441992674, 416.7403432607592, -6.637286186218262,298.2348925164158, 378.7914560861328, -11.69137954711914,245.5250800802463, 343.96311920882783, -16.125261306762695,199.3092549898589, 328.9595034042288, -20.98858070373535,362.4633521522723, 296.83604158341404, -14.293886184692383,335.3559433808694, 231.1574627829337, -18.10093116760254,320.76535514970107, 190.31298754843482, -20.77150535583496,307.64973469425166, 154.43760816638533, -22.925756454467773,409.33285596195657, 282.4833122665052, -13.473495483398438,393.4808820838436, 206.23994173267693, -17.36165428161621,383.28211082528924, 155.39351513431447, -19.30698585510254,372.69478537494626, 116.29717226313531, -20.641490936279297,450.2947620043577, 285.82596777838233, -12.610613822937012,447.53649469489, 218.36755731625465, -15.548974990844727,446.4788867313141, 169.67082931591926, -15.611854553222656,441.58534953506563, 131.9645109638511, -15.70897388458252,485.9986966428446, 305.39861180280536, -12.382230758666992,506.25220321607003, 259.03754129915325, -13.972166061401367,520.6876110960308, 227.19791428124773, -13.983713150024414,529.0846098695577, 195.3982234985809, -13.782191276550293
401,423.19391198287536, 433.8215425087708, -0.0002947673201560974,360.91388721823165, 418.10045245743356, -6.507755756378174,300.59187761489176, 379.883105195414, -11.334836959838867,247.93893437322467, 345.4276621233847, -15.612810134887695,202.2429012757239, 331.73196381096244, -20.264301300048828,363.90511871891357, 294.2312723035482, -13.32004165649414,336.4542764009604, 227.93288495659675, -16.7514705657959,321.9760018426652, 187.66746969108993, -19.135343551635742,309.00833782980715, 152.78384373845267, -21.15573501586914,410.7257360565953, 279.3499766302511, -12.482232093811035,395.6266272023941, 202.29265658447756, -15.873867988586426,385.94301924744076, 153.07430439714147, -17.42928695678711,375.5327570917349, 115.83531490293839, -18.564687728881836,451.8897786441901, 282.7993033907619, -11.677389144897461,450.0767285231759, 215.20945175252913, -14.194146156311035,449.547600006548, 168.4470421401187, -13.975221633911133,444.7951924587595, 132.6528187287135, -13.965753555297852,488.0577512949249, 302.94333362219294, -11.548419952392578,508.1178633618458, 256.80104363244254, -12.87267780303955,522.18172751272, 225.97122058191417, -12.672842979431152,530.1897653075196, 195.35391927384188, -12.35559368133545
454,423.19391198287536, 433.8215425087708, -0.0002947673201560974,360.91388721823165, 418.10045245743356, -6.507755756378174,300.59187761489176, 379.883105195414, -11.334836959838867,247.93893437322467, 345.4276621233847, -15.612810134887695,202.2429012757239, 331.73196381096244, -20.264301300048828,363.90511871891357, 294.2312723035482, -13.32004165649414,336.4542764009604, 227.93288495659675, -16.7514705657959,321.9760018426652, 187.66746969108993, -19.135343551635742,309.00833782980715, 152.78384373845267, -21.15573501586914,410.7257360565953, 279.3499766302511, -12.482232093811035,395.6266272023941, 202.29265658447756, -15.873867988586426,385.94301924744076, 153.07430439714147, -17.42928695678711,375.5327570917349, 115.83531490293839, -18.564687728881836,451.8897786441901, 282.7993033907619, -11.677389144897461,450.0767285231759, 215.20945175252913, -14.194146156311035,449.547600006548, 168.4470421401187, -13.975221633911133,444.7951924587595, 132.6528187287135, -13.965753555297852,488.0577512949249, 302.94333362219294, -11.548419952392578,508.1178633618458, 256.80104363244254, -12.87267780303955,522.18172751272, 225.97122058191417, -12.672842979431152,530.1897653075196, 195.35391927384188, -12.35559368133545
510,420.63234479507395, 429.3007556424816, -0.00030349940061569214,358.6391509415294, 414.43462308870073, -7.172226428985596,298.2188130972992, 377.07606455552025, -12.632301330566406,245.58204126014698, 343.7930885236951, -17.46220588684082,200.2420489769377, 330.62895556800004, -22.72026252746582,363.51073949735337, 294.3739453354667, -15.133520126342773,337.30005379990473, 228.7847675834339, -19.250768661499023,323.17889107487366, 188.81781136854283, -21.894447326660156,310.44290114173367, 154.02305729551983, -23.99162483215332,411.0678324162898, 279.991750373232, -14.336965560913086,395.32375851880505, 203.76902698092155, -18.728609085083008,384.89526726899624, 153.98272889696366, -20.82358741760254,373.788379873137, 116.07325033542182, -22.211660385131836,452.7240241221277, 283.11934152763854, -13.553718566894531,449.4393232931368, 215.58725675191596, -17.036714553833008,447.1869412912091, 167.863140921453, -17.332876205444336,441.01210948940854, 131.29987994775297, -17.538753509521484,489.0841829623346, 302.58730068359193, -13.439231872558594,508.4813603266015, 255.79703575990388, -15.498941421508789,521.4659751164118, 223.807455721405, -15.728754997253418,528.1046636741339, 192.32863384806464, -15.662677764892578
568,426.22845841467176, 431.85436025768695, -0.00033602863550186157,362.0637928050935, 416.3251442108427, -6.661492347717285,301.7155260175968, 378.9759215635571, -11.779009819030762,249.2726098455341, 345.49357355966987, -16.30156707763672,201.97978947495713, 331.2863995615962, -21.264606475830078,363.94084730204816, 297.2343945181642, -14.47465705871582,336.16474412168725, 232.5940367237359, -18.69331169128418,321.04013381994434, 191.99472404492343, -21.759923934936523,307.32516616563373, 156.04165068405848, -24.168935775756836,410.37514044562823, 282.6776752518129, -13.837183952331543,394.4822039503863, 206.1564802542842, -18.13791847229004,384.2659460354063, 155.47238062981492, -20.340499877929688,373.46315282623823, 115.69844247531182, -21.860273361206055,451.08012370510255, 285.70976849742635, -13.18075180053711,448.4061655433479, 218.34275425265298, -16.5794734954834,447.36389057499974, 170.03201055037067, -16.9364070892334,442.33354777956987, 131.87573045810666, -17.24927520751953,486.30955211337164, 304.8905585831478, -13.153512954711914,505.655327512143, 258.79680399055025, -15.185667037963867,519.3539439876723, 227.18682561781478, -15.439995765686035,527.3786081705277, 195.13788110939979, -15.436318397521973
623,422.38358336906623, 428.5981235492303, -0.00032357871532440186,359.10307334469564, 414.24498895709576, -7.046445369720459,298.7180783760799, 377.3420562644402, -12.317276000976562,245.98122209570403, 344.76227540801244, -16.92780303955078,199.95448904790305, 332.59124709278063, -21.9741153717041,364.09766582136876, 294.0373736477022, -14.59505844116211,336.5879612911119, 228.12877172795228, -18.3909854888916,320.9608892238828, 188.44987212631906, -20.773447036743164,306.72538015642397, 154.20617357499032, -22.631624221801758,410.9292848591222, 279.19235733549726, -13.584321022033691,395.1704780360041, 202.13278877521523, -17.34841537475586,384.1205314637542, 153.2990677157874, -18.880830764770508,372.10363442379895, 116.28858967354643, -19.85894203186035,451.5991651433476, 282.05477248861087, -12.593420028686523,448.94570920512786, 214.73183270265386, -15.45059871673584,446.90310834948406, 168.2688548310063, -15.214643478393555,440.3534189782853, 132.6792399371532, -15.088753700256348,486.71132898299675, 301.25988901862934, -12.285978317260742,505.5998537194486, 255.17674047515877, -13.801419258117676,518.5148044882723, 224.7894390120574, -13.602659225463867,525.146595647828, 194.69021055047432, -13.217744827270508
