TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
56,395.10820075106056, 393.8045206218519, -0.0004251748323440552,323.99240353878474, 362.87626187645617, -5.573576927185059,271.6148543757737, 309.8194259490648, -8.949173927307129,224.89306196122826, 262.4037042733442, -12.722079277038574,180.4768372912741, 228.88061579336346, -16.949796676635742,339.5033973239642, 224.98647610807248, -4.846402645111084,316.1038977590405, 157.225141724075, -7.285991191864014,298.24783088462146, 110.65057599062361, -10.034842491149902,282.75254564584117, 72.47113715554426, -12.928316116333008,385.6345689851663, 214.60397412873422, -6.582729339599609,379.4840694852823, 131.77790950577457, -8.632087707519531,372.6986953247337, 78.05611194491169, -11.533669471740723,367.3346269724746, 38.17558386408567, -13.50313663482666,425.5586152163603, 220.73229460606188, -9.347874641418457,434.51091049259253, 147.58159528904744, -11.817949295043945,440.06714052500814, 97.00435541504332, -13.722623825073242,443.0760170442392, 58.685760623831214, -14.997781753540039,458.2881276135044, 243.18552449943508, -13.0404052734375,485.43978468671116, 191.9509123875714, -15.829442977905273,503.3212106176004, 157.25359840896832, -17.342185974121094,518.7784043359704, 124.334923311382, -18.165164947509766
118,395.10820075106056, 393.8045206218519, -0.0004251748323440552,323.99240353878474, 362.87626187645617, -5.573576927185059,271.6148543757737, 309.8194259490648, -8.949173927307129,224.89306196122826, 262.4037042733442, -12.722079277038574,180.4768372912741, 228.88061579336346, -16.949796676635742,339.5033973239642, 224.98647610807248, -4.846402645111084,316.1038977590405, 157.225141724075, -7.285991191864014,298.24783088462146, 110.65057599062361, -10.034842491149902,282.75254564584117, 72.47113715554426, -12.928316116333008,385.6345689851663, 214.60397412873422, -6.582729339599609,379.4840694852823, 131.77790950577457, -8.632087707519531,372.6986953247337, 78.05611194491169, -11.533669471740723,367.3346269724746, 38.17558386408567, -13.50313663482666,425.5586152163603, 220.73229460606188, -9.347874641418457,434.51091049259253, 147.58159528904744, -11.817949295043945,440.06714052500814, 97.00435541504332, -13.722623825073242,443.0760170442392, 58.685760623831214, -14.997781753540039,458.2881276135044, 243.18552449943508, -13.0404052734375,485.43978468671116, 191.9509123875714, -15.829442977905273,503.3212106176004, 157.25359840896832, -17.342185974121094,518.7784043359704, 124.334923311382, -18.165164947509766
175,393.7545900151734, 397.3267899719233, -0.0005575269460678101,320.9644390089503, 363.848236902857, -5.4589715003967285,269.748704576279, 309.275721492789, -8.794363021850586,224.3902176690371, 261.5559874640073, -12.68592357635498,180.5494809786982, 225.51219323097416, -17.01618003845215,338.92416069015957, 224.9162772444473, -4.129904747009277,317.8986849289745, 155.23647145263274, -6.560222148895264,300.9360236433323, 107.25156485394403, -9.312934875488281,286.1217533093584, 67.88892854272876, -12.284723281860352,384.3126818983987, 216.0060657140457, -6.3510589599609375,379.2918067437639, 131.16906046659608, -8.347208976745605,373.11621091089773, 75.25542894971875, -11.412593841552734,368.3323572034886, 33.439816518253565, -13.567676544189453,423.61245142398485, 222.85535769437993, -9.699089050292969,432.80668434910785, 147.36289576134246, -12.223701477050781,438.6446319753401, 94.40336037645459, -14.299461364746094,442.09266380114406, 54.354114118230996, -15.741172790527344,456.1653081389629, 245.2630311501175, -14.014135360717773,482.76954141272967, 191.57630766466164, -16.936471939086914,500.9416899974792, 154.50449937807798, -18.545421600341797,517.0929068077279, 119.69529909816926, -19.486400604248047
229,395.5186907621745, 394.06191861757577, -0.000550098717212677,324.90997046759446, 362.44717776496714, -5.825394630432129,272.8396930731206, 309.28276590265443, -9.47044563293457,226.22507690840948, 262.2676259669038, -13.565940856933594,181.5005051129211, 227.47722594909692, -18.179201126098633,340.34643007165016, 225.05938311077685, -5.064295768737793,317.1111676831501, 156.98721316014337, -7.750147342681885,299.36258265884294, 109.25569865455007, -10.727291107177734,283.9095494821797, 69.66747569531825, -13.7603759765625,385.9839422619236, 215.93132731038477, -6.996875286102295,379.65218924410834, 132.7659432109884, -9.294136047363281,373.189758976272, 77.27369402748035, -12.497903823852539,368.06647860272983, 35.871683533572536, -14.68056583404541,425.4244272939057, 222.63630523418442, -9.98777961730957,434.116073930913, 148.70311984839256, -12.709137916564941,440.02228405642535, 96.65949583055968, -14.853962898254395,443.189947179872, 57.47488189871213, -16.282089233398438,457.85883006746656, 244.91067683166386, -13.940557479858398,483.8157094667911, 192.09817928740767, -16.916980743408203,501.2742072526244, 155.90437074778634, -18.537132263183594,516.2478891560837, 122.15344649969433, -19.423412322998047
285,395.06307391217314, 395.37372926474256, -0.0004925504326820374,323.34851641225816, 362.84970741770655, -5.2240681648254395,271.06083020271825, 309.8858550197078, -8.373624801635742,224.9707178894665, 262.606609283125, -11.997397422790527,181.3349481171509, 228.64134597357878, -16.098716735839844,339.2628243009812, 225.40539515662516, -3.9652552604675293,316.2474779516574, 157.43901280556392, -6.281335353851318,298.97415991014407, 110.60764673971896, -9.145291328430176,284.14187955145013, 72.11571368771322, -12.08041763305664,385.78589960568814, 215.77974736297048, -5.882587432861328,380.1770289292109, 132.6410623629014, -7.762591361999512,374.5431300430606, 78.60007115486938, -10.792909622192383,370.3501109236006, 38.196321988594605, -12.866679191589355,426.03740499151394, 222.31736616089506, -8.821700096130371,435.6433341495834, 148.94000089763918, -11.184771537780762,442.5201983274682, 98.59800684902143, -13.188305854797363,446.8156913508767, 60.290861291876126, -14.521738052368164,458.5546169570218, 244.59190308643443, -12.668001174926758,486.0837046894517, 192.78250597612674, -15.35800552368164,504.57147697425546, 158.18425888739395, -16.839908599853516,520.6999517571671, 125.28496023711818, -17.633323669433594
339,400.90915206388723, 395.6514212663924, -0.0005610287189483643,326.8397604266099, 362.49901474809235, -4.746353626251221,274.0263404976464, 308.9974157195703, -7.554516792297363,226.21153609143727, 262.2636852106446, -11.092823028564453,180.0720260712939, 226.80114280934646, -15.098039627075195,339.4272582462174, 224.66908568566288, -2.1742634773254395,314.8901439876231, 157.6805064837206, -4.280853271484375,296.36493778188526, 111.1757546509025, -7.2496185302734375,280.4357457508442, 72.8959135457386, -10.419246673583984,384.25804712408353, 214.73629851399676, -4.561988353729248,375.524727776762, 131.72187612469816, -6.076736927032471,367.3412164015577, 77.54846393540186, -9.250105857849121,361.1223729178109, 36.31596795204479, -11.549498558044434,423.54635556618183, 220.34951502025547, -8.09172534942627,429.2126395898015, 146.18581623263702, -10.260756492614746,432.570930937546, 95.20197605056956, -12.387660026550293,433.9162742352537, 56.18764456808643, -13.919248580932617,455.84520800741484, 241.16836899930826, -12.574081420898438,478.179455722062, 187.5105690802335, -15.176012992858887,492.7454991405699, 151.458992550414, -16.642536163330078,505.59835053934495, 117.86209613383637, -17.52726173400879
394,403.8163863305418, 396.4015889322885, -0.0006099194288253784,330.2083214536645, 361.04494131077445, -3.0287208557128906,276.8597887190963, 309.36268747477766, -4.92132043838501,227.38984597904837, 265.8490050726077, -7.942117214202881,180.74123281462826, 234.19541342675907, -11.439611434936523,339.89983357037744, 223.93306389539723, 1.3305580615997314,315.56904383313326, 158.82014890738827, -0.521577000617981,298.1041290693114, 112.19579773619157, -3.676562786102295,283.2678067596583, 73.75241474448121, -6.875948429107666,382.62819242659504, 215.63510480605493, -1.690447211265564,372.16965554270143, 135.13710328948454, -3.1070423126220703,363.54780862694446, 81.53587502938886, -6.717371463775635,356.5443833983559, 40.42709938046801, -9.516901016235352,419.7236310662564, 222.18352739082886, -5.797388076782227,421.53824672249823, 151.3764990653703, -7.991283416748047,422.53273592577756, 102.96133717875065, -10.722345352172852,421.1945346592307, 65.01077270786503, -12.875104904174805,450.0196074757987, 242.8585033748555, -10.704544067382812,461.54463396686117, 189.76712232133437, -13.456460952758789,467.40749537874524, 154.9710364407372, -15.253081321716309,472.09684913677955, 122.68203470973204, -16.496057510375977
447,402.9687836478756, 400.1539581374134, -0.0006050914525985718,328.52624196284313, 359.96148610489064, -1.5831083059310913,275.73041194418556, 307.5014240174063, -2.217397451400757,224.15979991869239, 265.8850240749873, -4.324635028839111,177.49066684261896, 232.09479245405208, -6.875704288482666,347.3742008748579, 219.47312227531742, 6.271424293518066,323.33730376943, 153.7332039928869, 5.9409074783325195,303.9909703693377, 107.14306861096617, 3.843993663787842,286.0440761940865, 69.88611433304969, 1.2471580505371094,386.2262110933505, 212.0894585406222, 2.849148750305176,375.30926833499007, 130.83370992355447, 2.886672019958496,362.4489989562194, 76.83881567275927, -0.0984276533126831,349.29845456984134, 36.317950356417924, -2.5784366130828857,419.19752221813934, 217.47628721118468, -1.8097803592681885,418.9841886017663, 143.06962672208485, -2.8067853450775146,412.9324722578647, 91.31262307501176, -4.948467254638672,403.11891027453237, 52.11140264737327, -6.736091136932373,446.1354313725919, 234.53421583612564, -7.280614376068115,452.5948257285945, 175.09596205976004, -9.122607231140137,451.8418830061986, 135.4022159010485, -10.335793495178223,448.43967484707065, 100.40808361354394, -11.200675964355469
524,396.64754034896305, 393.89061612420403, -0.0008864849805831909,323.3026044826366, 357.9175451109302, -2.160531759262085,270.3463984521476, 303.04777143407813, -4.58973503112793,221.10630978807552, 260.3704687422329, -8.38467025756836,168.1139044069723, 229.79151856392684, -12.956043243408203,339.54032847995603, 212.34990240392926, -1.978808879852295,313.1208115105459, 148.04472486309464, -6.01210355758667,291.6174545183061, 104.57956038674433, -9.30361557006836,271.4715835231222, 67.67640342617909, -12.152589797973633,381.85717022765505, 207.59704292341098, -6.2312726974487305,365.14884562926557, 127.95575581242035, -10.439364433288574,348.8291766590001, 77.1457417957622, -14.199358940124512,332.341608762817, 37.3217564621128, -17.078109741210938,418.019568991275, 218.10958622219124, -11.391071319580078,413.51381852019784, 145.190617515212, -16.23152732849121,404.7520303100024, 93.64160398538242, -19.468719482421875,392.60867482927506, 52.23986779369048, -22.10577964782715,449.2308805923976, 242.9482605749126, -17.091453552246094,454.05687918731576, 185.4184905464439, -21.924163818359375,451.6467482917222, 145.45724676472767, -24.806644439697266,445.7372826264877, 107.73372144776256, -27.112253189086914
579,405.48268666953993, 405.22774410015535, -0.0006061121821403503,327.81874194068877, 365.3003542621922, 2.769364833831787,274.5509189443842, 306.3056228481619, 3.4102396965026855,220.32432768485438, 266.2014948375197, 1.7349326610565186,169.5186935853649, 235.0789006787691, -0.36161720752716064,352.126636998034, 207.7597916148308, 6.614044189453125,316.92143655996335, 146.88558140769567, 4.230676174163818,285.2743732402387, 106.52262323941952, 1.1192874908447266,254.57468687882923, 75.72709886049384, -1.952204942703247,385.9139319496303, 200.67678622022441, 0.1537768840789795,361.4954297631446, 123.38640283884436, -2.5574495792388916,332.70253167324347, 75.54100492041114, -6.487414360046387,303.82756311274875, 42.61767095800596, -9.767849922180176,412.4326187177195, 209.75437558995134, -7.22067928314209,398.5449008298936, 136.38104545520767, -10.992562294006348,375.8024846989126, 85.8049203840786, -14.166790008544922,350.697240975258, 50.01063404865124, -17.032445907592773,432.50787193204496, 233.2820440494445, -14.924970626831055,421.6406829887023, 173.90662466742344, -18.80226707458496,404.6222708358332, 133.04199548509746, -21.218631744384766,383.9493486352298, 98.5057815334037, -23.601821899414062
