TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
57,478.7518536,321.2814274,-0.000570521,428.6448911,316.0121828,-8.039351463,381.7115373,294.3104878,-13.89699745,340.3487713,274.6882343,-18.91867447,304.2875995,267.0614422,-24.42525482,417.7961753,225.1023117,-16.40202713,392.9221991,180.8996669,-21.13141441,378.3685174,148.8157295,-24.2350235,366.672775,120.6468189,-26.93953705,452.319173,211.7967717,-16.27355576,437.7895811,158.0236154,-21.05994415,429.0846233,117.6563658,-24.32231331,423.2293464,87.5490681,-26.80494308,485.0150232,213.1269984,-16.37814713,483.8966911,165.2169263,-20.7217617,486.5190374,127.0620552,-22.76237679,488.3701662,98.09063854,-24.38940239,514.6610613,228.6895229,-17.1825943,534.0505316,195.2789717,-21.14809227,549.3355913,170.1245461,-23.47475815,561.4788359,145.6829253,-25.11546516
114,480.6196568,326.8970032,-0.000761166,429.2853759,320.6848959,-5.851772785,381.9673553,296.9083871,-10.36094284,340.8897662,275.1932494,-14.45298862,304.059783,266.0068525,-19.06048203,415.2040953,225.4280488,-11.80539322,391.4493876,180.5225696,-15.33054066,378.0944677,148.232186,-17.78792381,367.1867,119.6946929,-20.03235054,449.6768113,211.4294455,-12.29711342,434.9406506,156.9522761,-15.98851299,426.9977881,116.725283,-18.58551979,421.8390762,86.6625476,-20.47614861,483.1875599,211.8234849,-13.03299427,481.418627,162.4847437,-16.5213604,484.2997245,124.3760787,-17.95479202,486.4191448,95.57266353,-19.01047134,514.1710968,226.1900451,-14.33537102,531.6197198,190.5134708,-17.56801033,546.0133778,164.3601292,-19.29545975,557.7329199,139.2075591,-20.36356926
169,481.6007017,326.522491,-0.000631817,428.7870369,317.1258346,-4.482877254,382.6732454,294.1612365,-8.052785873,342.1297467,274.8617329,-11.40224743,305.1904235,267.3891025,-15.31193542,416.4372566,222.9339848,-9.508117676,393.6282826,176.5165141,-12.29576778,380.7347191,144.6117,-14.3292942,370.3468648,117.5189218,-16.16083908,449.8966105,209.9179822,-10.10733128,435.8626236,153.95579,-12.94379044,428.1615578,114.9871735,-14.95001316,422.9617036,85.98154573,-16.32419014,482.1845199,210.7115124,-10.87831116,480.3700585,160.9927817,-13.49398994,482.5972873,123.7300154,-14.30069923,484.1502122,95.42826303,-14.81962299,511.7111558,224.6542088,-12.12208939,528.6325045,188.9364584,-14.42284107,542.4888484,163.3718258,-15.40594101,553.7502437,138.4409111,-15.87281799
222,478.3314515,324.7917049,-0.000372961,428.0233258,318.2184155,-6.157670498,381.2272891,295.6467269,-11.50534725,339.5282864,274.7932096,-16.02231216,301.7210046,265.5907042,-20.97002983,416.1242907,228.9463531,-16.6616745,392.7084461,180.9615662,-21.13565636,379.8213058,147.9292154,-23.3370285,369.223162,119.7802725,-25.14102364,450.7531032,215.3013135,-16.54545403,436.6848101,157.8381359,-21.63101578,428.4098193,117.7630621,-23.8295536,422.4832617,88.51609893,-25.1737175,483.9946289,215.2455916,-16.25608635,482.3253142,163.4436902,-20.51989555,483.4892104,124.8223695,-21.37963676,483.7066231,96.4850965,-21.83556747,514.4712407,228.1478984,-16.36649132,531.3855905,190.5237116,-19.8878727,544.0150443,163.7286354,-21.28355408,553.6639672,139.0109601,-21.98066902
276,478.6513523,325.3813868,-0.000462912,427.9067432,317.6663695,-5.605807781,381.8672698,293.3954976,-10.12591648,340.2600547,273.0160997,-14.46357441,301.962364,265.2273266,-19.41363907,414.0771765,225.4365567,-12.21014214,389.0120818,181.2878411,-16.14527893,374.4471339,149.9191267,-18.93408394,362.7491265,122.5550051,-21.46687126,447.745707,212.5518806,-13.32776833,432.7465808,157.3838152,-17.52838707,424.1835101,117.8075919,-20.44922256,418.82885,87.94191724,-22.44650459,480.6141514,213.5400739,-14.73913193,478.1248144,164.0631884,-18.60149956,479.7195752,125.3804343,-20.30716133,481.4260463,95.57028094,-21.48420715,511.0192869,228.2813434,-16.74032593,528.7850556,193.1255242,-20.20788383,543.105323,167.1035506,-22.12165451,554.9643693,141.375028,-23.35078239
332,478.7988845,325.3218252,-0.000406392,427.7419034,316.9286585,-6.095291138,382.3964841,293.2405758,-11.0433712,341.136214,273.1535262,-15.71387291,302.811486,264.3648847,-21.00444603,415.4792054,224.3064457,-13.1549015,391.1960456,179.0783907,-17.6024189,376.9237622,146.938534,-20.70164299,365.6198,118.6843648,-23.40324783,449.1723326,212.6051275,-14.20808029,433.9864799,156.742499,-19.03185844,424.6779944,116.4444966,-22.46431351,418.6598251,85.35533194,-24.81698418,481.9411585,214.146941,-15.55480957,478.5038876,164.3023634,-20.01649475,478.6871438,124.7756113,-22.31876755,479.2528912,94.15733481,-23.88976288,512.0874909,228.6712621,-17.49105453,529.3567679,192.9352489,-21.31872177,542.8751553,165.560384,-23.63606262,553.8214668,138.6480491,-25.24781799
386,478.8533072,328.0307236,-0.000570372,427.6101686,319.9456417,-7.748412132,381.6434261,295.4048966,-13.26598072,342.2157979,271.7450116,-18.21403122,307.3152517,259.1446414,-23.641325,414.0308238,226.416141,-13.81974411,389.3413875,182.8690831,-18.29821587,374.3166137,150.1922229,-21.54815674,362.1078669,121.0835645,-24.49978447,448.3602305,213.344756,-14.39168262,432.6355157,159.8389607,-18.9532299,422.5755079,118.8404703,-22.71076584,416.1544379,87.87659054,-25.54914474,481.4805323,214.1119172,-15.48235226,478.4221601,165.7300221,-20.28324509,478.9419021,126.7334134,-23.35902214,479.8354688,97.12343508,-25.52918434,512.0226102,228.246303,-17.29507637,528.883989,193.7023356,-21.9808979,541.8959505,166.7093984,-25.08339691,552.4923857,140.9941957,-27.2328701
443,478.8533072,328.0307236,-0.000570372,427.6101686,319.9456417,-7.748412132,381.6434261,295.4048966,-13.26598072,342.2157979,271.7450116,-18.21403122,307.3152517,259.1446414,-23.641325,414.0308238,226.416141,-13.81974411,389.3413875,182.8690831,-18.29821587,374.3166137,150.1922229,-21.54815674,362.1078669,121.0835645,-24.49978447,448.3602305,213.344756,-14.39168262,432.6355157,159.8389607,-18.9532299,422.5755079,118.8404703,-22.71076584,416.1544379,87.87659054,-25.54914474,481.4805323,214.1119172,-15.48235226,478.4221601,165.7300221,-20.28324509,478.9419021,126.7334134,-23.35902214,479.8354688,97.12343508,-25.52918434,512.0226102,228.246303,-17.29507637,528.883989,193.7023356,-21.9808979,541.8959505,166.7093984,-25.08339691,552.4923857,140.9941957,-27.2328701
498,480.4766687,338.3661425,-0.000826411,427.0859252,326.1002368,-3.532876492,382.4511821,297.9958461,-6.539388657,346.2138869,269.4061726,-9.172250748,315.5279596,252.8088026,-11.95512581,412.7912701,228.3732269,-8.915530205,388.3244023,179.0893808,-11.47257328,375.1815511,146.3555639,-13.28207016,364.919773,118.5777748,-15.01190948,446.7198738,214.4257683,-9.49726963,429.6147825,155.0853857,-12.36648178,420.8008268,114.5789776,-14.37712574,415.4225677,84.47406485,-15.83888912,479.6008017,214.3683562,-10.05949116,474.3082671,161.3678412,-12.97046661,474.8709064,122.913642,-14.34036064,475.5538468,93.94267316,-15.15427208,509.7161743,227.4184758,-10.85840607,522.3976341,189.3624845,-13.33690929,533.4697877,162.4238704,-14.5518856,542.4746224,136.9296625,-15.15978241
551,480.4766687,338.3661425,-0.000826411,427.0859252,326.1002368,-3.532876492,382.4511821,297.9958461,-6.539388657,346.2138869,269.4061726,-9.172250748,315.5279596,252.8088026,-11.95512581,412.7912701,228.3732269,-8.915530205,388.3244023,179.0893808,-11.47257328,375.1815511,146.3555639,-13.28207016,364.919773,118.5777748,-15.01190948,446.7198738,214.4257683,-9.49726963,429.6147825,155.0853857,-12.36648178,420.8008268,114.5789776,-14.37712574,415.4225677,84.47406485,-15.83888912,479.6008017,214.3683562,-10.05949116,474.3082671,161.3678412,-12.97046661,474.8709064,122.913642,-14.34036064,475.5538468,93.94267316,-15.15427208,509.7161743,227.4184758,-10.85840607,522.3976341,189.3624845,-13.33690929,533.4697877,162.4238704,-14.5518856,542.4746224,136.9296625,-15.15978241
