TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
53,479.169542,363.721281,-0.000824139,419.03119,365.4123765,-10.64317894,358.3377636,334.5213959,-19.08825302,302.4501386,307.6086474,-26.93298531,246.30984,296.6129815,-35.27430344,399.8140378,244.4396401,-19.29212761,375.365683,193.4749695,-26.84591866,365.9140761,152.6535338,-32.06873703,359.4164502,114.9029683,-36.47318268,444.199033,228.3913021,-19.26722527,416.9178647,167.6782935,-27.92054367,406.0783064,114.2447054,-35.04048157,400.8510734,66.25519829,-40.37493134,487.6091201,227.1528915,-19.62740326,480.114386,165.6508541,-27.03451538,482.9804964,112.0236337,-32.04410934,486.0069129,63.96145395,-35.8111496,527.5327577,240.9343016,-20.77833366,533.9453443,189.8388148,-27.60337448,538.8941123,149.0681648,-31.65708542,541.1814678,107.4957458,-34.43611908
111,479.169542,363.721281,-0.000824139,419.03119,365.4123765,-10.64317894,358.3377636,334.5213959,-19.08825302,302.4501386,307.6086474,-26.93298531,246.30984,296.6129815,-35.27430344,399.8140378,244.4396401,-19.29212761,375.365683,193.4749695,-26.84591866,365.9140761,152.6535338,-32.06873703,359.4164502,114.9029683,-36.47318268,444.199033,228.3913021,-19.26722527,416.9178647,167.6782935,-27.92054367,406.0783064,114.2447054,-35.04048157,400.8510734,66.25519829,-40.37493134,487.6091201,227.1528915,-19.62740326,480.114386,165.6508541,-27.03451538,482.9804964,112.0236337,-32.04410934,486.0069129,63.96145395,-35.8111496,527.5327577,240.9343016,-20.77833366,533.9453443,189.8388148,-27.60337448,538.8941123,149.0681648,-31.65708542,541.1814678,107.4957458,-34.43611908
168,483.5362,362.1494889,-0.000748932,423.050741,363.660713,-9.71511364,361.7695534,333.0209137,-17.57839966,303.9977207,305.622137,-24.90913582,246.7507653,294.4813238,-32.74571228,402.9605193,246.2103621,-18.67598915,375.5781834,194.7046683,-26.2115612,364.1968697,152.1388987,-31.51837158,355.9817766,112.9331512,-36.00428391,446.5926704,229.7236049,-18.88027382,418.2735065,170.3195439,-27.69651985,405.5145827,116.785194,-34.66524506,398.3032966,70.25253376,-39.90098953,489.16492,227.7299358,-19.40500641,480.259512,167.5301849,-26.8992157,481.1289702,114.5055089,-32.01114273,482.0756881,68.52202516,-35.90653992,528.2422407,240.4701692,-20.62240028,534.9622967,190.4137574,-27.49784851,539.2787192,149.8618367,-31.7805748,540.5137213,109.1122191,-34.83135605
220,481.817236,361.7880325,-0.000614002,420.9733854,362.8097664,-10.44336987,360.0540276,332.3359819,-18.72940636,303.472369,307.027043,-26.58336067,247.0277293,297.1505426,-35.10178757,400.8232021,240.118257,-18.36824608,375.3013802,191.2702816,-25.60700989,365.4137789,152.6661779,-30.69545937,358.4880122,116.3989291,-35.20168304,444.7661101,224.8462278,-18.81369019,417.1502851,165.1432179,-27.7708683,404.4651919,109.8060539,-35.16010666,397.3516455,61.5938659,-40.63986206,487.8246226,224.8985579,-19.78729439,480.5995442,164.9444917,-27.52403831,482.0216796,110.6478815,-33.1812439,483.4026151,63.34222998,-37.4730072,527.7731863,240.5683619,-21.56781387,535.2615539,191.8294327,-28.76076508,540.350688,151.381984,-33.45544434,542.2824333,109.9418045,-36.87425613
275,479.9564829,363.4228713,-0.000719823,420.860193,364.6467909,-10.29358387,360.4242431,333.8751423,-18.15070915,303.7291834,305.9554238,-25.35955048,248.410543,294.717809,-33.01451111,402.0136967,243.4063123,-18.35188103,374.2489662,191.6943724,-25.31031036,362.3405998,149.6720115,-30.19661331,353.7626756,111.5454848,-34.39940262,445.7518909,226.0265186,-18.12848473,418.4028816,164.414182,-26.47387123,405.6232679,109.0209653,-32.96589279,398.0312252,62.2890132,-37.66909027,487.8859751,223.9146113,-18.38425446,481.2245426,161.9659632,-25.33932304,483.2192207,107.4871184,-30.06407166,484.4792214,61.43242602,-33.59220123,526.3634542,237.5123087,-19.45706558,536.3453403,187.4249404,-26.00195694,543.4207033,146.2412469,-30.16641235,546.8224455,105.0727174,-33.05835724
326,483.17876,361.6081932,-0.000669949,423.1944339,363.8052407,-10.26273632,361.8929986,334.0295109,-18.24531746,305.4338988,306.2589795,-25.48415184,250.4511229,295.4136154,-33.14744568,401.8473424,245.308231,-19.0949707,375.0189203,194.6838875,-26.12246132,364.6447939,155.0386842,-30.84441948,357.1171034,118.2513134,-34.93502808,445.1746617,227.4972457,-18.89232635,415.5650141,166.3190679,-27.69142151,401.7708062,110.7931215,-34.59818268,393.7693693,62.78396074,-39.62310791,487.6718581,224.6936934,-19.05502319,479.1703278,163.2595957,-26.45471573,480.5546322,108.8331073,-31.69169617,481.812013,61.96788821,-35.62155151,526.6683559,237.2992114,-19.93073082,533.6441394,187.1982611,-26.71967506,538.9145333,146.4127594,-31.13277054,540.9569735,105.3689527,-34.30589294
382,481.8356012,362.1447352,-0.000614874,421.8843973,363.2110704,-10.66342354,360.7477574,333.0853452,-18.78600502,303.4834895,305.4071931,-26.19965935,248.5374178,293.4546534,-34.04732132,403.8658482,242.2941987,-18.97528076,375.5973483,189.4301085,-26.3673954,363.0459753,146.1755033,-31.74537086,353.7284704,106.6732427,-36.29149628,447.8460324,224.9641523,-18.7632618,420.0923556,161.2689226,-27.60118866,406.1682924,104.0518954,-34.49427032,397.0350678,56.58908346,-39.53339767,489.7663498,223.0782813,-19.03579521,481.4658973,159.3350575,-26.35927391,481.1328861,104.0293322,-31.47888947,480.0100521,58.16112552,-35.31998444,528.0923771,237.0208684,-20.15310287,537.2368711,185.8230848,-26.78037262,543.2160374,144.5764891,-31.09370041,545.0785062,103.7654366,-34.1833725
433,487.6708256,358.8288455,-0.00053215,425.8906323,361.6915438,-10.38109303,363.1505862,333.7955096,-18.17582321,305.1261408,306.9764908,-25.06060791,249.4400626,298.0777509,-32.37428284,405.0528951,243.5032811,-19.14721298,374.8140845,192.5792583,-25.66787338,360.9915932,153.2732247,-30.04918861,350.2057859,116.9367428,-33.93086243,448.3198205,223.6688484,-18.43483543,419.1497014,160.9138158,-26.97254753,402.8168065,103.6406573,-33.2685318,391.8390867,56.27860186,-37.71462631,489.8083295,219.4470944,-18.11930084,481.8290677,156.8613159,-25.00627327,481.2207044,101.9790701,-29.62934113,479.8645169,56.75463616,-33.10676575,527.7177933,231.4685098,-18.58756256,537.4304853,181.9749513,-24.94742775,544.4686647,141.9499433,-29.17134476,547.7795691,102.0957122,-32.20044327
489,483.1827956,360.1258315,-0.000604555,422.6671024,360.0925818,-10.61724949,363.7020586,331.763833,-18.52721214,308.9427565,306.167125,-25.82721329,254.9631717,297.5360417,-33.6611557,400.7826783,237.9151125,-17.50861931,372.3766864,188.0131598,-24.38711929,358.3498096,147.5173632,-29.80470657,347.4835185,109.796111,-34.46028519,443.5603583,219.3739903,-17.19738579,418.9845895,157.1869611,-25.18375778,406.4391675,102.4185013,-31.70127487,398.5183983,55.284939,-36.42251205,484.5762506,216.721506,-17.48584175,479.2585662,155.4441324,-24.06980705,481.1891919,103.8449027,-28.84064484,482.0297971,59.42386677,-32.47406769,522.4546901,229.8074759,-18.71371841,530.892408,182.1490059,-24.8654747,537.3531667,144.6648028,-28.78185272,541.1256933,106.0726376,-31.52028275
544,480.8710842,373.5466066,-0.0007663,423.2901787,363.4463311,-6.247841835,371.9705187,326.6332684,-10.88213158,326.9080803,293.4254801,-15.88215351,282.6617208,280.5630505,-21.09634972,396.6246524,235.4257903,-7.435851574,368.5622631,182.7481128,-12.54671574,351.1775802,141.4976089,-17.82108116,336.8970219,102.7907952,-22.60087776,431.5619428,215.0926414,-9.109537125,407.8630078,149.0049366,-14.70509815,394.8989069,94.93970831,-20.20692825,386.089275,47.65805766,-24.44726181,466.3560882,212.1195912,-11.69670582,462.7396707,147.4695201,-16.33798218,463.2979909,95.69634103,-20.64732361,462.0961992,49.93836874,-24.43854713,499.8380655,226.7631223,-15.13304138,500.3120428,174.7827086,-20.01799393,499.6293198,136.5631202,-23.32803726,497.9695589,97.57225928,-26.00220108
