TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
30,220.79655954813717, 264.7486681533332, -0.0008787438273429871,182.47697543096797, 269.7632340942406, -7.306857585906982,147.73210587050903, 256.9164824254048, -13.50280475616455,117.30379192018589, 249.41169510313486, -20.471393585205078,86.72846484140172, 250.93285381760364, -28.31149673461914,157.7295465553383, 191.36440133807912, -8.020015716552734,143.67759323284048, 160.17501443276336, -14.368362426757812,131.7060986163604, 135.763959638557, -20.1849365234375,121.8399360951946, 114.1212136389801, -24.692352294921875,177.5801022674976, 183.0266724290036, -10.420014381408691,161.48683688974654, 143.79700987487055, -17.108020782470703,148.86849309762738, 111.92544516728049, -24.032381057739258,138.98287068376413, 85.03453570503018, -29.10040855407715,198.07067787187896, 182.75697822103845, -13.757732391357422,188.8097501381054, 144.62033826265846, -19.953125,181.6610035792408, 112.74412340190113, -25.376646041870117,174.9055920196072, 85.82532178918619, -29.265714645385742,219.04351638860436, 189.79703143543287, -17.971696853637695,212.48740833704971, 159.85148458022525, -23.742097854614258,207.00834983297963, 137.33058328507934, -27.379852294921875,200.51202180392434, 114.69180996567313, -29.81827163696289
62,220.79655954813717, 264.7486681533332, -0.0008787438273429871,182.47697543096797, 269.7632340942406, -7.306857585906982,147.73210587050903, 256.9164824254048, -13.50280475616455,117.30379192018589, 249.41169510313486, -20.471393585205078,86.72846484140172, 250.93285381760364, -28.31149673461914,157.7295465553383, 191.36440133807912, -8.020015716552734,143.67759323284048, 160.17501443276336, -14.368362426757812,131.7060986163604, 135.763959638557, -20.1849365234375,121.8399360951946, 114.1212136389801, -24.692352294921875,177.5801022674976, 183.0266724290036, -10.420014381408691,161.48683688974654, 143.79700987487055, -17.108020782470703,148.86849309762738, 111.92544516728049, -24.032381057739258,138.98287068376413, 85.03453570503018, -29.10040855407715,198.07067787187896, 182.75697822103845, -13.757732391357422,188.8097501381054, 144.62033826265846, -19.953125,181.6610035792408, 112.74412340190113, -25.376646041870117,174.9055920196072, 85.82532178918619, -29.265714645385742,219.04351638860436, 189.79703143543287, -17.971696853637695,212.48740833704971, 159.85148458022525, -23.742097854614258,207.00834983297963, 137.33058328507934, -27.379852294921875,200.51202180392434, 114.69180996567313, -29.81827163696289
93,221.28763143564274, 265.14246399368017, -0.0008453205227851868,182.10819247176545, 270.49311893124116, -7.231387615203857,146.44986133164937, 257.33715762835845, -13.132418632507324,114.56250255487873, 249.59385070510547, -19.91286277770996,83.24188196533706, 250.21723624447378, -27.61328887939453,158.5164579077627, 191.06508430792366, -6.396971225738525,144.47954040342842, 159.60541090998157, -12.15252685546875,132.34490721915682, 134.66456407939538, -17.758222579956055,122.15040080601028, 112.67636012182587, -22.30584716796875,178.19418723502483, 182.37113166719715, -8.851794242858887,162.3014473569953, 143.4486987416905, -15.018101692199707,149.6823928680594, 111.48546490637564, -22.01255226135254,139.74907079573708, 84.7564798957455, -27.254169464111328,198.466380813904, 181.67137060647957, -12.371766090393066,189.7963924311258, 143.84440699431264, -18.23787498474121,182.92705018053834, 112.10858689920279, -23.811115264892578,176.14879525147742, 85.82679494351932, -27.919456481933594,219.02386640448452, 188.15431301710225, -16.814659118652344,212.2203143175779, 158.4023639079545, -22.540307998657227,206.35810658150774, 135.9000873562, -26.256534576416016,199.45018115262098, 113.95690696668245, -28.818004608154297
125,221.28763143564274, 265.14246399368017, -0.0008453205227851868,182.10819247176545, 270.49311893124116, -7.231387615203857,146.44986133164937, 257.33715762835845, -13.132418632507324,114.56250255487873, 249.59385070510547, -19.91286277770996,83.24188196533706, 250.21723624447378, -27.61328887939453,158.5164579077627, 191.06508430792366, -6.396971225738525,144.47954040342842, 159.60541090998157, -12.15252685546875,132.34490721915682, 134.66456407939538, -17.758222579956055,122.15040080601028, 112.67636012182587, -22.30584716796875,178.19418723502483, 182.37113166719715, -8.851794242858887,162.3014473569953, 143.4486987416905, -15.018101692199707,149.6823928680594, 111.48546490637564, -22.01255226135254,139.74907079573708, 84.7564798957455, -27.254169464111328,198.466380813904, 181.67137060647957, -12.371766090393066,189.7963924311258, 143.84440699431264, -18.23787498474121,182.92705018053834, 112.10858689920279, -23.811115264892578,176.14879525147742, 85.82679494351932, -27.919456481933594,219.02386640448452, 188.15431301710225, -16.814659118652344,212.2203143175779, 158.4023639079545, -22.540307998657227,206.35810658150774, 135.9000873562, -26.256534576416016,199.45018115262098, 113.95690696668245, -28.818004608154297
157,221.28763143564274, 265.14246399368017, -0.0008453205227851868,182.10819247176545, 270.49311893124116, -7.231387615203857,146.44986133164937, 257.33715762835845, -13.132418632507324,114.56250255487873, 249.59385070510547, -19.91286277770996,83.24188196533706, 250.21723624447378, -27.61328887939453,158.5164579077627, 191.06508430792366, -6.396971225738525,144.47954040342842, 159.60541090998157, -12.15252685546875,132.34490721915682, 134.66456407939538, -17.758222579956055,122.15040080601028, 112.67636012182587, -22.30584716796875,178.19418723502483, 182.37113166719715, -8.851794242858887,162.3014473569953, 143.4486987416905, -15.018101692199707,149.6823928680594, 111.48546490637564, -22.01255226135254,139.74907079573708, 84.7564798957455, -27.254169464111328,198.466380813904, 181.67137060647957, -12.371766090393066,189.7963924311258, 143.84440699431264, -18.23787498474121,182.92705018053834, 112.10858689920279, -23.811115264892578,176.14879525147742, 85.82679494351932, -27.919456481933594,219.02386640448452, 188.15431301710225, -16.814659118652344,212.2203143175779, 158.4023639079545, -22.540307998657227,206.35810658150774, 135.9000873562, -26.256534576416016,199.45018115262098, 113.95690696668245, -28.818004608154297
189,220.57795900150336, 264.2133689536514, -0.0008684247732162476,181.35929735934096, 269.3549970726144, -7.270036220550537,146.5317660083826, 256.87195361275394, -12.940587043762207,114.94094147715307, 249.8846884701804, -19.446918487548828,83.8287081389005, 250.67869663214356, -26.822080612182617,158.08600003403362, 190.43120533513022, -6.056881904602051,143.86977014657447, 158.9331794932228, -11.624177932739258,131.51492360103393, 134.41858939077983, -17.05950355529785,121.08193236925146, 113.08767423867796, -21.51485252380371,177.57863949399464, 181.70100025555212, -8.325081825256348,162.24041304816436, 142.23984038121733, -14.10666275024414,150.03819673138617, 110.82203972727177, -20.804645538330078,140.23620328950076, 84.92135089679454, -26.040172576904297,197.4582507513158, 180.74587727952093, -11.655786514282227,188.25027452960433, 142.90166296636556, -17.264467239379883,181.04685349605847, 111.99630533267288, -22.63889503479004,173.93245733252166, 86.88064544999168, -26.749271392822266,217.73439223964067, 186.5493355234678, -15.94990348815918,210.98003021767303, 157.00928240134795, -21.291301727294922,205.2078214617494, 134.85761466919755, -24.775909423828125,198.40167099637796, 113.71603665630398, -27.27315902709961
221,220.57795900150336, 264.2133689536514, -0.0008684247732162476,181.35929735934096, 269.3549970726144, -7.270036220550537,146.5317660083826, 256.87195361275394, -12.940587043762207,114.94094147715307, 249.8846884701804, -19.446918487548828,83.8287081389005, 250.67869663214356, -26.822080612182617,158.08600003403362, 190.43120533513022, -6.056881904602051,143.86977014657447, 158.9331794932228, -11.624177932739258,131.51492360103393, 134.41858939077983, -17.05950355529785,121.08193236925146, 113.08767423867796, -21.51485252380371,177.57863949399464, 181.70100025555212, -8.325081825256348,162.24041304816436, 142.23984038121733, -14.10666275024414,150.03819673138617, 110.82203972727177, -20.804645538330078,140.23620328950076, 84.92135089679454, -26.040172576904297,197.4582507513158, 180.74587727952093, -11.655786514282227,188.25027452960433, 142.90166296636556, -17.264467239379883,181.04685349605847, 111.99630533267288, -22.63889503479004,173.93245733252166, 86.88064544999168, -26.749271392822266,217.73439223964067, 186.5493355234678, -15.94990348815918,210.98003021767303, 157.00928240134795, -21.291301727294922,205.2078214617494, 134.85761466919755, -24.775909423828125,198.40167099637796, 113.71603665630398, -27.27315902709961
253,220.57795900150336, 264.2133689536514, -0.0008684247732162476,181.35929735934096, 269.3549970726144, -7.270036220550537,146.5317660083826, 256.87195361275394, -12.940587043762207,114.94094147715307, 249.8846884701804, -19.446918487548828,83.8287081389005, 250.67869663214356, -26.822080612182617,158.08600003403362, 190.43120533513022, -6.056881904602051,143.86977014657447, 158.9331794932228, -11.624177932739258,131.51492360103393, 134.41858939077983, -17.05950355529785,121.08193236925146, 113.08767423867796, -21.51485252380371,177.57863949399464, 181.70100025555212, -8.325081825256348,162.24041304816436, 142.23984038121733, -14.10666275024414,150.03819673138617, 110.82203972727177, -20.804645538330078,140.23620328950076, 84.92135089679454, -26.040172576904297,197.4582507513158, 180.74587727952093, -11.655786514282227,188.25027452960433, 142.90166296636556, -17.264467239379883,181.04685349605847, 111.99630533267288, -22.63889503479004,173.93245733252166, 86.88064544999168, -26.749271392822266,217.73439223964067, 186.5493355234678, -15.94990348815918,210.98003021767303, 157.00928240134795, -21.291301727294922,205.2078214617494, 134.85761466919755, -24.775909423828125,198.40167099637796, 113.71603665630398, -27.27315902709961
286,221.7891154585745, 264.34501196925845, -0.0008179023861885071,180.8840084138711, 269.7828067658318, -7.297238349914551,145.75662692028664, 257.62378730929515, -13.274327278137207,114.58879809100658, 250.08574111279648, -19.958166122436523,84.31044232444515, 249.38940954419252, -27.524093627929688,158.75963225354258, 192.57444775278077, -7.253084659576416,144.47514642535916, 160.26575796384768, -13.215970039367676,131.94246397620654, 134.93622714599306, -18.887672424316406,121.47132368434029, 112.96611817615565, -23.41820526123047,178.61616112264224, 183.72448315455912, -9.33434772491455,163.10919156236668, 143.36308279547686, -15.616984367370605,150.57151088957136, 111.30557160363831, -22.607797622680664,140.50837510541243, 84.67730493972577, -27.98575782775879,198.60678248358494, 182.18236583697612, -12.320199012756348,189.13336598111033, 143.49027546806425, -18.33779525756836,181.36840813747364, 112.06114164710723, -23.864601135253906,173.82220223763176, 86.50936453949747, -27.96470832824707,218.59827546229872, 187.00913243095823, -16.18512535095215,211.39905602083374, 156.45874974981913, -21.831119537353516,204.89612259360655, 133.7766360030337, -25.450836181640625,197.44116586448416, 112.44987527258328, -27.981081008911133
317,221.54974987233908, 265.05756558698334, -0.0007091760635375977,181.71344007048836, 270.44033326601766, -7.4451470375061035,146.20105994674157, 257.2459609013806, -13.197443008422852,114.35720761452134, 249.74678887044334, -19.910400390625,83.31745044388474, 250.08966840632917, -27.503320693969727,158.12495569048937, 189.57048474895663, -5.226015090942383,144.35190328718008, 158.16079254154408, -10.635379791259766,132.23617667919083, 133.22703084934267, -16.14556884765625,122.05895604598507, 111.38201546963293, -20.777193069458008,177.60693446448585, 181.14288318143164, -7.70073938369751,162.67257647822632, 141.8544221580903, -13.364500045776367,150.67647184172307, 110.33413890605783, -20.373361587524414,141.1814956264132, 84.12880413392794, -25.785924911499023,197.80259849211487, 180.7229598865077, -11.393491744995117,190.01461160216425, 142.87477129664683, -16.901546478271484,183.67812361339725, 111.69593449625822, -22.487388610839844,177.14283345535978, 86.07363935754437, -26.76561164855957,218.50466295344157, 187.35150963597428, -16.11825942993164,211.82126010603756, 158.0939621389681, -21.662517547607422,206.12949269700655, 135.9830921915627, -25.367053985595703,199.3987607246158, 114.54881213610258, -28.027097702026367
