TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
30,382.5414840709056, 294.2203097963536, -0.0000704154372215271,353.1115393928197, 278.449368382836, -5.465734004974365,332.2296855248216, 246.80268886699994, -7.946521759033203,322.4822074044414, 218.54798773594638, -12.669339179992676,315.6890807406735, 198.5174207829868, -17.865083694458008,349.9651273395484, 205.4617001473026, 1.390620470046997,336.1337387276878, 198.41318388850073, -18.137483596801758,337.83688649996003, 226.09291305533512, -14.034337997436523,344.1415818969707, 237.04599884105778, 0.23755383491516113,369.31489894848386, 203.78364030060803, -3.8336844444274902,352.81498998420415, 207.1933501474356, -25.983625411987305,353.02208408753074, 239.3088440172737, -22.79281997680664,359.47543626928064, 241.3563494644165, -11.646522521972656,388.274261832118, 208.46992875660558, -12.337782859802246,371.34140540228907, 214.9620828589422, -31.03913688659668,369.5636808426591, 243.01819249532605, -26.289278030395508,377.06014991829886, 243.05459115006116, -16.706209182739258,407.6921534558453, 216.60377331370208, -21.650699615478516,389.7652847382196, 222.68666051485388, -38.15497589111328,384.29323153006857, 243.63362763419175, -33.38020706176758,392.2912266515219, 244.3741599756717, -23.224882125854492
65,378.07250860374694, 294.6296761449231, 0.00011043250560760498,349.79912500474023, 276.4102091307179, -0.7416276931762695,329.42219794625703, 244.5416261708528, -2.6792306900024414,318.7267807698619, 217.1688577405198, -7.85603141784668,312.557415246816, 198.19394071589633, -13.185640335083008,350.4670402175613, 202.40338180243862, 5.77020263671875,330.32372197575137, 198.34384960917114, -12.886099815368652,330.9327802606171, 226.42704624456897, -9.370052337646484,338.4637456055438, 236.43546156843908, 3.4711432456970215,369.0540923499051, 201.10128713460534, -1.9774349927902222,344.10866434488497, 207.0153935313656, -22.277637481689453,345.36761894488563, 239.55014680891915, -19.364429473876953,355.10211209894766, 241.12380600317616, -10.102089881896973,386.84772548367016, 206.34265738755755, -12.687840461730957,361.16848657179213, 215.14587403004208, -28.74066734313965,361.57043422999897, 242.94334986023313, -23.463163375854492,372.7732741561915, 242.16289642394383, -15.226289749145508,404.59337272950853, 215.43996808412498, -24.081615447998047,378.823461267757, 222.9151908705965, -37.4616813659668,374.59068591870965, 243.57558227341366, -32.73028564453125,386.3413909699436, 243.69409571509192, -24.396329879760742
96,376.0195989713355, 292.3711449923387, -0.00020257383584976196,346.477828381587, 274.7747020905672, -2.1463208198547363,326.4817579058257, 243.82815141853706, -3.603193759918213,316.42577869210635, 216.5229922511816, -7.75717306137085,310.09855690675624, 197.62985845822175, -11.912558555603027,347.17059198519416, 201.9076113915488, 4.125168323516846,327.64186803801624, 199.01224779138278, -15.941555976867676,329.47051511265164, 226.8848470855559, -10.984023094177246,337.08936969343955, 235.5090994479613, 4.513474464416504,366.0586316917012, 200.1544951066633, -2.8454904556274414,342.52188728621434, 207.63104822880825, -24.496274948120117,344.1276818619967, 238.92182694466402, -20.537494659423828,353.0002968720871, 239.2694380962347, -9.61848258972168,384.10574900838515, 204.9132597814298, -12.83475112915039,360.1892267448283, 215.39052014011705, -30.1483097076416,360.78670387121207, 242.20803715301315, -24.830284118652344,371.28952705367794, 240.2753186355299, -16.225112915039062,401.9456138671812, 212.97470729401957, -23.559438705444336,378.3232264084357, 222.70140201583536, -37.845115661621094,374.3190706562474, 243.01159989902797, -31.994102478027344,385.15041817710625, 242.30232956268534, -22.27349281311035
150,375.90770826504917, 285.870695285108, 0.005968838930130005,345.5070540806576, 273.06250244814424, -4.7815446853637695,323.4007026141192, 243.99845180269196, -9.128016471862793,315.189849302806, 216.84855706770796, -15.422136306762695,309.8024692271066, 195.03918085030415, -22.250492095947266,346.56031462258426, 198.29155596653285, -0.9024899005889893,327.47228528228595, 201.30361651651688, -23.122934341430664,331.8937633072476, 228.20131621139544, -18.68898582458496,339.9735512341296, 235.84933595885605, -2.0517358779907227,366.17308840160365, 197.8183671103883, -7.211888313293457,344.4590799780101, 207.56624198878006, -30.815372467041016,347.98627690355164, 238.6326683696892, -25.797351837158203,355.2265127112459, 241.29477712830797, -13.185371398925781,384.81464205398987, 203.06693399361723, -16.9533634185791,363.0996555632277, 215.94302853034685, -37.10223388671875,364.16275089458804, 242.02569176573633, -30.8724308013916,372.06159604595837, 241.87530027392458, -20.6209659576416,402.9525214538338, 211.33936066218416, -27.637876510620117,381.3168032307205, 223.8030908268798, -43.45376205444336,377.59557260445416, 243.1255774426247, -36.815773010253906,385.5064195616692, 242.29198918751428, -25.902427673339844
186,373.68265597816645, 285.3008105917878, 0.003371618688106537,344.9386604952973, 271.06754181635097, -2.308807373046875,323.5964897563423, 240.7781138408676, -4.342593193054199,314.5677909157633, 213.56863141687586, -9.29090404510498,308.19708094774984, 192.1121369101685, -15.46331787109375,344.31397431235047, 198.76997428001542, 5.532582759857178,327.11715464051787, 199.0398541986415, -15.200446128845215,330.03737541625213, 226.3847205391348, -12.91870403289795,337.4957579283474, 235.59923091203697, 1.0256385803222656,363.02851587836903, 197.3679696414209, -1.299440622329712,342.547485975765, 205.82767384772694, -23.565147399902344,345.072815323479, 237.5669361492728, -20.813077926635742,352.9388893152533, 240.29884345809248, -9.944412231445312,381.3716804107733, 201.63550910146307, -11.450414657592773,360.6981468270482, 212.53962525638147, -30.45545196533203,361.17566345846353, 239.60945357922057, -26.106557846069336,369.7410654265266, 240.04946029143645, -17.089200973510742,399.83579482964217, 209.02325240732512, -22.28145408630371,379.44424443119783, 218.23997819712594, -37.72487258911133,375.2030395810932, 237.90058099340737, -32.55640411376953,383.5011769383444, 238.5659081640473, -22.631643295288086
220,373.68265597816645, 285.3008105917878, 0.003371618688106537,344.9386604952973, 271.06754181635097, -2.308807373046875,323.5964897563423, 240.7781138408676, -4.342593193054199,314.5677909157633, 213.56863141687586, -9.29090404510498,308.19708094774984, 192.1121369101685, -15.46331787109375,344.31397431235047, 198.76997428001542, 5.532582759857178,327.11715464051787, 199.0398541986415, -15.200446128845215,330.03737541625213, 226.3847205391348, -12.91870403289795,337.4957579283474, 235.59923091203697, 1.0256385803222656,363.02851587836903, 197.3679696414209, -1.299440622329712,342.547485975765, 205.82767384772694, -23.565147399902344,345.072815323479, 237.5669361492728, -20.813077926635742,352.9388893152533, 240.29884345809248, -9.944412231445312,381.3716804107733, 201.63550910146307, -11.450414657592773,360.6981468270482, 212.53962525638147, -30.45545196533203,361.17566345846353, 239.60945357922057, -26.106557846069336,369.7410654265266, 240.04946029143645, -17.089200973510742,399.83579482964217, 209.02325240732512, -22.28145408630371,379.44424443119783, 218.23997819712594, -37.72487258911133,375.2030395810932, 237.90058099340737, -32.55640411376953,383.5011769383444, 238.5659081640473, -22.631643295288086
252,373.68265597816645, 285.3008105917878, 0.003371618688106537,344.9386604952973, 271.06754181635097, -2.308807373046875,323.5964897563423, 240.7781138408676, -4.342593193054199,314.5677909157633, 213.56863141687586, -9.29090404510498,308.19708094774984, 192.1121369101685, -15.46331787109375,344.31397431235047, 198.76997428001542, 5.532582759857178,327.11715464051787, 199.0398541986415, -15.200446128845215,330.03737541625213, 226.3847205391348, -12.91870403289795,337.4957579283474, 235.59923091203697, 1.0256385803222656,363.02851587836903, 197.3679696414209, -1.299440622329712,342.547485975765, 205.82767384772694, -23.565147399902344,345.072815323479, 237.5669361492728, -20.813077926635742,352.9388893152533, 240.29884345809248, -9.944412231445312,381.3716804107733, 201.63550910146307, -11.450414657592773,360.6981468270482, 212.53962525638147, -30.45545196533203,361.17566345846353, 239.60945357922057, -26.106557846069336,369.7410654265266, 240.04946029143645, -17.089200973510742,399.83579482964217, 209.02325240732512, -22.28145408630371,379.44424443119783, 218.23997819712594, -37.72487258911133,375.2030395810932, 237.90058099340737, -32.55640411376953,383.5011769383444, 238.5659081640473, -22.631643295288086
284,375.03690358098476, 284.89473358792753, 0.004266120493412018,347.17443451229053, 270.23066949634847, -1.233419418334961,324.9441358170157, 240.9736968111211, -3.12829852104187,314.89382312421503, 214.4789570920101, -8.709698677062988,308.64606709225194, 193.43459016611538, -15.433032989501953,342.65606402586394, 199.3566637953569, 9.367382049560547,324.69595187648565, 196.9027076787956, -10.724041938781738,328.1822612754341, 221.26057230129467, -9.50115966796875,336.2301426820168, 230.12538460616963, 3.2245888710021973,360.57604371064497, 197.6607219348236, 1.6735328435897827,339.37956982969126, 202.9743702441122, -20.542104721069336,343.19030860710075, 233.10414270586568, -19.154987335205078,351.7622830391368, 235.40509279533924, -8.899188041687012,379.01543443892683, 201.21261716490233, -9.581676483154297,357.4784781786627, 209.7403170671383, -28.038599014282227,359.16258677798476, 235.7560127642803, -23.99755096435547,368.1927657114049, 236.01835002390695, -14.819979667663574,398.1852343418963, 208.5769303753146, -21.59381675720215,376.6199847192712, 215.8149988097836, -36.707462310791016,373.18162026518115, 234.7437369549135, -32.38615036010742,382.0504687489172, 235.20862149439938, -22.825191497802734
320,375.03690358098476, 284.89473358792753, 0.004266120493412018,347.17443451229053, 270.23066949634847, -1.233419418334961,324.9441358170157, 240.9736968111211, -3.12829852104187,314.89382312421503, 214.4789570920101, -8.709698677062988,308.64606709225194, 193.43459016611538, -15.433032989501953,342.65606402586394, 199.3566637953569, 9.367382049560547,324.69595187648565, 196.9027076787956, -10.724041938781738,328.1822612754341, 221.26057230129467, -9.50115966796875,336.2301426820168, 230.12538460616963, 3.2245888710021973,360.57604371064497, 197.6607219348236, 1.6735328435897827,339.37956982969126, 202.9743702441122, -20.542104721069336,343.19030860710075, 233.10414270586568, -19.154987335205078,351.7622830391368, 235.40509279533924, -8.899188041687012,379.01543443892683, 201.21261716490233, -9.581676483154297,357.4784781786627, 209.7403170671383, -28.038599014282227,359.16258677798476, 235.7560127642803, -23.99755096435547,368.1927657114049, 236.01835002390695, -14.819979667663574,398.1852343418963, 208.5769303753146, -21.59381675720215,376.6199847192712, 215.8149988097836, -36.707462310791016,373.18162026518115, 234.7437369549135, -32.38615036010742,382.0504687489172, 235.20862149439938, -22.825191497802734
352,375.3143943226709, 282.2629933516625, 0.004561319947242737,345.93621873107566, 266.64104563642104, -1.225339412689209,323.7925491974234, 238.05245481974706, -3.009671449661255,313.3182920122738, 211.9579257547495, -8.244484901428223,306.7149590872037, 192.69313918863568, -14.114012718200684,341.08025636027565, 196.0670495365538, 7.377528667449951,321.0626404418872, 194.33735015221706, -12.932998657226562,326.138836066481, 218.6383476215824, -10.671158790588379,335.8029587736877, 225.65297838869802, 3.412278652191162,358.9455884266727, 194.22894104985494, -0.67751145362854,335.8649529133673, 201.10376839877142, -23.095558166503906,341.3533197538287, 230.20822128563356, -20.576377868652344,350.9151139988923, 230.68035740456983, -9.258805274963379,377.0997840261924, 197.827405546935, -12.151851654052734,354.15444089548623, 208.34599324254918, -30.31403160095215,357.3770209363889, 233.29416247789862, -25.407644271850586,367.3928626379087, 231.37247560180836, -15.782423973083496,396.2630372938806, 205.31148973315817, -24.55354118347168,372.52147990547155, 215.05870447171978, -39.319393157958984,370.69833260761385, 234.2520631830162, -34.35016632080078,381.7025258741558, 232.80907285737229, -24.312042236328125
