TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
16,432.2254606,418.8347735,-0.00082691,378.9022878,377.3812134,-7.691401482,352.3641507,324.5636889,-10.4798708,351.7157037,275.4318465,-13.36444759,357.5128865,242.9337373,-15.72696877,383.8075142,256.9929951,1.724512339,379.1384043,199.6607433,1.188508153,378.1165427,162.3187424,-0.363480687,378.2472186,131.5953449,-1.955312729,421.4007222,251.5303483,1.390946507,420.983057,187.9328283,2.835463524,421.7698423,144.8131193,0.77865535,423.0680356,109.9542883,-1.020346522,454.2763429,258.1978406,-0.748441935,460.3036188,199.5136255,-1.511039138,462.2119296,159.8928434,-4.452023983,463.4317041,127.3359001,-6.604103088,484.1276663,275.4436954,-4.136536598,496.7958875,229.7942198,-6.25783062,503.4628217,199.4444778,-8.406869888,509.0589989,170.5418979,-9.836510658
33,430.6602015,418.644169,-0.000724085,377.3771419,377.1016286,-7.3562994,350.5275394,323.8767255,-9.918643951,350.4904792,274.8731324,-12.66195869,357.3445375,243.5450012,-14.8255043,383.4776022,255.9938273,2.75100708,379.3519587,199.2959945,2.531000614,378.6859715,162.0927199,1.16082406,379.1098342,131.2882368,-0.321998835,420.9618455,250.2469765,2.284859657,421.1557703,187.0693809,4.124368668,422.2398208,143.829468,2.218343258,423.8011017,108.825314,0.563488245,453.6213418,256.7684815,-0.037907481,459.7780507,197.9877127,-0.474597394,461.6219531,158.0778899,-3.191842556,462.7861977,125.1449168,-5.147930622,483.4592112,274.0666402,-3.62163806,495.5132219,227.9118105,-5.527356148,501.9577829,197.375833,-7.500266075,507.4690453,168.2266392,-8.764658928
49,430.6602015,418.644169,-0.000724085,377.3771419,377.1016286,-7.3562994,350.5275394,323.8767255,-9.918643951,350.4904792,274.8731324,-12.66195869,357.3445375,243.5450012,-14.8255043,383.4776022,255.9938273,2.75100708,379.3519587,199.2959945,2.531000614,378.6859715,162.0927199,1.16082406,379.1098342,131.2882368,-0.321998835,420.9618455,250.2469765,2.284859657,421.1557703,187.0693809,4.124368668,422.2398208,143.829468,2.218343258,423.8011017,108.825314,0.563488245,453.6213418,256.7684815,-0.037907481,459.7780507,197.9877127,-0.474597394,461.6219531,158.0778899,-3.191842556,462.7861977,125.1449168,-5.147930622,483.4592112,274.0666402,-3.62163806,495.5132219,227.9118105,-5.527356148,501.9577829,197.375833,-7.500266075,507.4690453,168.2266392,-8.764658928
65,428.4132983,418.7576408,-0.000814535,376.5548626,377.0493849,-8.070053101,350.271898,323.0295061,-11.101614,350.0054338,273.8807821,-14.26049137,355.2943908,241.5771575,-16.86523819,382.1361428,254.9296399,1.761420727,378.3728313,198.4089865,1.14526093,377.6840848,161.2957915,-0.420671523,378.030794,130.5093505,-2.032776833,419.9661493,249.4896599,1.509621501,419.8065623,186.8668345,2.953891277,420.6641607,143.9413889,0.941329777,421.6940013,109.1947965,-0.781099617,452.9871495,256.2019719,-0.656798244,458.7640909,197.7496348,-1.302378178,460.3775426,157.993739,-4.032096863,461.1802324,125.3549804,-6.011871338,483.4497235,273.674444,-4.151214123,495.2580646,227.481058,-6.185587883,501.5716365,196.4525685,-8.236978531,506.704931,166.991644,-9.59006691
83,428.9421361,417.9070794,-0.000799008,376.3025997,375.3557299,-8.234538078,349.7870258,321.8678908,-11.1254425,347.9553945,272.7823083,-14.13291359,351.512382,239.0867194,-16.64855576,381.2385796,254.199913,2.224538803,376.7089372,197.1353441,1.948795199,375.4692412,159.8598648,0.527005255,375.553126,129.3516671,-1.061192632,419.1394173,248.6783215,2.168951511,418.617443,185.9408574,4.031366348,419.3038406,143.5511177,2.14781332,420.3722067,109.4893708,0.447945356,452.3084967,255.021486,0.147354364,458.0837431,196.8472518,-0.104993582,459.8647861,157.7425305,-2.642614365,460.9437943,125.939145,-4.552091122,482.7581489,271.8413368,-3.253589153,495.0745894,225.918734,-5.015161514,501.7637844,195.0679991,-6.907589436,507.4187738,166.1224285,-8.167987823
98,428.9421361,417.9070794,-0.000799008,376.3025997,375.3557299,-8.234538078,349.7870258,321.8678908,-11.1254425,347.9553945,272.7823083,-14.13291359,351.512382,239.0867194,-16.64855576,381.2385796,254.199913,2.224538803,376.7089372,197.1353441,1.948795199,375.4692412,159.8598648,0.527005255,375.553126,129.3516671,-1.061192632,419.1394173,248.6783215,2.168951511,418.617443,185.9408574,4.031366348,419.3038406,143.5511177,2.14781332,420.3722067,109.4893708,0.447945356,452.3084967,255.021486,0.147354364,458.0837431,196.8472518,-0.104993582,459.8647861,157.7425305,-2.642614365,460.9437943,125.939145,-4.552091122,482.7581489,271.8413368,-3.253589153,495.0745894,225.918734,-5.015161514,501.7637844,195.0679991,-6.907589436,507.4187738,166.1224285,-8.167987823
116,426.1272838,417.8891047,-0.000872508,373.4399649,374.4087779,-7.372721672,348.0890044,321.2118909,-9.874526978,347.5823848,272.2000866,-12.59154701,352.1967311,238.5085672,-14.89226151,379.9606511,255.007655,2.715292454,375.815051,197.8648536,2.449252605,374.969749,160.3250655,1.081182957,375.21277,129.5418407,-0.404891908,417.5199361,249.6851822,2.355881691,417.3782386,186.7336844,4.16790247,418.3343746,143.7576892,2.290385723,419.6030737,109.0120681,0.602148652,450.4361444,256.1011476,0.147404671,456.699463,197.7561971,-0.152124286,458.7958392,158.086258,-2.751571655,460.008428,125.6423123,-4.695691586,480.5958011,272.825349,-3.325982571,493.6094827,227.0248587,-5.109425545,500.715217,196.1706779,-7.042211056,506.581873,166.9402304,-8.316622734
132,426.1272838,417.8891047,-0.000872508,373.4399649,374.4087779,-7.372721672,348.0890044,321.2118909,-9.874526978,347.5823848,272.2000866,-12.59154701,352.1967311,238.5085672,-14.89226151,379.9606511,255.007655,2.715292454,375.815051,197.8648536,2.449252605,374.969749,160.3250655,1.081182957,375.21277,129.5418407,-0.404891908,417.5199361,249.6851822,2.355881691,417.3782386,186.7336844,4.16790247,418.3343746,143.7576892,2.290385723,419.6030737,109.0120681,0.602148652,450.4361444,256.1011476,0.147404671,456.699463,197.7561971,-0.152124286,458.7958392,158.086258,-2.751571655,460.008428,125.6423123,-4.695691586,480.5958011,272.825349,-3.325982571,493.6094827,227.0248587,-5.109425545,500.715217,196.1706779,-7.042211056,506.581873,166.9402304,-8.316622734
148,426.1272838,417.8891047,-0.000872508,373.4399649,374.4087779,-7.372721672,348.0890044,321.2118909,-9.874526978,347.5823848,272.2000866,-12.59154701,352.1967311,238.5085672,-14.89226151,379.9606511,255.007655,2.715292454,375.815051,197.8648536,2.449252605,374.969749,160.3250655,1.081182957,375.21277,129.5418407,-0.404891908,417.5199361,249.6851822,2.355881691,417.3782386,186.7336844,4.16790247,418.3343746,143.7576892,2.290385723,419.6030737,109.0120681,0.602148652,450.4361444,256.1011476,0.147404671,456.699463,197.7561971,-0.152124286,458.7958392,158.086258,-2.751571655,460.008428,125.6423123,-4.695691586,480.5958011,272.825349,-3.325982571,493.6094827,227.0248587,-5.109425545,500.715217,196.1706779,-7.042211056,506.581873,166.9402304,-8.316622734
165,427.4690516,417.9682156,-0.000907704,374.0649812,374.6351211,-8.125998497,347.9536232,321.661606,-11.00675297,345.2023114,272.2118025,-14.0066433,346.9909731,236.4200417,-16.65331268,379.6625917,254.7584191,1.822993279,376.3750476,196.8784905,1.383583188,375.9256209,159.1126153,-0.095874131,376.5673407,128.3110395,-1.679378986,417.3555765,249.8019451,1.785670877,417.1229298,186.5881172,3.389528751,418.1337506,143.8216216,1.356324196,419.3506955,109.2444466,-0.504346192,450.4108627,255.9902095,-0.122314692,456.2616501,197.548938,-0.504650831,458.3417409,158.2537621,-3.237575769,459.4657611,126.326352,-5.334827423,480.6471631,271.8217821,-3.355746269,493.127644,225.4277985,-5.155454636,499.8885364,194.1887095,-7.156474113,505.3312157,164.9926562,-8.526772499
