TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
17,408.7708219,501.4164527,-0.001080669,374.0141352,467.9095139,-9.271716118,354.4580366,421.5742601,-12.28448105,365.324188,378.9661027,-14.70247078,388.6959838,357.2235743,-15.58086014,384.1045825,361.7455202,5.346310139,388.2389282,314.6417716,3.588110447,393.91898,280.9624842,2.274415016,400.4119235,252.4610797,1.616342783,412.3646316,364.1780289,5.489181995,415.4944889,324.9021215,0.313651085,407.3626956,344.0622821,-5.44054842,402.6899516,360.9496644,-6.639992714,438.1395742,373.4868209,3.572870016,442.3396151,335.5466058,-5.683257103,430.278761,357.8566521,-12.32149601,425.2226869,376.9158119,-13.1601963,463.1837639,388.6984913,0.991560936,465.5226699,355.9547648,-8.397054672,453.669057,365.4823183,-13.22458839,447.1255651,379.2567664,-14.34642124
33,408.7708219,501.4164527,-0.001080669,374.0141352,467.9095139,-9.271716118,354.4580366,421.5742601,-12.28448105,365.324188,378.9661027,-14.70247078,388.6959838,357.2235743,-15.58086014,384.1045825,361.7455202,5.346310139,388.2389282,314.6417716,3.588110447,393.91898,280.9624842,2.274415016,400.4119235,252.4610797,1.616342783,412.3646316,364.1780289,5.489181995,415.4944889,324.9021215,0.313651085,407.3626956,344.0622821,-5.44054842,402.6899516,360.9496644,-6.639992714,438.1395742,373.4868209,3.572870016,442.3396151,335.5466058,-5.683257103,430.278761,357.8566521,-12.32149601,425.2226869,376.9158119,-13.1601963,463.1837639,388.6984913,0.991560936,465.5226699,355.9547648,-8.397054672,453.669057,365.4823183,-13.22458839,447.1255651,379.2567664,-14.34642124
50,407.4047023,500.3105425,-0.001050904,374.0309577,465.1024672,-8.299664497,355.5526658,418.5821714,-10.56790161,366.8610113,376.0261981,-12.25280762,390.6946405,354.6800888,-12.24988556,384.9511371,360.8557611,6.25003767,387.9436014,312.8298979,4.926756382,391.95361,279.6014031,3.984548569,396.9506588,251.9579641,3.564923286,412.6035164,363.5065976,6.416396141,415.6463703,324.6384089,1.266194701,407.6254817,349.8584158,-3.766551971,403.2872556,370.9755809,-4.090999603,437.911248,372.3094926,4.654243469,441.716034,335.3903836,-4.339948654,429.5543837,362.312336,-9.842988968,424.6501474,383.9872245,-9.661598206,462.1118404,386.6127882,2.297757149,464.2308231,354.4481418,-6.664933205,452.0545195,367.1054036,-10.66401196,445.7931698,383.0723374,-10.98037434
66,407.4047023,500.3105425,-0.001050904,374.0309577,465.1024672,-8.299664497,355.5526658,418.5821714,-10.56790161,366.8610113,376.0261981,-12.25280762,390.6946405,354.6800888,-12.24988556,384.9511371,360.8557611,6.25003767,387.9436014,312.8298979,4.926756382,391.95361,279.6014031,3.984548569,396.9506588,251.9579641,3.564923286,412.6035164,363.5065976,6.416396141,415.6463703,324.6384089,1.266194701,407.6254817,349.8584158,-3.766551971,403.2872556,370.9755809,-4.090999603,437.911248,372.3094926,4.654243469,441.716034,335.3903836,-4.339948654,429.5543837,362.312336,-9.842988968,424.6501474,383.9872245,-9.661598206,462.1118404,386.6127882,2.297757149,464.2308231,354.4481418,-6.664933205,452.0545195,367.1054036,-10.66401196,445.7931698,383.0723374,-10.98037434
82,406.4312706,500.5337224,-0.001019232,372.9643137,465.8753025,-8.379862785,353.7872467,419.2192874,-10.90627098,365.2782005,377.1055274,-12.9180479,389.5201913,356.950157,-13.25290775,384.104137,360.5235419,6.534848213,386.7729954,313.2431531,5.280337334,390.9565276,280.1325718,4.319813728,396.042322,252.4210301,3.828691959,411.8751865,363.1492777,6.444159508,414.9915146,324.9982539,1.055024266,406.9240924,350.7332546,-4.297580242,402.4041497,372.5561182,-4.760684013,437.5282315,372.2944769,4.393202782,441.9390996,335.4156559,-4.867984295,429.8442817,362.5927432,-10.72400856,424.7713915,384.9579321,-10.71895313,462.0361688,387.2415219,1.732482433,465.0207647,354.915416,-7.534340858,453.0496171,367.2934497,-11.81241703,446.6368529,383.4984529,-12.28818226
99,406.4312706,500.5337224,-0.001019232,372.9643137,465.8753025,-8.379862785,353.7872467,419.2192874,-10.90627098,365.2782005,377.1055274,-12.9180479,389.5201913,356.950157,-13.25290775,384.104137,360.5235419,6.534848213,386.7729954,313.2431531,5.280337334,390.9565276,280.1325718,4.319813728,396.042322,252.4210301,3.828691959,411.8751865,363.1492777,6.444159508,414.9915146,324.9982539,1.055024266,406.9240924,350.7332546,-4.297580242,402.4041497,372.5561182,-4.760684013,437.5282315,372.2944769,4.393202782,441.9390996,335.4156559,-4.867984295,429.8442817,362.5927432,-10.72400856,424.7713915,384.9579321,-10.71895313,462.0361688,387.2415219,1.732482433,465.0207647,354.915416,-7.534340858,453.0496171,367.2934497,-11.81241703,446.6368529,383.4984529,-12.28818226
116,405.4853846,500.3115958,-0.000962541,371.9569551,465.2999677,-8.747926712,352.880638,417.9784914,-11.31929302,363.4914391,375.8274302,-13.41026306,387.1407103,355.8404175,-13.83320141,383.3732809,358.3169658,6.718542576,385.8334885,311.4519449,5.71349287,390.4459552,278.4814689,4.773676395,395.8756316,250.8244066,4.210434437,411.2282778,361.7524138,6.611533165,414.3002348,323.7076714,1.153537631,406.3396064,348.974487,-4.595211983,401.6943039,370.8043174,-5.271587372,436.8071056,371.6897381,4.504471779,441.2833491,334.7235727,-4.84039402,429.0561241,361.0323196,-11.08279133,423.5653437,383.2456449,-11.32947159,461.1259285,387.3362986,1.730308771,464.7232921,354.7896799,-7.602100372,452.7297982,366.165916,-12.09863377,445.6607185,382.0929425,-12.7262249
132,405.4853846,500.3115958,-0.000962541,371.9569551,465.2999677,-8.747926712,352.880638,417.9784914,-11.31929302,363.4914391,375.8274302,-13.41026306,387.1407103,355.8404175,-13.83320141,383.3732809,358.3169658,6.718542576,385.8334885,311.4519449,5.71349287,390.4459552,278.4814689,4.773676395,395.8756316,250.8244066,4.210434437,411.2282778,361.7524138,6.611533165,414.3002348,323.7076714,1.153537631,406.3396064,348.974487,-4.595211983,401.6943039,370.8043174,-5.271587372,436.8071056,371.6897381,4.504471779,441.2833491,334.7235727,-4.84039402,429.0561241,361.0323196,-11.08279133,423.5653437,383.2456449,-11.32947159,461.1259285,387.3362986,1.730308771,464.7232921,354.7896799,-7.602100372,452.7297982,366.165916,-12.09863377,445.6607185,382.0929425,-12.7262249
149,403.8416089,500.6893471,-0.001013346,370.3833541,465.4005735,-7.958303452,352.0456236,417.8832223,-10.01834774,362.4869085,375.6934907,-11.70776367,385.3635451,356.1726663,-11.89092731,382.5875512,359.4814998,7.271086216,385.9578459,311.0496481,6.651391506,390.6911664,278.4724522,6.106722355,396.2691321,251.4530464,5.924652576,410.4162206,362.6176992,7.302697182,413.4686723,324.0933867,3.17993927,404.7199088,348.6374078,-1.674823642,399.9192325,369.5969015,-2.016644955,435.9772417,372.2693875,5.386759758,439.8523597,335.0493177,-2.544248581,427.1367245,360.7107123,-8.109466553,421.6899655,382.2737801,-8.229635239,460.2646596,387.4281973,2.830246449,462.6966858,354.7561947,-5.348693848,450.3034982,366.0092196,-9.378712654,443.431406,381.492414,-9.868065834
166,403.8416089,500.6893471,-0.001013346,370.3833541,465.4005735,-7.958303452,352.0456236,417.8832223,-10.01834774,362.4869085,375.6934907,-11.70776367,385.3635451,356.1726663,-11.89092731,382.5875512,359.4814998,7.271086216,385.9578459,311.0496481,6.651391506,390.6911664,278.4724522,6.106722355,396.2691321,251.4530464,5.924652576,410.4162206,362.6176992,7.302697182,413.4686723,324.0933867,3.17993927,404.7199088,348.6374078,-1.674823642,399.9192325,369.5969015,-2.016644955,435.9772417,372.2693875,5.386759758,439.8523597,335.0493177,-2.544248581,427.1367245,360.7107123,-8.109466553,421.6899655,382.2737801,-8.229635239,460.2646596,387.4281973,2.830246449,462.6966858,354.7561947,-5.348693848,450.3034982,366.0092196,-9.378712654,443.431406,381.492414,-9.868065834
