TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
16,360.8336449825342, 384.2975854973175, -0.0004516392946243286,317.5159971569526, 339.1616909189048, 3.979870557785034,301.84876943148544, 284.57680198255764, 2.196889877319336,287.9168842648831, 243.07588959452227, -2.3823788166046143,267.3503627552668, 202.2661043029488, -7.751871109008789,353.7549478503426, 234.5603160540107, 3.095210075378418,336.31464673154875, 186.83979677724167, -3.6814451217651367,314.97715008789396, 156.451010997472, -10.88292121887207,293.5864463617307, 132.4168344517655, -17.38507080078125,373.8038664784531, 241.02203576911043, -6.039059638977051,363.3551665752509, 184.29300741432127, -15.248994827270508,336.7022673076464, 149.742795486677, -23.55771827697754,308.960221391224, 124.36267722513303, -30.46820640563965,388.6874482630377, 258.0421297205262, -15.749008178710938,380.7565865454727, 203.0563646018395, -25.916780471801758,351.43176010585375, 170.3607718043247, -33.90584182739258,324.26094619027856, 148.0864856894475, -40.022254943847656,398.37479915022544, 281.76644248597705, -25.107351303100586,388.95788890081, 238.01509770253583, -34.468528747558594,366.546692796397, 210.0224316071051, -40.97849655151367,342.1758492927474, 186.4499664927372, -46.51853561401367
32,360.8336449825342, 384.2975854973175, -0.0004516392946243286,317.5159971569526, 339.1616909189048, 3.979870557785034,301.84876943148544, 284.57680198255764, 2.196889877319336,287.9168842648831, 243.07588959452227, -2.3823788166046143,267.3503627552668, 202.2661043029488, -7.751871109008789,353.7549478503426, 234.5603160540107, 3.095210075378418,336.31464673154875, 186.83979677724167, -3.6814451217651367,314.97715008789396, 156.451010997472, -10.88292121887207,293.5864463617307, 132.4168344517655, -17.38507080078125,373.8038664784531, 241.02203576911043, -6.039059638977051,363.3551665752509, 184.29300741432127, -15.248994827270508,336.7022673076464, 149.742795486677, -23.55771827697754,308.960221391224, 124.36267722513303, -30.46820640563965,388.6874482630377, 258.0421297205262, -15.749008178710938,380.7565865454727, 203.0563646018395, -25.916780471801758,351.43176010585375, 170.3607718043247, -33.90584182739258,324.26094619027856, 148.0864856894475, -40.022254943847656,398.37479915022544, 281.76644248597705, -25.107351303100586,388.95788890081, 238.01509770253583, -34.468528747558594,366.546692796397, 210.0224316071051, -40.97849655151367,342.1758492927474, 186.4499664927372, -46.51853561401367
49,358.9410963415984, 383.314342575342, -0.00046119093894958496,316.43621483679243, 338.05637574502055, 4.408756732940674,300.4714105845328, 282.686335113092, 3.178724765777588,285.38187899174005, 240.76806640416052, -0.9790273904800415,263.8358376580202, 200.59242270096544, -5.976840496063232,352.927234734629, 232.58992995940062, 5.166477203369141,334.24466248889814, 184.71167333853077, -0.8174757957458496,312.4802590235033, 155.0977187924354, -7.542664527893066,290.919498196326, 131.68041989337533, -13.745344161987305,373.3107083547722, 238.34428852985232, -3.811218738555908,361.4498054035124, 182.0150362814593, -12.02031421661377,334.69602796030665, 148.40876056949995, -19.667848587036133,307.1155654395881, 123.89569058685285, -26.225830078125,388.4902628057717, 254.88880675765432, -13.4576416015625,379.20931220906505, 200.03230202373564, -22.598464965820312,349.9603422263981, 168.45191843678197, -29.962181091308594,323.11066980968263, 147.3588899781638, -35.880943298339844,398.20941165123776, 278.2753306345194, -22.79945945739746,388.15995365099843, 234.63506695235216, -31.401966094970703,365.8237522847525, 206.87699588531083, -37.60592269897461,341.581648084942, 183.72655080152458, -43.09495544433594
65,358.9410963415984, 383.314342575342, -0.00046119093894958496,316.43621483679243, 338.05637574502055, 4.408756732940674,300.4714105845328, 282.686335113092, 3.178724765777588,285.38187899174005, 240.76806640416052, -0.9790273904800415,263.8358376580202, 200.59242270096544, -5.976840496063232,352.927234734629, 232.58992995940062, 5.166477203369141,334.24466248889814, 184.71167333853077, -0.8174757957458496,312.4802590235033, 155.0977187924354, -7.542664527893066,290.919498196326, 131.68041989337533, -13.745344161987305,373.3107083547722, 238.34428852985232, -3.811218738555908,361.4498054035124, 182.0150362814593, -12.02031421661377,334.69602796030665, 148.40876056949995, -19.667848587036133,307.1155654395881, 123.89569058685285, -26.225830078125,388.4902628057717, 254.88880675765432, -13.4576416015625,379.20931220906505, 200.03230202373564, -22.598464965820312,349.9603422263981, 168.45191843678197, -29.962181091308594,323.11066980968263, 147.3588899781638, -35.880943298339844,398.20941165123776, 278.2753306345194, -22.79945945739746,388.15995365099843, 234.63506695235216, -31.401966094970703,365.8237522847525, 206.87699588531083, -37.60592269897461,341.581648084942, 183.72655080152458, -43.09495544433594
82,360.6403946314269, 381.87032769938287, -0.0004225596785545349,315.77985306537744, 337.17330549406273, 2.6440963745117188,298.7197586935588, 282.92474591226664, 0.06765329837799072,284.0227176367573, 241.25169766431787, -5.063338279724121,260.7169694344446, 199.810748860038, -11.117332458496094,350.6053831456939, 233.33770199647742, 0.718691349029541,332.8394632761949, 185.4468098466785, -6.738504409790039,311.65680923150404, 154.62308610397372, -14.094743728637695,291.2346663956968, 129.13242034800948, -20.664716720581055,371.9497157536397, 241.03656941790368, -8.023263931274414,360.8053851293642, 183.78981274050523, -18.2299747467041,335.4703236155287, 149.42329205186036, -26.98288917541504,309.3688920219963, 123.0167277625982, -33.99254608154297,388.2574643582751, 258.85252682323784, -17.348737716674805,380.2614773208266, 204.24222310572705, -28.407241821289062,352.79411622892616, 172.04220205348798, -36.918609619140625,327.13672138355884, 148.78133860862243, -43.18686294555664,399.7085655605375, 283.2480626670894, -26.37405776977539,391.2407029200328, 240.11930677250234, -36.69635009765625,369.99424817299274, 212.6503631124109, -43.74345016479492,347.2710178523878, 188.41679763657686, -49.452728271484375
99,360.6403946314269, 381.87032769938287, -0.0004225596785545349,315.77985306537744, 337.17330549406273, 2.6440963745117188,298.7197586935588, 282.92474591226664, 0.06765329837799072,284.0227176367573, 241.25169766431787, -5.063338279724121,260.7169694344446, 199.810748860038, -11.117332458496094,350.6053831456939, 233.33770199647742, 0.718691349029541,332.8394632761949, 185.4468098466785, -6.738504409790039,311.65680923150404, 154.62308610397372, -14.094743728637695,291.2346663956968, 129.13242034800948, -20.664716720581055,371.9497157536397, 241.03656941790368, -8.023263931274414,360.8053851293642, 183.78981274050523, -18.2299747467041,335.4703236155287, 149.42329205186036, -26.98288917541504,309.3688920219963, 123.0167277625982, -33.99254608154297,388.2574643582751, 258.85252682323784, -17.348737716674805,380.2614773208266, 204.24222310572705, -28.407241821289062,352.79411622892616, 172.04220205348798, -36.918609619140625,327.13672138355884, 148.78133860862243, -43.18686294555664,399.7085655605375, 283.2480626670894, -26.37405776977539,391.2407029200328, 240.11930677250234, -36.69635009765625,369.99424817299274, 212.6503631124109, -43.74345016479492,347.2710178523878, 188.41679763657686, -49.452728271484375
116,359.32764070570926, 383.13178755028446, -0.0003799423575401306,314.254020479805, 338.74115628210996, 2.13547420501709,296.7939689627207, 283.88516668820546, -0.3019255995750427,283.0474506899377, 240.62898356932521, -5.2888641357421875,259.3682638579264, 197.45699530758384, -11.097888946533203,345.9433216975207, 232.96910855847554, 1.367244005203247,328.90988789872677, 185.37277868841954, -6.091272354125977,308.6788187347344, 153.5986923373984, -13.763404846191406,288.2508654479767, 126.5525837873965, -20.89998435974121,368.8491096732399, 240.3023114952703, -7.140932083129883,357.56528264044596, 184.02521182493473, -17.392459869384766,332.7497143911002, 149.02495614806813, -26.627824783325195,305.76306342541733, 121.54713888302442, -34.206146240234375,387.21990962437616, 257.6926593711533, -16.3907527923584,379.07597101784637, 204.88715892621138, -27.360454559326172,350.98688345365156, 173.01992064049495, -36.20755386352539,323.60890047829054, 149.42143457531202, -42.7899169921875,401.2703329920621, 281.49777678113946, -25.431110382080078,391.9963036515171, 239.84348543260288, -35.717098236083984,370.30224779663774, 213.10077302008176, -42.77570724487305,346.3791102966346, 188.68252819020526, -48.38969039916992
133,358.51495882355846, 383.28742090259107, -0.00044055283069610596,313.9235854783025, 339.0915159122021, 2.8788399696350098,296.3992159785075, 283.23460260833525, 1.7764052152633667,281.8368026453484, 238.84642436362384, -2.006336212158203,257.9693136893429, 195.19838566793126, -6.4351887702941895,344.04606091138635, 233.44727093242446, 5.161063194274902,325.64391146275545, 185.7405458394081, -0.7320502400398254,304.9045220787083, 154.32483844209642, -7.56129264831543,284.2051043885944, 127.74270928139241, -14.19076919555664,366.6278408972048, 238.5242511252078, -3.050612449645996,353.05285048422917, 182.90106099176217, -11.168241500854492,328.0446396237723, 148.93544287255054, -19.502756118774414,301.84202583632305, 122.99421260619147, -26.714563369750977,385.79961448759735, 253.14545193791696, -12.149009704589844,376.24255291773284, 200.35049840149912, -20.931747436523438,348.79509381696363, 168.8009665391435, -28.760883331298828,322.078317760639, 146.16315402086954, -35.099117279052734,401.3914687726892, 274.5242001402453, -21.16757583618164,392.02638424898043, 231.40614443361915, -29.671390533447266,371.03486424098, 203.7709995907129, -36.00431823730469,347.33727671376823, 180.0239650863661, -41.48082733154297
148,358.51495882355846, 383.28742090259107, -0.00044055283069610596,313.9235854783025, 339.0915159122021, 2.8788399696350098,296.3992159785075, 283.23460260833525, 1.7764052152633667,281.8368026453484, 238.84642436362384, -2.006336212158203,257.9693136893429, 195.19838566793126, -6.4351887702941895,344.04606091138635, 233.44727093242446, 5.161063194274902,325.64391146275545, 185.7405458394081, -0.7320502400398254,304.9045220787083, 154.32483844209642, -7.56129264831543,284.2051043885944, 127.74270928139241, -14.19076919555664,366.6278408972048, 238.5242511252078, -3.050612449645996,353.05285048422917, 182.90106099176217, -11.168241500854492,328.0446396237723, 148.93544287255054, -19.502756118774414,301.84202583632305, 122.99421260619147, -26.714563369750977,385.79961448759735, 253.14545193791696, -12.149009704589844,376.24255291773284, 200.35049840149912, -20.931747436523438,348.79509381696363, 168.8009665391435, -28.760883331298828,322.078317760639, 146.16315402086954, -35.099117279052734,401.3914687726892, 274.5242001402453, -21.16757583618164,392.02638424898043, 231.40614443361915, -29.671390533447266,371.03486424098, 203.7709995907129, -36.00431823730469,347.33727671376823, 180.0239650863661, -41.48082733154297
166,355.9833135986977, 383.31328672054406, -0.0004389658570289612,311.59721060288757, 338.7797007387977, 3.324826717376709,294.41141514995195, 281.721772230266, 2.4689269065856934,279.97406272360223, 236.54739867084612, -1.1124898195266724,256.97337390762493, 191.97684689585043, -5.342900276184082,343.5622644242177, 232.37055270690124, 5.3835296630859375,324.2993878310893, 184.4741673298784, -0.5543980598449707,302.7801353970092, 153.3724019179187, -7.3748779296875,281.4700198668632, 127.46604099920701, -13.837736129760742,365.86179569187925, 237.44379882831583, -2.97274112701416,351.24221246772316, 181.56133647236933, -11.117212295532227,325.1577204143445, 147.59004433689918, -19.3978214263916,298.6814549586146, 122.4441763230751, -26.49123191833496,384.50501732730004, 252.31228691894577, -12.152219772338867,374.3935765645079, 198.42562326462294, -20.828794479370117,346.6569613179034, 166.0046699345694, -28.525554656982422,320.0062496909948, 143.52011571841115, -34.84859848022461,399.5389122695696, 274.46152578025044, -21.2112979888916,389.86870659901604, 229.77030020919642, -29.599807739257812,368.63975297779194, 200.55712092785714, -35.96254348754883,344.7138066596364, 176.45465929565373, -41.62471008300781
