TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
15,377.4693939,431.3028759,-0.001041174,326.4924241,394.761689,-3.584599257,292.0846216,349.7428721,-4.068523884,271.6049723,305.1654956,-4.961819649,256.0183897,272.819533,-5.729773998,315.4349737,295.5056428,5.572752953,305.1687893,244.5864882,7.559344292,302.244352,212.6873422,8.728425026,300.6679986,187.8822451,9.085172653,347.4741799,288.1839386,5.413835526,340.5442273,232.6775515,8.161239624,339.2726571,196.922244,8.2389431,338.8214577,171.6491895,8.190127373,378.2590704,290.1147177,3.96218133,377.9918242,237.020131,5.164349556,378.8714309,202.6686893,4.996656418,378.5935579,177.9614381,5.027409077,407.9382276,301.1575091,1.700801849,415.16159,258.1637762,1.498573542,420.2116533,229.6286409,1.236977816,423.5333718,205.2613047,1.528853774
31,375.483388,431.4612601,-0.00107903,324.6665994,394.7436813,-4.255813599,290.1941143,348.6293591,-5.027121544,269.5880899,303.0615352,-6.115122318,253.8668343,269.4280327,-7.118744373,315.8360896,294.4342148,5.286111355,305.462832,243.7604745,7.279833794,301.7781089,211.8590531,8.462651253,299.3205435,187.1804723,8.835741043,347.9062211,287.3610606,5.398098469,340.8632209,232.5814353,8.250648499,338.3886544,197.0043491,8.290751457,336.7754911,172.0554095,8.171071053,378.3158297,289.4377366,4.13837719,377.8011885,236.7777076,5.278071404,377.5420037,202.6780074,4.78546524,376.1850785,178.5314191,4.576083183,407.5754083,300.4147844,2.022595644,414.0792997,257.4293365,1.651456594,417.9834866,228.6446486,1.116889238,420.0973357,204.5615473,1.188144803
48,375.483388,431.4612601,-0.00107903,324.6665994,394.7436813,-4.255813599,290.1941143,348.6293591,-5.027121544,269.5880899,303.0615352,-6.115122318,253.8668343,269.4280327,-7.118744373,315.8360896,294.4342148,5.286111355,305.462832,243.7604745,7.279833794,301.7781089,211.8590531,8.462651253,299.3205435,187.1804723,8.835741043,347.9062211,287.3610606,5.398098469,340.8632209,232.5814353,8.250648499,338.3886544,197.0043491,8.290751457,336.7754911,172.0554095,8.171071053,378.3158297,289.4377366,4.13837719,377.8011885,236.7777076,5.278071404,377.5420037,202.6780074,4.78546524,376.1850785,178.5314191,4.576083183,407.5754083,300.4147844,2.022595644,414.0792997,257.4293365,1.651456594,417.9834866,228.6446486,1.116889238,420.0973357,204.5615473,1.188144803
65,374.735985,430.9153234,-0.001035973,324.1830768,391.6335343,-4.762970448,289.1383032,345.3266522,-5.401102543,267.8178676,300.6353374,-6.32057333,251.7028207,267.7176586,-7.124992847,315.1476739,291.5899048,6.623000622,304.9625704,240.9028719,9.298080444,301.1377358,209.165808,10.71131134,298.6713962,184.9870371,11.19931412,347.7528069,285.515184,7.24112606,341.1013032,231.6664526,11.19850159,338.5361221,196.7827227,11.58847618,336.7018202,172.718128,11.65314865,378.4028485,288.1028592,6.302821159,377.8968731,236.9198798,8.4947052,377.6920128,203.4453584,8.383972168,376.4336548,180.0000368,8.363974571,407.7322681,298.9509541,4.364179611,413.8684613,257.0895305,4.848732948,417.640485,228.8192171,4.679485798,419.7525704,205.2554235,4.960480213
81,374.735985,430.9153234,-0.001035973,324.1830768,391.6335343,-4.762970448,289.1383032,345.3266522,-5.401102543,267.8178676,300.6353374,-6.32057333,251.7028207,267.7176586,-7.124992847,315.1476739,291.5899048,6.623000622,304.9625704,240.9028719,9.298080444,301.1377358,209.165808,10.71131134,298.6713962,184.9870371,11.19931412,347.7528069,285.515184,7.24112606,341.1013032,231.6664526,11.19850159,338.5361221,196.7827227,11.58847618,336.7018202,172.718128,11.65314865,378.4028485,288.1028592,6.302821159,377.8968731,236.9198798,8.4947052,377.6920128,203.4453584,8.383972168,376.4336548,180.0000368,8.363974571,407.7322681,298.9509541,4.364179611,413.8684613,257.0895305,4.848732948,417.640485,228.8192171,4.679485798,419.7525704,205.2554235,4.960480213
98,374.4160525,431.127283,-0.000918612,324.1788862,391.9451292,-5.81827879,288.7946743,344.8415907,-6.990538597,267.2402415,299.7473067,-8.556450844,250.7349404,265.2511377,-10.04343605,314.2883891,288.9519875,6.710431576,304.5690146,241.4166438,9.035132408,300.5273831,210.3725252,9.723267555,297.7137216,186.2563803,9.386154175,346.6155217,282.5370071,7.117225647,340.5734957,231.3725664,10.77207375,337.7652237,196.7823185,10.37984467,335.3179123,172.7169465,9.696750641,377.2831804,285.4327759,5.701700211,377.3717262,236.0652185,7.455384254,376.7654098,202.5768959,6.730428219,374.8590814,179.0167525,6.147938251,407.4639988,296.9789673,3.098004818,414.0913549,256.213299,3.026680231,417.8017509,227.7401649,2.419584751,419.6081529,203.8912044,2.280749321
114,374.4160525,431.127283,-0.000918612,324.1788862,391.9451292,-5.81827879,288.7946743,344.8415907,-6.990538597,267.2402415,299.7473067,-8.556450844,250.7349404,265.2511377,-10.04343605,314.2883891,288.9519875,6.710431576,304.5690146,241.4166438,9.035132408,300.5273831,210.3725252,9.723267555,297.7137216,186.2563803,9.386154175,346.6155217,282.5370071,7.117225647,340.5734957,231.3725664,10.77207375,337.7652237,196.7823185,10.37984467,335.3179123,172.7169465,9.696750641,377.2831804,285.4327759,5.701700211,377.3717262,236.0652185,7.455384254,376.7654098,202.5768959,6.730428219,374.8590814,179.0167525,6.147938251,407.4639988,296.9789673,3.098004818,414.0913549,256.213299,3.026680231,417.8017509,227.7401649,2.419584751,419.6081529,203.8912044,2.280749321
131,373.28433,429.8972331,-0.000941545,323.6242417,390.4036512,-4.984161854,288.6752227,343.8579567,-5.827369213,267.6513886,299.1440498,-7.107988358,251.697004,265.4529294,-8.244083405,314.1174137,290.3925575,6.577193737,303.7164505,242.5877016,8.793691635,299.0322135,211.6496686,9.543139458,295.7052008,187.5591481,9.334602356,346.0319964,283.628413,6.718630791,339.5009661,231.6988845,10.11654091,336.1795285,196.6889858,9.819197655,333.4454473,172.2323506,9.304227829,376.3704705,285.9895272,5.181114197,376.1697254,235.830226,6.864632607,375.3367448,201.7716586,6.310762882,373.3050101,177.667198,5.895530701,406.2880395,297.0100131,2.56071949,412.873656,255.9770335,2.573443174,416.7002874,227.5087832,2.11040926,418.6945056,203.4030293,2.092298508
147,373.28433,429.8972331,-0.000941545,323.6242417,390.4036512,-4.984161854,288.6752227,343.8579567,-5.827369213,267.6513886,299.1440498,-7.107988358,251.697004,265.4529294,-8.244083405,314.1174137,290.3925575,6.577193737,303.7164505,242.5877016,8.793691635,299.0322135,211.6496686,9.543139458,295.7052008,187.5591481,9.334602356,346.0319964,283.628413,6.718630791,339.5009661,231.6988845,10.11654091,336.1795285,196.6889858,9.819197655,333.4454473,172.2323506,9.304227829,376.3704705,285.9895272,5.181114197,376.1697254,235.830226,6.864632607,375.3367448,201.7716586,6.310762882,373.3050101,177.667198,5.895530701,406.2880395,297.0100131,2.56071949,412.873656,255.9770335,2.573443174,416.7002874,227.5087832,2.11040926,418.6945056,203.4030293,2.092298508
165,372.8023886,428.7688358,-0.000956565,322.219311,389.3111009,-3.584568977,287.5905773,343.3729631,-3.803901434,267.0194247,298.9264424,-4.385529041,251.4147537,267.017757,-4.689156055,315.2119635,291.813782,6.173306942,304.2249915,241.8163349,8.540620804,299.095478,210.5507586,9.876197815,295.3279003,186.3159911,10.36107063,347.3064519,284.7643914,6.334452629,340.435242,230.511731,9.726460457,336.7232039,195.0854136,10.1094923,333.7214896,170.2856795,10.31447315,377.4616553,286.5134323,5.12605381,376.5895884,234.6744764,7.045960426,375.2893951,200.0049524,7.150526524,372.9600528,175.2163581,7.363070965,406.5482032,296.9061163,3.044850349,412.4821437,254.6854253,3.520437956,416.1460756,225.8430621,3.486125469,418.1098911,201.2816067,3.868291378
