TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
16,334.4845348,398.4555631,-0.001053952,287.5513365,360.5321443,-7.159639359,258.4651374,307.8330116,-10.08036137,238.5955564,258.4211787,-13.1974144,216.8635166,220.7546789,-16.53102493,302.7319068,239.9205797,-0.663085222,297.3986264,179.7805293,-1.78375411,294.6759226,138.0976601,-3.868729353,292.6613295,103.7347094,-6.05052948,338.8222401,240.1514393,-1.204572916,342.482713,173.8664006,-1.257009983,344.9832701,127.4192074,-4.128629208,346.1597474,92.17225528,-6.910720825,369.5168189,252.3465949,-3.222276211,381.1398963,194.3271531,-4.920022964,388.4820368,154.5123126,-8.414325714,392.5184325,123.7165257,-11.21369648,396.5037035,274.2721155,-6.229941368,414.8246922,233.3932646,-8.974412918,426.4999616,204.9203548,-11.55403614,435.5154845,177.6147451,-13.48904514
32,334.4845348,398.4555631,-0.001053952,287.5513365,360.5321443,-7.159639359,258.4651374,307.8330116,-10.08036137,238.5955564,258.4211787,-13.1974144,216.8635166,220.7546789,-16.53102493,302.7319068,239.9205797,-0.663085222,297.3986264,179.7805293,-1.78375411,294.6759226,138.0976601,-3.868729353,292.6613295,103.7347094,-6.05052948,338.8222401,240.1514393,-1.204572916,342.482713,173.8664006,-1.257009983,344.9832701,127.4192074,-4.128629208,346.1597474,92.17225528,-6.910720825,369.5168189,252.3465949,-3.222276211,381.1398963,194.3271531,-4.920022964,388.4820368,154.5123126,-8.414325714,392.5184325,123.7165257,-11.21369648,396.5037035,274.2721155,-6.229941368,414.8246922,233.3932646,-8.974412918,426.4999616,204.9203548,-11.55403614,435.5154845,177.6147451,-13.48904514
48,334.6682899,397.5590281,-0.001044109,287.746796,359.5576087,-6.794301987,258.6154836,307.3111001,-9.672120094,238.7696177,258.1287073,-12.78357506,217.2223017,220.6748811,-16.0741539,303.3282292,239.9964686,-1.065963507,297.903635,180.1353329,-2.492248535,294.8762204,138.2007745,-4.76107502,292.657209,103.5610827,-7.077550411,339.0326924,240.0300552,-1.883708,342.8950129,173.7580374,-2.335370541,345.3941214,126.797968,-5.398940086,346.6924909,91.24088338,-8.323448181,369.4279348,252.1888297,-4.108118057,381.5542326,194.4283214,-6.233742714,389.2138485,154.1662022,-9.962632179,393.5957023,122.978899,-12.90173054,396.0980607,274.3470552,-7.254373074,414.8280193,233.9354087,-10.35160828,426.6946066,205.5000975,-13.10698032,435.9653148,178.1673118,-15.16728592
66,334.6682899,397.5590281,-0.001044109,287.746796,359.5576087,-6.794301987,258.6154836,307.3111001,-9.672120094,238.7696177,258.1287073,-12.78357506,217.2223017,220.6748811,-16.0741539,303.3282292,239.9964686,-1.065963507,297.903635,180.1353329,-2.492248535,294.8762204,138.2007745,-4.76107502,292.657209,103.5610827,-7.077550411,339.0326924,240.0300552,-1.883708,342.8950129,173.7580374,-2.335370541,345.3941214,126.797968,-5.398940086,346.6924909,91.24088338,-8.323448181,369.4279348,252.1888297,-4.108118057,381.5542326,194.4283214,-6.233742714,389.2138485,154.1662022,-9.962632179,393.5957023,122.978899,-12.90173054,396.0980607,274.3470552,-7.254373074,414.8280193,233.9354087,-10.35160828,426.6946066,205.5000975,-13.10698032,435.9653148,178.1673118,-15.16728592
81,335.7939726,396.9982949,-0.001016192,288.9474447,358.7895796,-7.034862995,259.636207,306.7558704,-9.910543442,239.4029159,257.8744101,-12.9563303,217.2643457,220.3120071,-16.19906044,303.7627236,238.9518266,-0.634706318,298.2962583,178.8286383,-1.777390242,295.4578569,136.6674024,-3.847710609,293.3225684,101.9640988,-5.975592613,339.6760536,239.2748651,-1.08548677,343.5424797,173.0021818,-1.107738256,345.9240557,126.2368012,-3.929797411,346.6969954,90.82198816,-6.704771042,370.2242853,251.3242711,-2.989525795,381.9231086,193.5427138,-4.678754807,389.0659332,153.7691624,-8.209881783,392.688479,123.1511291,-11.02404308,397.1008467,272.6663125,-5.849402905,415.0036448,231.9480396,-8.563468933,426.185213,203.5514548,-11.16075993,434.5091811,176.5283725,-13.12309742
98,335.7939726,396.9982949,-0.001016192,288.9474447,358.7895796,-7.034862995,259.636207,306.7558704,-9.910543442,239.4029159,257.8744101,-12.9563303,217.2643457,220.3120071,-16.19906044,303.7627236,238.9518266,-0.634706318,298.2962583,178.8286383,-1.777390242,295.4578569,136.6674024,-3.847710609,293.3225684,101.9640988,-5.975592613,339.6760536,239.2748651,-1.08548677,343.5424797,173.0021818,-1.107738256,345.9240557,126.2368012,-3.929797411,346.6969954,90.82198816,-6.704771042,370.2242853,251.3242711,-2.989525795,381.9231086,193.5427138,-4.678754807,389.0659332,153.7691624,-8.209881783,392.688479,123.1511291,-11.02404308,397.1008467,272.6663125,-5.849402905,415.0036448,231.9480396,-8.563468933,426.185213,203.5514548,-11.16075993,434.5091811,176.5283725,-13.12309742
115,335.8373191,397.3683188,-0.001008794,288.3975471,358.6304092,-6.863992691,258.7319639,306.084461,-9.673834801,238.2880583,256.7298687,-12.67233658,216.1055053,218.7649798,-15.85201454,303.1670393,238.89497,-0.665089965,297.6049765,178.4982243,-1.832869411,294.8181435,136.4557903,-3.896173716,292.8349755,101.9722671,-6.007366657,339.2446996,239.4700781,-1.227250338,342.8565704,173.0124857,-1.352550268,345.4204479,126.3242307,-4.200282574,346.6017049,91.07835885,-6.939099312,369.9267001,251.7682382,-3.210618019,381.5465223,193.8692224,-4.982778549,388.980644,154.0468269,-8.510463715,393.0500165,123.3953916,-11.2786684,396.7304017,273.5564583,-6.127083778,415.006501,232.7769837,-8.890203476,426.5795714,204.3625936,-11.48022938,435.4033742,177.2848095,-13.39834976
131,335.8373191,397.3683188,-0.001008794,288.3975471,358.6304092,-6.863992691,258.7319639,306.084461,-9.673834801,238.2880583,256.7298687,-12.67233658,216.1055053,218.7649798,-15.85201454,303.1670393,238.89497,-0.665089965,297.6049765,178.4982243,-1.832869411,294.8181435,136.4557903,-3.896173716,292.8349755,101.9722671,-6.007366657,339.2446996,239.4700781,-1.227250338,342.8565704,173.0124857,-1.352550268,345.4204479,126.3242307,-4.200282574,346.6017049,91.07835885,-6.939099312,369.9267001,251.7682382,-3.210618019,381.5465223,193.8692224,-4.982778549,388.980644,154.0468269,-8.510463715,393.0500165,123.3953916,-11.2786684,396.7304017,273.5564583,-6.127083778,415.006501,232.7769837,-8.890203476,426.5795714,204.3625936,-11.48022938,435.4033742,177.2848095,-13.39834976
148,336.0348574,396.5155336,-0.001000866,289.0113276,357.3323903,-6.773215771,259.4976239,304.9599403,-9.607186317,238.4429957,256.1713683,-12.65495968,215.1289994,218.7444889,-15.93072319,304.3699224,238.4090505,-0.733019829,298.9576331,178.1222441,-1.979005694,296.1888156,136.1174558,-4.079022884,294.1487297,101.5386336,-6.20443821,339.8810926,239.2791543,-1.325500131,343.5771094,172.9775979,-1.577317595,346.1464715,126.3832695,-4.467883587,347.2481173,91.1002468,-7.239432335,370.0271017,251.6749859,-3.316147327,381.5611302,193.9996617,-5.135921478,389.0295048,154.3298764,-8.666721344,393.0484118,123.7641402,-11.45166779,396.401841,273.2979922,-6.226391315,414.4364003,232.6334292,-8.983834267,425.937802,204.3245187,-11.57726669,434.6079514,177.3573982,-13.51847267
164,333.7805382,397.7840751,-0.001064979,287.086672,359.5523986,-6.645780087,258.3254682,306.7442025,-9.624433517,238.5400135,257.1625275,-12.88624382,216.7013567,219.0560496,-16.35844421,303.1512478,239.9927086,-1.26646769,298.6748751,179.8479568,-2.851687908,296.0936247,137.5033491,-5.214791298,294.2251966,102.2692938,-7.603970051,338.5822049,240.5204621,-2.23735857,342.771381,173.9518763,-3.036254883,345.4987366,126.3872372,-6.298938751,346.9521156,90.30993934,-9.346711159,368.7952517,252.8921661,-4.568297386,380.8530875,194.6627107,-6.906030655,388.4427084,153.7181139,-10.70372486,392.7051261,121.991279,-13.68619728,395.5042092,275.0819894,-7.794603348,413.8676167,233.9397907,-10.9785862,425.4818834,204.8699682,-13.76911068,434.326255,177.0293688,-15.8773222
