TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
12,379.9670975,485.2196182,-0.000684239,340.977854,431.4921774,-7.02434206,328.4808074,359.9423695,-9.816394806,332.2837395,298.4320854,-13.19927406,336.629851,248.9244101,-15.18959808,358.5076749,291.9115808,10.20242119,358.5521178,242.845632,7.447252274,355.2005219,219.2151444,1.693014383,348.2918799,204.7693252,-3.841066599,390.4044535,292.0049475,9.172922134,398.0334558,230.5775439,3.817543507,383.6136266,212.8114903,-3.440053225,367.9366819,207.9914249,-7.890568733,418.7605413,306.01444,5.852683067,427.2291706,251.1055203,-3.547438145,405.9659725,259.3826658,-11.75342178,391.0404746,274.2345418,-15.15693092,448.5446976,333.0590958,1.895540476,449.7814338,286.4694509,-8.019490242,428.7968211,287.4040613,-14.19495201,412.5832156,299.4253021,-17.37377739
29,379.0150655,486.0513109,-0.0006705,340.4747485,431.9885487,-7.008431435,328.178905,360.186045,-9.853736877,333.2669268,299.0274675,-13.34664726,339.0995016,250.5477191,-15.39974403,357.3278714,291.6152642,10.7255249,357.1508106,243.4270287,7.869655609,353.5258923,220.714466,2.232061148,346.1713067,207.1057695,-3.233406305,389.7924481,291.5198526,9.744252205,396.8217242,231.1618209,4.71243906,381.5432945,214.5430062,-2.202759743,364.6597964,211.3800413,-6.34128952,418.8459333,305.507984,6.347201347,426.4217199,250.8465697,-3.350705862,405.4500989,262.3386664,-11.44597912,390.9543826,280.2276963,-14.5544796,449.4113938,332.7150066,2.371094704,449.4115368,285.6373905,-8.026561737,428.1343211,288.3964437,-14.11336231,412.1839305,302.3077689,-17.16782761
47,379.0150655,486.0513109,-0.0006705,340.4747485,431.9885487,-7.008431435,328.178905,360.186045,-9.853736877,333.2669268,299.0274675,-13.34664726,339.0995016,250.5477191,-15.39974403,357.3278714,291.6152642,10.7255249,357.1508106,243.4270287,7.869655609,353.5258923,220.714466,2.232061148,346.1713067,207.1057695,-3.233406305,389.7924481,291.5198526,9.744252205,396.8217242,231.1618209,4.71243906,381.5432945,214.5430062,-2.202759743,364.6597964,211.3800413,-6.34128952,418.8459333,305.507984,6.347201347,426.4217199,250.8465697,-3.350705862,405.4500989,262.3386664,-11.44597912,390.9543826,280.2276963,-14.5544796,449.4113938,332.7150066,2.371094704,449.4115368,285.6373905,-8.026561737,428.1343211,288.3964437,-14.11336231,412.1839305,302.3077689,-17.16782761
62,378.8619152,484.9360715,-0.000644207,340.3437071,429.8281715,-6.982355118,328.7634084,357.7923188,-9.896022797,334.3067221,297.2043994,-13.45923424,340.1600795,249.3449852,-15.51852989,358.6941065,289.651398,10.43622398,358.4231326,241.0770503,7.364040375,353.9263218,218.3984038,1.556356668,345.7527831,205.2951234,-3.964082479,390.5928107,290.0278192,9.401117325,397.8173573,229.3018502,4.136090755,381.1937509,213.6870025,-2.929801226,363.6684925,211.8844287,-7.135540009,419.1126824,304.2600302,5.961927414,427.0047302,248.992874,-3.551837444,405.3965173,259.1443485,-11.66687202,390.5758642,276.4987797,-14.89676476,449.1510512,331.6749811,1.912128925,449.4148994,283.9642674,-8.075088501,427.7758763,285.5956276,-14.16431332,411.4222374,298.8663987,-17.35625648
80,378.8619152,484.9360715,-0.000644207,340.3437071,429.8281715,-6.982355118,328.7634084,357.7923188,-9.896022797,334.3067221,297.2043994,-13.45923424,340.1600795,249.3449852,-15.51852989,358.6941065,289.651398,10.43622398,358.4231326,241.0770503,7.364040375,353.9263218,218.3984038,1.556356668,345.7527831,205.2951234,-3.964082479,390.5928107,290.0278192,9.401117325,397.8173573,229.3018502,4.136090755,381.1937509,213.6870025,-2.929801226,363.6684925,211.8844287,-7.135540009,419.1126824,304.2600302,5.961927414,427.0047302,248.992874,-3.551837444,405.3965173,259.1443485,-11.66687202,390.5758642,276.4987797,-14.89676476,449.1510512,331.6749811,1.912128925,449.4148994,283.9642674,-8.075088501,427.7758763,285.5956276,-14.16431332,411.4222374,298.8663987,-17.35625648
95,378.7460945,485.3538267,-0.000691436,340.2248441,430.4980092,-6.970166206,328.0603821,359.0426678,-10.00448704,334.0265719,298.6932826,-13.71446228,342.1286515,251.0853745,-16.01429939,359.1646059,290.5056831,10.04828072,358.2987508,241.1153646,6.902477741,353.8732021,218.1165574,1.050713539,346.1477778,204.8045128,-4.266949177,390.9628196,290.8994713,8.842987061,398.6249114,229.679701,3.671809673,381.6963899,213.6632845,-3.612174034,363.6250268,212.0237738,-8.142994881,419.4707425,305.344171,5.266228676,428.2528843,248.3056235,-4.034914017,405.8459708,255.9755374,-12.41461945,389.9825516,272.4775689,-16.03285408,449.0708008,332.8202537,1.06087184,450.1262994,284.0214211,-8.86425972,428.3472346,283.7378683,-15.11658764,411.2024298,296.3497492,-18.53446007
113,378.7460945,485.3538267,-0.000691436,340.2248441,430.4980092,-6.970166206,328.0603821,359.0426678,-10.00448704,334.0265719,298.6932826,-13.71446228,342.1286515,251.0853745,-16.01429939,359.1646059,290.5056831,10.04828072,358.2987508,241.1153646,6.902477741,353.8732021,218.1165574,1.050713539,346.1477778,204.8045128,-4.266949177,390.9628196,290.8994713,8.842987061,398.6249114,229.679701,3.671809673,381.6963899,213.6632845,-3.612174034,363.6250268,212.0237738,-8.142994881,419.4707425,305.344171,5.266228676,428.2528843,248.3056235,-4.034914017,405.8459708,255.9755374,-12.41461945,389.9825516,272.4775689,-16.03285408,449.0708008,332.8202537,1.06087184,450.1262994,284.0214211,-8.86425972,428.3472346,283.7378683,-15.11658764,411.2024298,296.3497492,-18.53446007
129,376.8027947,485.9656967,-0.000694215,338.6582229,431.0809915,-7.028904438,327.4522456,359.0627961,-10.202878,333.6518085,298.6636039,-14.07636642,340.7738686,250.500967,-16.58852577,358.4548681,289.6776749,9.996551514,357.4554949,241.1179011,6.695858955,352.8527403,218.2307101,0.721206009,344.7088891,204.8917405,-4.835447311,390.4804477,290.2527042,8.862634659,398.1200466,229.9942727,3.682733536,381.6948778,213.3614845,-3.356481075,363.7173047,210.8714204,-7.68132782,419.0615443,305.003269,5.315279961,427.3415424,249.3505343,-4.069689751,405.4393186,257.4755654,-12.17865372,389.8707696,273.5851919,-15.59530735,448.8266161,333.0304067,1.146175623,448.814534,285.0576689,-8.87403965,426.781968,285.5285685,-14.95396042,409.700002,297.9174064,-18.27514839
146,376.8027947,485.9656967,-0.000694215,338.6582229,431.0809915,-7.028904438,327.4522456,359.0627961,-10.202878,333.6518085,298.6636039,-14.07636642,340.7738686,250.500967,-16.58852577,358.4548681,289.6776749,9.996551514,357.4554949,241.1179011,6.695858955,352.8527403,218.2307101,0.721206009,344.7088891,204.8917405,-4.835447311,390.4804477,290.2527042,8.862634659,398.1200466,229.9942727,3.682733536,381.6948778,213.3614845,-3.356481075,363.7173047,210.8714204,-7.68132782,419.0615443,305.003269,5.315279961,427.3415424,249.3505343,-4.069689751,405.4393186,257.4755654,-12.17865372,389.8707696,273.5851919,-15.59530735,448.8266161,333.0304067,1.146175623,448.814534,285.0576689,-8.87403965,426.781968,285.5285685,-14.95396042,409.700002,297.9174064,-18.27514839
162,376.7556364,485.5633362,-0.000713937,338.2816717,429.3477605,-6.5327878,327.3753734,357.4704509,-9.425926208,333.0573377,297.094201,-13.11939907,340.2061305,248.7917704,-15.58963108,359.4353707,289.863704,10.23089409,358.3910518,241.0553415,7.219704628,353.5445413,217.9976039,1.263038635,345.3167097,204.5570014,-4.241127014,390.7682076,290.4223142,8.916078568,399.1203647,230.2063712,4.030136108,383.3330896,213.5149965,-3.183854818,365.9917033,211.5472842,-7.852867126,418.7877017,305.2006956,5.278179169,428.530964,248.5017567,-3.172565937,406.6659341,251.4226961,-11.35155678,390.3263774,264.3938771,-15.29803371,447.8068908,333.2523774,0.975972414,448.8083998,285.2712407,-8.268855095,426.9198641,282.4945327,-14.44086552,409.1200818,292.700918,-18.0869236
179,376.719274,485.9657839,-0.000585258,338.8760367,430.5098117,-6.779168129,328.3485554,358.0770749,-9.856534958,335.0953804,297.7067821,-13.74499035,342.0069351,249.5589899,-16.24985695,358.531906,289.3165784,10.39091492,357.7678111,240.6127068,6.893759727,352.497348,217.641999,0.895515501,343.7654229,204.5722125,-4.674680233,390.3519813,289.9024911,9.192727089,398.4154498,229.0128176,3.910975933,381.3673224,212.5101064,-2.87834096,362.9793479,210.4137762,-6.882338524,418.9643489,304.414852,5.516530037,426.3164059,248.1458277,-4.29224205,403.9421781,258.8382719,-12.14253235,388.7959817,277.036518,-15.18608189,448.7159928,331.9660941,1.283436298,447.5143736,283.2715501,-8.966645241,425.1094515,285.8222904,-14.78378582,408.482413,300.0041879,-17.8944912
196,376.719274,485.9657839,-0.000585258,338.8760367,430.5098117,-6.779168129,328.3485554,358.0770749,-9.856534958,335.0953804,297.7067821,-13.74499035,342.0069351,249.5589899,-16.24985695,358.531906,289.3165784,10.39091492,357.7678111,240.6127068,6.893759727,352.497348,217.641999,0.895515501,343.7654229,204.5722125,-4.674680233,390.3519813,289.9024911,9.192727089,398.4154498,229.0128176,3.910975933,381.3673224,212.5101064,-2.87834096,362.9793479,210.4137762,-6.882338524,418.9643489,304.414852,5.516530037,426.3164059,248.1458277,-4.29224205,403.9421781,258.8382719,-12.14253235,388.7959817,277.036518,-15.18608189,448.7159928,331.9660941,1.283436298,447.5143736,283.2715501,-8.966645241,425.1094515,285.8222904,-14.78378582,408.482413,300.0041879,-17.8944912
212,377.1217402,487.2421727,-0.000549018,338.5364417,431.1067075,-6.96249342,327.7144953,357.6572351,-10.14024353,333.9200292,297.1685397,-14.14827061,339.8246198,248.7987849,-16.81157112,359.358827,288.3337598,10.36218452,358.9740777,239.8000178,6.623724461,353.9221608,217.4282446,0.427137077,344.9925007,204.9633281,-5.33882618,391.8191078,289.8097139,9.204061508,399.7165695,229.4169512,3.548965454,382.3538342,214.006426,-3.487522602,363.4710527,212.6757419,-7.513823509,420.9123511,305.1455526,5.537459373,427.5098776,249.8328744,-4.55086422,404.5809622,261.0710022,-12.45933342,388.8450851,279.1077729,-15.43271828,450.9800041,333.5603925,1.305733681,448.8439137,285.8015848,-9.215164185,425.8244561,289.2707564,-15.02550411,408.8544006,303.4985083,-18.03281975
228,377.1217402,487.2421727,-0.000549018,338.5364417,431.1067075,-6.96249342,327.7144953,357.6572351,-10.14024353,333.9200292,297.1685397,-14.14827061,339.8246198,248.7987849,-16.81157112,359.358827,288.3337598,10.36218452,358.9740777,239.8000178,6.623724461,353.9221608,217.4282446,0.427137077,344.9925007,204.9633281,-5.33882618,391.8191078,289.8097139,9.204061508,399.7165695,229.4169512,3.548965454,382.3538342,214.006426,-3.487522602,363.4710527,212.6757419,-7.513823509,420.9123511,305.1455526,5.537459373,427.5098776,249.8328744,-4.55086422,404.5809622,261.0710022,-12.45933342,388.8450851,279.1077729,-15.43271828,450.9800041,333.5603925,1.305733681,448.8439137,285.8015848,-9.215164185,425.8244561,289.2707564,-15.02550411,408.8544006,303.4985083,-18.03281975
246,376.6503466,487.8664412,-0.000561289,338.4912642,432.0464369,-7.395362854,328.6299131,358.5877146,-10.83294106,336.8550866,298.1893567,-15.01925087,343.9784107,249.9628821,-17.74855995,357.1101256,288.3255401,10.76667786,356.3244344,241.312034,7.114229202,351.319754,218.8715559,1.013638735,342.1672408,206.2324645,-4.795067787,390.2704793,289.0159647,9.969307899,398.3356612,229.9655966,4.797726154,382.7274224,213.0495605,-1.832296371,364.6903106,210.4130289,-5.503416061,419.8244499,303.8460089,6.551179886,426.1622729,249.8488662,-3.824717999,405.0071938,262.3459703,-11.7285862,390.743851,280.9173323,-14.41078281,450.4028704,332.0040232,2.612880707,447.5383073,284.8299367,-8.273545265,425.3810088,289.9180809,-13.99320126,409.5278688,305.1228364,-16.81476593
