TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
16,348.286179,447.2514829,-0.001021847,302.3150953,423.6276212,-11.1202631,272.5989082,379.1636575,-16.31633949,269.6951765,336.7529323,-21.54172516,287.0015574,306.917738,-25.01892281,293.2236825,304.7569877,7.198240757,288.5709327,258.8481063,4.338009834,282.0134013,236.203546,-0.575938106,275.5598826,223.8054506,-4.125163555,321.4537913,298.6509263,6.480523109,320.0582227,246.939802,0.1551404,306.4971042,247.9707273,-9.948689461,296.8688227,260.9694017,-15.49962234,348.2516731,303.8091555,3.216075182,350.1374946,251.7135038,-6.553624153,331.704575,262.6264757,-18.07910538,322.7790782,283.4783742,-23.30666542,377.5129705,317.9423549,-1.11344254,375.2961684,273.9742573,-11.42425537,356.6429669,275.5375846,-19.50549316,343.7304979,292.1057917,-23.801054
33,348.286179,447.2514829,-0.001021847,302.3150953,423.6276212,-11.1202631,272.5989082,379.1636575,-16.31633949,269.6951765,336.7529323,-21.54172516,287.0015574,306.917738,-25.01892281,293.2236825,304.7569877,7.198240757,288.5709327,258.8481063,4.338009834,282.0134013,236.203546,-0.575938106,275.5598826,223.8054506,-4.125163555,321.4537913,298.6509263,6.480523109,320.0582227,246.939802,0.1551404,306.4971042,247.9707273,-9.948689461,296.8688227,260.9694017,-15.49962234,348.2516731,303.8091555,3.216075182,350.1374946,251.7135038,-6.553624153,331.704575,262.6264757,-18.07910538,322.7790782,283.4783742,-23.30666542,377.5129705,317.9423549,-1.11344254,375.2961684,273.9742573,-11.42425537,356.6429669,275.5375846,-19.50549316,343.7304979,292.1057917,-23.801054
50,349.1375888,446.2914687,-0.001047619,303.1449215,423.35362,-10.93369389,273.097837,379.7340386,-15.90041161,269.9893217,337.4312132,-20.87198257,287.2778081,307.892142,-24.10223389,293.3485485,305.0336492,7.494474888,288.3558148,259.5707644,4.956337929,281.831091,236.5031854,0.426691711,275.6384744,223.5247264,-2.819740057,321.6051019,298.4785081,6.850635529,320.0272021,247.2741088,1.064711452,307.096506,248.570105,-8.776439667,298.3461836,261.6475927,-14.20582771,348.4377592,303.1935273,3.689908743,350.4162486,251.3189578,-5.631271362,332.8614094,261.8676702,-17.01820946,324.8170394,282.3681335,-22.22117805,377.5637783,316.7886229,-0.517077684,375.6321176,273.2036531,-10.52591991,357.801054,274.5343732,-18.47642136,345.7223946,290.7630633,-22.72159004
66,349.1375888,446.2914687,-0.001047619,303.1449215,423.35362,-10.93369389,273.097837,379.7340386,-15.90041161,269.9893217,337.4312132,-20.87198257,287.2778081,307.892142,-24.10223389,293.3485485,305.0336492,7.494474888,288.3558148,259.5707644,4.956337929,281.831091,236.5031854,0.426691711,275.6384744,223.5247264,-2.819740057,321.6051019,298.4785081,6.850635529,320.0272021,247.2741088,1.064711452,307.096506,248.570105,-8.776439667,298.3461836,261.6475927,-14.20582771,348.4377592,303.1935273,3.689908743,350.4162486,251.3189578,-5.631271362,332.8614094,261.8676702,-17.01820946,324.8170394,282.3681335,-22.22117805,377.5637783,316.7886229,-0.517077684,375.6321176,273.2036531,-10.52591991,357.801054,274.5343732,-18.47642136,345.7223946,290.7630633,-22.72159004
83,348.7501395,446.0801713,-0.001060612,302.8410795,423.7053987,-10.99995232,272.1284878,380.4487236,-16.025177,268.2543389,338.4762831,-21.013134,285.8314331,309.302179,-24.20146751,293.4777595,304.6652889,7.547362804,289.1174642,258.2966193,4.945380688,282.8889296,235.691269,0.364234507,277.0027496,223.4461471,-2.890914917,321.1534893,298.3401695,6.959247589,319.3542695,246.6256958,0.575811982,306.2454285,250.7310484,-9.525148392,297.666367,266.192751,-14.82597733,347.6547796,302.7868875,3.882367849,349.4010202,250.5344475,-5.810865402,331.6863836,263.6066993,-17.11335373,323.8634819,286.2063963,-21.97744942,376.7973546,316.0051057,-0.246203661,375.0168252,271.4685162,-10.44235706,357.3651154,273.6999699,-18.33308411,345.790574,291.2917737,-22.34334755
100,348.7501395,446.0801713,-0.001060612,302.8410795,423.7053987,-10.99995232,272.1284878,380.4487236,-16.025177,268.2543389,338.4762831,-21.013134,285.8314331,309.302179,-24.20146751,293.4777595,304.6652889,7.547362804,289.1174642,258.2966193,4.945380688,282.8889296,235.691269,0.364234507,277.0027496,223.4461471,-2.890914917,321.1534893,298.3401695,6.959247589,319.3542695,246.6256958,0.575811982,306.2454285,250.7310484,-9.525148392,297.666367,266.192751,-14.82597733,347.6547796,302.7868875,3.882367849,349.4010202,250.5344475,-5.810865402,331.6863836,263.6066993,-17.11335373,323.8634819,286.2063963,-21.97744942,376.7973546,316.0051057,-0.246203661,375.0168252,271.4685162,-10.44235706,357.3651154,273.6999699,-18.33308411,345.790574,291.2917737,-22.34334755
115,348.7501395,446.0801713,-0.001060612,302.8410795,423.7053987,-10.99995232,272.1284878,380.4487236,-16.025177,268.2543389,338.4762831,-21.013134,285.8314331,309.302179,-24.20146751,293.4777595,304.6652889,7.547362804,289.1174642,258.2966193,4.945380688,282.8889296,235.691269,0.364234507,277.0027496,223.4461471,-2.890914917,321.1534893,298.3401695,6.959247589,319.3542695,246.6256958,0.575811982,306.2454285,250.7310484,-9.525148392,297.666367,266.192751,-14.82597733,347.6547796,302.7868875,3.882367849,349.4010202,250.5344475,-5.810865402,331.6863836,263.6066993,-17.11335373,323.8634819,286.2063963,-21.97744942,376.7973546,316.0051057,-0.246203661,375.0168252,271.4685162,-10.44235706,357.3651154,273.6999699,-18.33308411,345.790574,291.2917737,-22.34334755
132,348.7815757,445.4669435,-0.001020968,303.3369131,422.7282617,-11.13152695,272.6699184,379.0782382,-16.27433777,268.8314938,336.2666933,-21.39882851,285.6955129,306.1200846,-24.82425117,293.23583,303.282568,7.397330761,288.3854933,258.3246671,4.571468353,282.3035636,236.1366344,-0.28149271,276.2580332,223.8586483,-3.80468154,321.0577296,296.7393883,6.84183979,319.0415151,246.7500071,0.533874273,306.1244523,249.2574761,-9.364291191,296.9061698,262.4703542,-14.73824787,347.7283335,301.4682594,3.753569365,349.0772882,251.4615052,-5.950408936,331.7808837,264.2280016,-17.01523209,323.8241561,285.3409949,-21.84957123,377.0783458,315.2109887,-0.411430597,374.864927,272.843801,-10.68735027,357.6060387,275.0590621,-18.45925522,346.2524329,291.1435606,-22.41433144
149,348.7815757,445.4669435,-0.001020968,303.3369131,422.7282617,-11.13152695,272.6699184,379.0782382,-16.27433777,268.8314938,336.2666933,-21.39882851,285.6955129,306.1200846,-24.82425117,293.23583,303.282568,7.397330761,288.3854933,258.3246671,4.571468353,282.3035636,236.1366344,-0.28149271,276.2580332,223.8586483,-3.80468154,321.0577296,296.7393883,6.84183979,319.0415151,246.7500071,0.533874273,306.1244523,249.2574761,-9.364291191,296.9061698,262.4703542,-14.73824787,347.7283335,301.4682594,3.753569365,349.0772882,251.4615052,-5.950408936,331.7808837,264.2280016,-17.01523209,323.8241561,285.3409949,-21.84957123,377.0783458,315.2109887,-0.411430597,374.864927,272.843801,-10.68735027,357.6060387,275.0590621,-18.45925522,346.2524329,291.1435606,-22.41433144
166,349.1328404,446.3548098,-0.001060307,303.8594193,423.9155347,-11.17616844,273.0086013,380.071895,-16.3668499,269.8006273,337.1997791,-21.46034813,288.0597218,308.3863292,-24.74385071,293.5904893,304.9030062,7.228140354,287.7633104,259.3102397,4.437684536,280.6988525,237.1912015,-0.296999156,273.8182389,225.0771567,-3.706116915,321.5904538,298.0263418,6.720811844,318.7055962,247.0584203,0.647242785,305.4024034,249.1879351,-9.222605705,296.0343649,262.8422063,-14.61682796,348.3982283,302.4293454,3.670440912,349.3356288,251.0025174,-5.795320511,331.7757277,263.2042173,-17.00948524,323.5368488,284.6094352,-22.02047348,378.0423942,315.886974,-0.453770161,375.7785092,272.2868553,-10.50614929,358.2724578,274.3934754,-18.3343811,346.446268,291.2287134,-22.43924904
